Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Обливская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК  1125	УИК  1126	УИК  1127	УИК  1128	УИК  1129	УИК  1130	УИК  1131	УИК  1132	УИК  1133	УИК  1134	УИК  1135	УИК  1136	УИК  1137	УИК  1138	УИК  1139	УИК  1140	УИК  1141	УИК  1142	УИК  1143	УИК  1144	УИК  1145	УИК  1146	УИК  1147					
1	"Число избирателей, внесенных в списки"	15165	2720	1646	2391	1319	423	575	656	126	573	403	642	104	114	556	383	241	345	277	546	137	452	298	238					
2	"Число бюллетеней, полученных участковыми комиссиями"	15182	2729	1652	2403	1327	427	578	659	128	560	391	635	106	116	559	381	241	342	277	545	140	453	300	233					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11374	1742	1311	2006	1010	226	408	422	106	531	363	490	95	110	453	296	211	226	218	384	137	225	198	206					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1980	439	159	89	133	123	133	111	16	27	26	103	5	2	61	55	9	86	42	134	0	134	73	20					
6	Число погашенных бюллетеней	1828	548	182	308	184	78	37	126	6	2	2	42	6	4	45	30	21	30	17	27	3	94	29	7					
7	Число бюллетеней в переносных ящиках для голосования	1980	439	159	89	133	123	133	111	16	27	26	103	5	2	61	55	9	86	42	134	0	134	73	20					
8	Число бюллетеней в стационарных ящиках для голосования	11374	1742	1311	2006	1010	226	408	422	106	531	363	490	95	110	453	296	211	226	218	384	137	225	198	206					
9	Число недействительных бюллетеней	165	57	7	29	11	3	34	0	0	6	3	3	0	1	0	2	2	0	4	1	0	2	0	0					
10	Число действительных бюллетеней	13189	2124	1463	2066	1132	346	507	533	122	552	386	590	100	111	514	349	218	312	256	517	137	357	271	226					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	500	75	75	75	75	15	15	17	5	15	10	15	5	5	15	10	7	10	7	15	5	15	7	7					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	26	15	0	3	6	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	13	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	1	0	3					
14	Число погашенных открепительных удостоверений	474	60	75	72	69	15	14	17	5	15	10	14	5	5	15	10	7	10	7	15	5	15	7	7					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
