Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
Наименование Избирательной комиссии:    Магаданская																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №8183									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	73867	2421	2686	2251	2654	1079	713	739	2425	2443	2331	2550	2650	2622	1071	1688	2335	2330	2617	2698	2289	1638	827	2799	2533	1988	604	1970	2716	2714	2320	865	871	954	352	1029	889	2430	220	209	6	46	38	25	26	24	27	25	24	6	6	18	59	24	24	28	27	28	2886									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	80382	2412	2733	2297	2657	1093	728	740	2463	2468	2381	2677	2693	2657	1075	1695	2364	2376	2656	2730	2471	1633	820	2822	2524	2008	616	1986	2767	2629	2354	871	883	984	331	1039	876	2464	212	700	8	48	40	27	28	26	29	27	26	8	8	20	61	26	26	30	29	30	8000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25516	870	849	780	789	380	129	174	832	768	742	878	853	922	315	605	807	762	888	768	801	490	168	911	863	600	119	592	896	816	641	279	194	299	79	383	293	828	91	151	6	46	38	25	26	24	27	25	24	6	6	17	59	24	24	28	27	28	2451									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	925	18	49	27	20	11	7	16	23	16	17	14	25	14	1	8	12	30	20	10	22	11	21	11	7	6	8	22	16	97	16	4	14	15	75	17	20	11	99	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39									
6	Число погашенных избирательных бюллетеней	53537	1524	1835	1490	1848	702	592	550	1608	1684	1622	1785	1815	1721	759	1082	1545	1584	1748	1952	1648	1124	631	1900	1654	1402	489	1372	1855	1716	1697	588	675	670	177	639	563	1625	22	493	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	5114									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1329	18	49	27	20	11	7	16	23	16	17	14	25	14	1	8	12	30	20	10	22	19	21	11	7	6	8	22	16	97	16	4	14	15	75	17	20	11	99	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	435									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25500	870	847	780	789	380	129	174	832	766	742	876	851	922	315	605	807	762	886	768	801	490	168	910	863	600	119	592	895	816	640	279	194	298	79	383	293	828	91	151	6	46	38	25	26	24	27	25	24	6	6	17	59	24	24	28	27	28	2449									
9	Число недействительных избирательных бюллетеней	510	13	14	20	12	11	4	4	16	18	22	15	14	13	6	7	17	7	28	25	11	7	0	18	15	10	1	22	23	22	17	9	1	4	1	0	6	20	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50									
10	Число действительных избирательных бюллетеней	26319	875	882	787	797	380	132	186	839	764	737	875	862	923	310	606	802	785	878	753	812	502	189	903	855	596	126	592	888	891	639	274	207	309	153	400	307	819	187	203	6	46	38	25	26	24	27	25	24	6	6	17	59	24	24	28	27	28	2834									
