Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																								
Дата голосования: 07.12.2003 0:00:00																																								
																																								
Наименование Избирательной комиссии:    Кировская																																								
																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																								
																																								
		Сумма	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469					
1	"Число избирателей, внесенных в списки"	19883	459	210	430	95	160	199	722	175	1132	1066	1170	1285	1048	944	1661	281	305	514	992	374	103	118	349	119	232	60	386	144	501	1538	1129	873	1109					
2	"Число бюллетеней, полученных участковыми комиссиями"	19500	457	213	422	94	153	195	702	273	1122	1034	1122	1257	1025	884	1496	467	298	511	960	366	99	111	353	111	224	66	374	153	535	1497	1028	832	1066					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10229	284	138	222	55	115	153	395	110	486	487	508	674	505	404	816	262	158	280	469	246	62	89	215	67	162	39	227	82	327	720	582	317	573					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	610	23	18	26	6	3	6	18	11	14	21	27	26	30	53	25	19	20	26	32	23	8	2	12	11	12	5	26	13	28	19	15	18	14					
6	Число погашенных бюллетеней	8598	150	57	174	33	35	36	289	152	622	526	587	557	490	427	655	186	120	205	396	97	29	20	126	33	50	22	121	58	180	758	431	497	479					
7	Число бюллетеней в переносных ящиках для голосования	673	23	18	26	6	3	6	18	11	14	21	27	26	30	53	25	19	20	26	95	23	8	2	12	11	12	5	26	13	28	19	15	18	14					
8	Число бюллетеней в стационарных ящиках для голосования	10221	284	138	218	55	115	153	395	110	486	487	508	673	505	404	816	262	158	280	468	246	62	89	213	67	162	39	227	82	327	720	582	317	573					
9	Число недействительных бюллетеней	137	5	2	2	0	0	2	9	3	6	8	5	6	6	5	5	2	3	4	2	8	0	3	6	4	0	0	1	0	6	11	8	7	8					
10	Число действительных бюллетеней	10757	302	154	242	61	118	157	404	118	494	500	530	693	529	452	836	279	175	302	561	261	70	88	219	74	174	44	252	95	349	728	589	328	579					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	7	4	7	4	4	5	12	5	14	14	14	15	10	4	18	7	5	8	14	11	4	4	6	4	5	4	6	6	20	18	15	10	16					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	104	1	1	2	0	1	1	3	1	5	2	3	13	7	4	12	2	1	1	1	6	0	0	5	0	0	0	2	1	10	6	5	5	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	154	1	3	1	1	3	3	7	0	0	1	0	4	1	4	6	2	1	1	1	2	2	2	0	4	0	2	1	2	3	1	54	22	19					
14	Число погашенных открепительных удостоверений	196	6	3	5	4	3	4	9	4	9	12	11	2	3	0	6	5	4	7	13	5	4	4	1	4	5	4	4	5	10	12	10	5	13					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
18	"1. ""ЕДИНЕНИЕ"""	132	6	4	5	1	4	4	7	2	7	5	3	6	3	4	9	6	4	4	10	1	0	3	2	2	2	0	0	2	8	8	3	4	3					
		1.21%	1.95%	2.56%	2.04%	1.63%	3.38%	2.51%	1.69%	1.65%	1.4%	0.98%	0.56%	0.85%	0.56%	0.87%	1.07%	2.13%	2.24%	1.30%	1.77%	0.37%	0.0%	3.29%	0.88%	2.56%	1.14%	0.0%	0.0%	2.10%	2.25%	1.08%	0.50%	1.19%	0.51%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	224	4	0	3	0	0	1	8	3	8	12	14	29	13	15	23	4	1	11	12	1	2	3	2	1	1	0	2	0	2	10	10	7	22					
		2.05%	1.30%	0.0%	1.22%	0.0%	0.0%	0.62%	1.93%	2.47%	1.6%	2.36%	2.61%	4.14%	2.42%	3.28%	2.73%	1.42%	0.56%	3.59%	2.13%	0.37%	2.85%	3.29%	0.88%	1.28%	0.57%	0.0%	0.79%	0.0%	0.56%	1.35%	1.67%	2.08%	3.74%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	261	4	2	4	3	2	4	10	2	9	15	14	18	16	15	26	2	2	7	10	7	1	1	5	6	2	0	4	1	7	24	15	9	14					
		2.39%	1.30%	1.28%	1.63%	4.91%	1.69%	2.51%	2.42%	1.65%	1.8%	2.95%	2.61%	2.57%	2.99%	3.28%	3.09%	0.71%	1.12%	2.28%	1.77%	2.60%	1.42%	1.09%	2.22%	7.69%	1.14%	0.0%	1.58%	1.05%	1.97%	3.24%	2.51%	2.68%	2.38%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	335	1	1	3	4	0	1	3	2	26	15	9	23	15	20	49	3	0	1	9	1	5	1	4	1	2	0	15	0	7	31	33	12	38					
		3.07%	0.32%	0.64%	1.22%	6.55%	0.0%	0.62%	0.72%	1.65%	5.2%	2.95%	1.68%	3.29%	2.80%	4.37%	5.82%	1.06%	0.0%	0.32%	1.59%	0.37%	7.14%	1.09%	1.77%	1.28%	1.14%	0.0%	5.92%	0.0%	1.97%	4.19%	5.52%	3.58%	6.47%					
22	"5. ""За Русь Святую"""	59	2	1	0	0	1	0	1	0	5	2	4	3	2	1	3	1	0	1	4	2	0	0	3	2	0	0	1	1	2	2	4	6	5					
		0.54%	0.65%	0.64%	0.0%	0.0%	0.84%	0.0%	0.24%	0.0%	1.0%	0.39%	0.74%	0.42%	0.37%	0.21%	0.35%	0.35%	0.0%	0.32%	0.71%	0.74%	0.0%	0.0%	1.33%	2.56%	0.0%	0.0%	0.39%	1.05%	0.56%	0.27%	0.67%	1.79%	0.85%					
23	"6. ""Объединенная Российская партия ""Русь"""	44	1	1	5	1	0	1	1	1	2	1	1	4	0	2	6	0	0	2	4	0	0	0	0	1	0	0	0	0	3	2	3	0	2					
		0.40%	0.32%	0.64%	2.04%	1.63%	0.0%	0.62%	0.24%	0.82%	0.4%	0.19%	0.18%	0.57%	0.0%	0.43%	0.71%	0.0%	0.0%	0.65%	0.71%	0.0%	0.0%	0.0%	0.0%	1.28%	0.0%	0.0%	0.0%	0.0%	0.84%	0.27%	0.50%	0.0%	0.34%					
24	"7. ""Новый курс - Автомобильная Россия"""	87	2	1	1	0	2	2	2	0	2	6	3	10	3	7	11	2	2	2	1	1	1	0	0	1	3	0	0	0	2	7	6	2	5					
		0.79%	0.65%	0.64%	0.40%	0.0%	1.69%	1.25%	0.48%	0.0%	0.4%	1.18%	0.56%	1.43%	0.56%	1.53%	1.30%	0.71%	1.12%	0.65%	0.17%	0.37%	1.42%	0.0%	0.0%	1.28%	1.72%	0.0%	0.0%	0.0%	0.56%	0.94%	1.00%	0.59%	0.85%					
25	"8. ""Народно-республиканская партия России"""	27	0	1	2	0	1	0	0	0	0	3	0	0	1	0	0	1	1	1	4	2	1	0	0	1	0	1	0	0	1	2	0	4	0					
		0.24%	0.0%	0.64%	0.81%	0.0%	0.84%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.18%	0.0%	0.0%	0.35%	0.56%	0.32%	0.71%	0.74%	1.42%	0.0%	0.0%	1.28%	0.0%	2.27%	0.0%	0.0%	0.28%	0.27%	0.0%	1.19%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	36	1	0	2	0	0	0	1	0	2	4	3	1	0	1	5	1	0	2	2	1	0	0	0	0	0	0	0	0	0	2	7	0	1					
		0.33%	0.32%	0.0%	0.81%	0.0%	0.0%	0.0%	0.24%	0.0%	0.4%	0.78%	0.56%	0.14%	0.0%	0.21%	0.59%	0.35%	0.0%	0.65%	0.35%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	1.17%	0.0%	0.17%					
27	"10. ""Аграрная партия России"""	455	37	4	17	0	3	5	22	2	25	23	13	18	25	12	32	16	4	13	32	7	3	6	7	1	7	2	15	1	11	23	34	14	21					
		4.17%	12.05%	2.56%	6.96%	0.0%	2.54%	3.14%	5.32%	1.65%	5.0%	4.52%	2.42%	2.57%	4.67%	2.62%	3.80%	5.69%	2.24%	4.24%	5.68%	2.60%	4.28%	6.59%	3.11%	1.28%	4.02%	4.54%	5.92%	1.05%	3.09%	3.11%	5.69%	4.17%	3.57%					
28	"11. ""Истинные патриоты России"""	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	1	0	0	0	0	2	0	0	0	1					
		0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.12%	0.0%	0.17%	0.0%	1.42%	0.0%	0.0%	1.28%	0.0%	0.0%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.17%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	75	2	1	0	2	0	3	5	0	4	3	4	1	2	8	2	4	1	3	2	2	0	0	1	2	2	1	0	0	2	5	8	3	2					
		0.68%	0.65%	0.64%	0.0%	3.27%	0.0%	1.88%	1.21%	0.0%	0.8%	0.59%	0.74%	0.14%	0.37%	1.75%	0.23%	1.42%	0.56%	0.98%	0.35%	0.74%	0.0%	0.0%	0.44%	2.56%	1.14%	2.27%	0.0%	0.0%	0.56%	0.67%	1.34%	0.89%	0.34%					
30	"13. ""Демократическая партия России"""	20	0	0	1	1	0	1	0	0	1	0	2	1	4	0	1	1	1	1	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0					
		0.18%	0.0%	0.0%	0.40%	1.63%	0.0%	0.62%	0.0%	0.0%	0.2%	0.0%	0.37%	0.14%	0.74%	0.0%	0.11%	0.35%	0.56%	0.32%	0.17%	0.0%	0.0%	0.0%	0.44%	1.28%	0.0%	2.27%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	19	2	0	1	0	0	0	0	0	1	2	0	1	1	2	0	0	0	0	3	0	0	0	0	0	0	0	1	2	1	1	0	0	1					
