Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
"Наименование Избирательной комиссии:    Пенза, Ленинская"																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №786									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	72527	1791	1589	1826	1712	2365	2264	2116	2223	2168	2109	1708	1759	2140	1614	1594	2033	1606	1850	1668	2239	1905	1783	1935	2199	2315	2072	2006	2012	1932	2101	2106	1498	1311	1679	1570	2013	1676	1753	287									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	59150	1450	1300	1400	1400	1950	1850	1750	1800	1800	1700	1400	1400	1750	1300	1300	1650	1300	1500	1350	1850	1600	1450	1600	1800	1800	1700	1600	1650	1600	1750	1750	1150	1100	1350	1300	1650	1400	1400	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	29973	484	521	640	586	1082	1106	922	1011	933	870	610	677	935	686	682	533	503	653	724	921	755	723	837	998	955	876	847	1109	1022	931	675	776	707	724	555	650	679	897	178									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1847	105	66	91	118	53	21	29	26	53	48	36	28	41	32	26	39	42	38	15	24	22	45	42	45	25	41	46	123	96	29	49	17	30	79	25	47	20	26	109									
6	Число погашенных избирательных бюллетеней	27330	861	713	669	696	815	723	799	763	814	782	754	695	774	582	592	1078	755	809	611	905	823	682	721	757	820	783	707	418	482	790	1026	357	363	547	720	953	701	477	13									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1847	105	66	91	118	53	21	29	26	53	48	36	28	41	32	26	39	42	38	15	24	22	45	42	45	25	41	46	123	96	29	49	17	30	79	25	47	20	26	109									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	29946	484	521	640	586	1080	1105	920	1009	933	870	610	677	935	686	682	533	503	644	724	921	754	723	835	996	954	876	847	1109	1021	930	673	776	707	723	555	650	679	897	178									
9	Число недействительных избирательных бюллетеней	595	8	7	9	16	20	10	6	56	20	13	9	10	19	7	16	6	8	13	8	8	19	9	15	20	12	16	18	11	12	21	95	11	2	13	8	13	12	14	5									
10	Число действительных избирательных бюллетеней	31198	581	580	722	688	1113	1116	943	979	966	905	637	695	957	711	692	566	537	669	731	937	757	759	862	1021	967	901	875	1221	1105	938	627	782	735	789	572	684	687	909	282									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1320	20	20	20	10	50	50	50	40	50	50	30	30	70	30	40	30	20	40	30	50	30	30	30	30	30	40	30	30	50	40	30	20	30	30	40	30	40	30	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1105	19	19	19	9	43	47	39	35	40	39	28	21	62	24	35	18	11	37	23	45	28	27	30	25	29	34	25	23	39	33	28	17	21	29	29	22	31	22	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1273	15	21	97	18	20	22	31	22	50	86	8	79	33	39	23	21	5	16	45	5	13	9	25	15	106	27	65	25	30	16	21	84	21	51	23	10	12	44	20									
14	Число погашенных неиспользованных открепительных удостоверений	215	1	1	1	1	7	3	11	5	10	11	2	9	8	6	5	12	9	3	7	5	2	3	0	5	1	6	5	7	11	7	2	3	9	1	11	8	9	8	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	117	1	0	2	0	5	5	1	3	3	4	2	2	6	7	0	3	4	3	0	3	4	1	4	3	3	4	4	8	6	9	4	1	2	1	6	2	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	555	13	6	14	11	29	22	20	18	14	11	7	9	16	10	5	7	14	20	11	26	14	12	6	20	17	13	19	12	20	29	12	15	8	15	16	19	17	4	4									
		1.75%	2.21%	1.02%	1.92%	1.56%	2.56%	1.95%	2.11%	1.74%	1.42%	1.20%	1.08%	1.28%	1.64%	1.39%	0.71%	1.22%	2.57%	2.93%	1.49%	2.75%	1.80%	1.56%	0.68%	1.92%	1.74%	1.42%	2.13%	0.97%	1.79%	3.02%	1.66%	1.89%	1.09%	1.87%	2.76%	2.73%	2.43%	0.43%	1.39%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	860	14	19	21	24	28	18	28	35	30	25	30	28	32	19	16	13	9	13	24	25	19	29	37	20	37	16	22	30	37	22	20	16	18	17	4	20	20	17	8									
