Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																															
Дата голосования: 02.12.2007																																																															
																																																															
Наименование Избирательной комиссии:    Димитровградская городская																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164					
1	"Число избирателей, внесенных в списки избирателей"	103997	411	2367	1421	2009	2408	2004	2193	2312	1990	2074	2335	2234	1589	1960	2355	1716	2204	1792	1267	1480	2851	2605	1301	2464	2471	1750	2215	2435	2409	1332	2142	1366	654	1541	2348	2205	1620	1843	1687	1687	1938	1818	1952	1063	995	2073	951	1144	1742	1508	2468	2060	1985	862	1973	2418					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	90000	550	2050	1200	1750	2050	1750	1900	2000	1700	1800	2000	1950	1400	1700	2050	1500	1950	1550	1100	1200	2500	2200	1100	2000	2100	1500	1900	2050	2150	1150	1800	1200	550	1300	2000	2000	1400	1600	1500	1500	1700	1600	1700	900	850	1700	850	1000	1500	1300	2100	1750	1700	900	1700	2100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	58613	327	1427	838	1210	1529	1241	1376	1400	995	1279	1296	1312	787	1087	1403	986	1384	1066	741	792	1659	1449	701	1240	1204	862	1058	1408	1424	693	1316	734	353	921	1240	1335	1003	1146	1054	1027	1188	1008	1095	615	469	1107	474	563	844	820	1259	955	977	430	1131	1375					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3079	84	52	39	26	52	40	72	38	36	31	30	47	57	30	42	12	21	24	49	47	79	77	30	315	57	46	70	21	75	12	44	27	24	36	19	24	18	22	22	29	34	34	59	33	31	171	27	32	55	48	58	54	92	411	37	27					
6	Число погашенных избирательных бюллетеней	28308	139	571	323	514	469	469	452	562	669	490	674	591	556	583	605	502	545	460	310	361	762	674	369	445	839	592	772	621	651	445	440	439	173	343	741	641	379	432	424	444	478	558	546	252	350	422	349	405	601	432	783	741	631	59	532	698					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3079	84	52	39	26	52	40	72	38	36	31	30	47	57	30	42	12	21	24	49	47	79	77	30	315	57	46	70	21	75	12	44	27	24	36	19	24	18	22	22	29	34	34	59	33	31	171	27	32	55	48	58	54	92	411	37	27					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	58569	327	1427	838	1210	1529	1241	1376	1398	995	1279	1296	1309	787	1085	1401	986	1383	1066	741	780	1659	1448	701	1240	1203	862	1058	1408	1423	693	1314	734	353	921	1236	1335	1003	1146	1050	1024	1188	1008	1095	615	469	1105	474	563	844	820	1257	955	977	430	1131	1373					
9	Число недействительных избирательных бюллетеней	605	4	15	17	18	16	14	21	12	8	13	12	8	5	8	15	12	11	7	11	8	14	11	13	23	11	17	16	8	15	5	8	7	3	4	17	6	11	15	12	9	14	13	4	5	5	15	8	6	7	8	11	5	13	14	7	10					
10	Число действительных избирательных бюллетеней	61043	407	1464	860	1218	1565	1267	1427	1424	1023	1297	1314	1348	839	1107	1428	986	1393	1083	779	819	1724	1514	718	1532	1249	891	1112	1421	1483	700	1350	754	374	953	1238	1353	1010	1153	1060	1044	1208	1029	1150	643	495	1261	493	589	892	860	1304	1004	1056	827	1161	1390					
