Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																												
Дата голосования: 04.12.2011																																																												
																																																												
Наименование Избирательной комиссии:    Димитровградская городская																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725					
1	"Число избирателей, внесенных в список избирателей"	101997	193	2297	1350	1799	2311	1870	2071	2242	1974	2042	2375	2136	1586	1933	2292	1651	2087	2007	1227	1493	2559	1580	1326	2914	2443	2040	2392	1248	2156	2461	2382	1220	2275	1600	1280	675	2617	2474	1989	2158	2745	1414	2371	2036	1088	1937	1505	2583	2794	2136	2021	2419	223					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	84300	500	1900	1100	1500	1900	1500	1700	1800	1600	1700	1900	1800	1300	1600	1900	1400	1700	1700	1000	1200	2100	1300	1100	2300	2000	1700	2000	1000	1800	2000	1900	1000	1800	1300	1100	600	2100	2100	1600	1800	2200	1100	1900	1700	900	1600	1200	2100	2300	1700	1600	1900	800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	53831	59	1330	762	940	1332	1093	1206	1297	893	1156	1264	1158	763	965	1325	947	1290	1081	609	749	1278	710	671	1428	1298	928	1099	613	1047	1319	1165	539	1389	854	627	352	1511	1290	1166	1223	1564	772	1299	1084	552	1033	774	1194	1328	1117	1093	1214	81					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2623	102	55	34	40	51	36	60	54	33	32	24	40	36	31	33	30	19	34	43	52	62	34	25	316	72	79	55	28	38	22	90	12	52	46	33	14	47	18	25	33	57	27	40	31	36	77	21	64	83	48	27	30	142					
6	Число погашенных избирательных бюллетеней	27846	339	515	304	520	517	371	434	449	674	512	612	602	501	604	542	423	391	585	348	399	760	556	404	556	630	693	846	359	715	659	645	449	359	400	440	234	542	792	409	544	579	301	561	585	312	490	405	842	889	535	480	656	577					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2622	102	55	34	40	51	36	60	54	33	32	24	40	36	31	33	30	19	34	43	52	62	34	25	316	72	79	55	28	38	22	89	12	52	46	33	14	47	18	25	33	57	27	40	31	36	77	21	64	83	48	27	30	142					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	53781	58	1330	762	939	1331	1093	1205	1296	892	1156	1262	1158	763	964	1324	947	1289	1081	609	749	1278	710	671	1422	1298	928	1099	613	1047	1319	1164	537	1389	854	627	352	1511	1276	1165	1223	1564	772	1299	1084	552	1033	773	1194	1328	1115	1093	1202	81					
9	Число недействительных избирательных бюллетеней	771	1	19	13	16	18	17	16	22	16	15	16	22	8	16	18	16	16	14	11	16	24	11	11	28	21	17	13	9	12	20	15	2	27	6	11	4	11	20	15	19	30	14	12	12	8	19	6	20	15	7	22	0	4					
10	Число действительных избирательных бюллетеней	55632	159	1366	783	963	1364	1112	1249	1328	909	1173	1270	1176	791	979	1339	961	1292	1101	641	785	1316	733	685	1710	1349	990	1141	632	1073	1321	1238	547	1414	894	649	362	1547	1274	1175	1237	1591	785	1327	1103	580	1091	788	1238	1396	1156	1098	1232	219					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1815	0	35	25	30	50	40	40	35	30	35	35	40	30	40	45	30	50	45	25	25	35	25	25	35	45	35	35	25	35	70	35	25	35	30	30	25	50	60	35	35	35	25	35	35	25	40	25	35	35	35	40	40	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1426	0	27	16	28	35	39	31	33	22	31	34	34	15	31	37	24	44	39	22	12	33	17	16	32	42	14	20	19	22	57	31	17	21	18	22	16	45	52	31	19	29	22	26	26	13	34	20	35	32	27	33	31	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1566	27	34	17	21	33	19	25	23	17	20	19	27	26	23	24	23	25	18	18	22	29	26	17	154	46	22	28	32	11	40	24	23	26	24	20	13	30	37	26	26	18	22	35	14	17	47	25	41	31	123	20	18	40					
14	Число погашенных неиспользованных открепительных удостоверений	389	0	8	9	2	15	1	9	2	8	4	1	6	15	9	8	6	6	6	3	13	2	8	9	3	3	21	15	6	13	13	4	8	14	12	8	9	5	8	4	16	6	3	9	9	12	6	5	0	3	8	7	9	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	126	0	2	3	3	1	1	3	0	2	2	3	4	2	4	0	2	0	0	1	4	5	2	4	6	2	1	5	2	1	6	6	0	1	1	2	0	5	5	3	3	0	0	4	2	1	1	1	4	6	3	3	4	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	7414	29	205	136	94	180	135	158	183	107	159	159	146	101	127	217	134	152	161	101	115	177	80	95	224	178	117	155	92	131	225	134	83	158	136	74	49	213	167	160	183	218	113	206	180	79	114	88	125	162	126	190	158	25					
