Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																
Дата голосования: 07.12.2003 0:00:00																
																
Наименование Избирательной комиссии:    Мамско-Чуйская																
																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																
																
		Сумма	УИК  863	УИК  864	УИК  865	УИК  866	УИК  867	УИК  868	УИК  869	УИК  870	УИК  871					
1	"Число избирателей, внесенных в списки"	6205	2100	1433	216	709	235	479	157	415	461					
2	"Число бюллетеней, полученных участковыми комиссиями"	6190	2088	1382	214	719	236	474	160	440	477					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	30	0	30	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2845	804	576	130	375	135	286	81	234	224					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	155	38	43	5	14	0	19	7	20	9					
6	Число погашенных бюллетеней	3160	1246	733	79	330	101	169	72	186	244					
7	Число бюллетеней в переносных ящиках для голосования	185	38	73	5	14	0	19	7	20	9					
8	Число бюллетеней в стационарных ящиках для голосования	2844	804	575	130	375	135	286	81	234	224					
9	Число недействительных бюллетеней	33	5	7	2	2	1	8	0	2	6					
10	Число действительных бюллетеней	2996	837	641	133	387	134	297	88	252	227					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	78	10	10	6	10	6	10	6	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	21	2	1	0	3	0	3	4	5	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	8	7	1	0	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	57	8	9	6	7	6	7	2	5	7					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0					
																
18	"1. ""ЕДИНЕНИЕ"""	46	4	9	1	5	7	6	1	4	9					
		1.51%	0.47%	1.38%	0.74%	1.28%	5.18%	1.96%	1.13%	1.57%	3.86%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	63	29	22	0	7	1	1	1	1	1					
		2.07%	3.44%	3.39%	0.0%	1.79%	0.74%	0.32%	1.13%	0.39%	0.42%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	85	22	15	6	7	4	9	3	15	4					
		2.80%	2.61%	2.31%	4.44%	1.79%	2.96%	2.95%	3.40%	5.90%	1.71%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	59	21	20	1	7	1	4	1	2	2					
		1.94%	2.49%	3.08%	0.74%	1.79%	0.74%	1.31%	1.13%	0.78%	0.85%					
22	"5. ""За Русь Святую"""	7	1	0	0	1	0	2	0	1	2					
		0.23%	0.11%	0.0%	0.0%	0.25%	0.0%	0.65%	0.0%	0.39%	0.85%					
23	"6. ""Объединенная Российская партия ""Русь"""	4	1	1	0	1	0	0	0	1	0					
		0.13%	0.11%	0.15%	0.0%	0.25%	0.0%	0.0%	0.0%	0.39%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	10	1	4	0	0	0	4	0	1	0					
		0.33%	0.11%	0.61%	0.0%	0.0%	0.0%	1.31%	0.0%	0.39%	0.0%					
25	"8. ""Народно-республиканская партия России"""	7	2	1	2	0	0	0	1	0	1					
		0.23%	0.23%	0.15%	1.48%	0.0%	0.0%	0.0%	1.13%	0.0%	0.42%					
26	"9. ""Российская экологическая партия ""Зеленые"""	2	0	1	0	0	0	1	0	0	0					
		0.06%	0.0%	0.15%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	70	17	17	6	1	3	5	0	7	14					
		2.31%	2.01%	2.62%	4.44%	0.25%	2.22%	1.63%	0.0%	2.75%	6.00%					
28	"11. ""Истинные патриоты России"""	3	2	1	0	0	0	0	0	0	0					
		0.09%	0.23%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	27	15	3	1	3	1	1	0	1	2					
		0.89%	1.78%	0.46%	0.74%	0.77%	0.74%	0.32%	0.0%	0.39%	0.85%					
30	"13. ""Демократическая партия России"""	16	5	1	0	1	0	3	0	6	0					
		0.52%	0.59%	0.15%	0.0%	0.25%	0.0%	0.98%	0.0%	2.36%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	7	3	0	0	0	0	3	0	1	0					
		0.23%	0.35%	0.0%	0.0%	0.0%	0.0%	0.98%	0.0%	0.39%	0.0%					
32	"15. ""Партия СЛОН"""	7	2	4	0	1	0	0	0	0	0					
		0.23%	0.23%	0.61%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	198	69	51	4	24	5	8	10	15	12					
		6.53%	8.19%	7.87%	2.96%	6.16%	3.70%	2.62%	11.36%	5.90%	5.15%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	12	3	2	1	1	0	0	0	2	3					
		0.39%	0.35%	0.30%	0.74%	0.25%	0.0%	0.0%	0.0%	0.78%	1.28%					
35	"18. ""ЛДПР"""	380	119	92	20	38	4	37	9	32	29					
		12.54%	14.13%	14.19%	14.81%	9.76%	2.96%	12.13%	10.22%	12.59%	12.44%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	80	34	13	2	13	3	6	0	4	5					
		2.64%	4.03%	2.00%	1.48%	3.34%	2.22%	1.96%	0.0%	1.57%	2.14%					
37	"20. ""Политическая партия ""Единая Россия"""	1416	353	253	69	231	84	143	42	121	120					
		46.74%	41.92%	39.04%	51.11%	59.38%	62.22%	46.88%	47.72%	47.63%	51.50%					
38	"21. ""Российская Конституционно-демократическая партия"""	10	1	3	0	0	1	3	0	2	0					
		0.33%	0.11%	0.46%	0.0%	0.0%	0.74%	0.98%	0.0%	0.78%	0.0%					
39	"22. ""Развитие предпринимательства"""	7	2	3	0	1	0	0	0	0	1					
		0.23%	0.23%	0.46%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.42%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	395	121	91	19	38	15	46	17	31	17					
		13.04%	14.37%	14.04%	14.07%	9.76%	11.11%	15.08%	19.31%	12.20%	7.29%					
																
41	Против всех	85	10	34	1	7	5	15	3	5	5					
		2.80%	1.18%	5.24%	0.74%	1.79%	3.70%	4.91%	3.40%	1.96%	2.14%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
