Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																													
Дата голосования: 02.12.2007																																													
																																													
Наименование Избирательной комиссии:    Бичурская																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86					
1	"Число избирателей, внесенных в списки избирателей"	19448	944	904	1024	784	744	573	1239	1244	645	257	273	270	778	119	868	124	33	266	333	58	367	376	133	517	265	510	213	156	1465	411	368	498	308	812	221	333	747	268					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	19340	940	900	1015	790	715	580	1230	1245	640	260	280	278	780	125	870	120	40	255	320	60	357	395	135	515	250	480	200	145	1480	410	365	495	320	810	225	335	730	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9832	437	401	433	390	353	256	576	550	274	134	137	148	421	77	387	73	28	200	202	38	272	195	75	257	143	295	109	107	616	230	152	288	186	394	129	266	395	208					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1105	23	22	28	58	33	74	76	61	30	11	9	18	52	4	44	7	1	11	28	5	17	10	5	36	17	40	16	7	72	40	51	55	25	40	17	24	31	7					
6	Число погашенных избирательных бюллетеней	8403	480	477	554	342	329	250	578	634	336	115	134	112	307	44	439	40	11	44	90	17	68	190	55	222	90	145	75	31	792	140	162	152	109	376	79	45	304	35					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1105	23	22	28	58	33	74	76	61	30	11	9	18	52	4	44	7	1	11	28	5	17	10	5	36	17	40	16	7	72	40	51	55	25	40	17	24	31	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9830	437	401	433	390	352	256	576	549	274	134	137	148	421	77	387	73	28	200	202	38	272	195	75	257	143	295	109	107	616	230	152	288	186	394	129	266	395	208					
9	Число недействительных избирательных бюллетеней	323	13	17	6	15	10	4	18	23	12	7	7	6	16	0	11	3	1	3	4	0	6	4	5	9	20	16	4	4	7	5	5	16	1	13	3	8	7	14					
10	Число действительных избирательных бюллетеней	10612	447	406	455	433	375	326	634	587	292	138	139	160	457	81	420	77	28	208	226	43	283	201	75	284	140	319	121	110	681	265	198	327	210	421	143	282	419	201					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	718	30	30	34	25	25	20	45	45	20	10	10	10	25	10	25	10	5	10	10	5	15	15	5	24	10	25	10	10	45	20	15	25	15	20	10	15	25	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	97	5	5	6	10	1	0	4	10	0	1	1	1	1	1	0	0	0	1	2	0	1	4	0	0	0	2	0	3	2	1	0	2	1	3	0	12	11	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	47	4	0	1	0	1	0	1	3	0	2	1	1	1	0	1	1	2	0	0	2	0	1	0	1	1	1	1	0	3	2	2	0	1	5	0	2	3	3					
14	Число погашенных неиспользованных открепительных удостоверений	621	25	25	28	15	24	20	41	35	20	9	9	9	24	9	25	10	5	9	8	5	14	11	5	24	10	23	10	7	43	19	15	23	14	17	10	3	14	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
18	1.Политическая партия «Аграрная партия России»	257	14	6	13	8	1	6	18	17	10	6	1	3	27	1	5	0	2	0	5	1	14	12	1	25	2	6	2	0	18	4	2	2	1	11	1	3	4	5					
		2.35%	3.04%	1.42%	2.82%	1.79%	0.26%	1.82%	2.76%	2.79%	3.29%	4.14%	0.68%	1.81%	5.71%	1.23%	1.16%	0.00%	6.90%	0.00%	2.17%	2.33%	4.84%	5.85%	1.25%	8.53%	1.25%	1.79%	1.60%	0.00%	2.62%	1.48%	0.99%	0.58%	0.47%	2.53%	0.68%	1.03%	0.94%	2.33%					
19	2.Всероссийская политическая партия «Гражданская Сила»	22	1	0	2	3	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	2	0	1	0	0	3	1	0	0	0	0	0	0	2	0					
		0.20%	0.22%	0.00%	0.43%	0.67%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.47%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.25%	0.68%	0.00%	0.30%	0.00%	0.00%	0.44%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%					
20	3.Политическая партия «Демократическая партия России»	14	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0	0	0	0	1	0	1	0	0	0	2	0	2	0	0	0	0	0	1	0	0	1	1					
		0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.60%	0.21%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	2.33%	0.00%	0.49%	0.00%	0.00%	0.00%	0.60%	0.00%	1.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.23%	0.47%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1483	51	58	63	57	59	35	103	84	36	31	15	17	46	6	104	16	2	15	36	1	25	20	14	43	21	71	8	20	94	55	24	40	12	89	30	10	44	28					
		13.56%	11.09%	13.71%	13.67%	12.72%	15.32%	10.61%	15.80%	13.77%	11.84%	21.38%	10.27%	10.24%	9.73%	7.41%	24.13%	20.00%	6.90%	7.11%	15.65%	2.33%	8.65%	9.76%	17.50%	14.68%	13.13%	21.19%	6.40%	17.54%	13.66%	20.37%	11.82%	11.66%	5.69%	20.51%	20.55%	3.45%	10.33%	13.02%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	11	0	0	2	1	0	1	2	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
		0.10%	0.00%	0.00%	0.43%	0.22%	0.00%	0.30%	0.31%	0.00%	0.33%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	15	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	1	0	3	0	0	0	0	1	0	0	1	1					
		0.14%	0.43%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	1.02%	0.00%	0.30%	0.80%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.23%	0.47%					
24	7.Политическая партия «Либерально-демократическая партия России»	780	60	34	30	42	41	32	54	48	37	5	8	15	26	0	27	0	1	3	15	5	6	11	5	24	14	32	13	1	62	21	13	25	15	11	5	7	26	6					
		7.13%	13.04%	8.04%	6.51%	9.38%	10.65%	9.70%	8.28%	7.87%	12.17%	3.45%	5.48%	9.04%	5.50%	0.00%	6.26%	0.00%	3.45%	1.42%	6.52%	11.63%	2.08%	5.37%	6.25%	8.19%	8.75%	9.55%	10.40%	0.88%	9.01%	7.78%	6.40%	7.29%	7.11%	2.53%	3.42%	2.41%	6.10%	2.79%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	787	40	37	74	25	25	25	38	59	19	24	29	3	20	18	31	1	0	8	21	2	9	11	4	12	6	10	5	11	40	16	17	31	15	33	10	7	46	5					
