Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва												
Дата голосования: 07.12.2003 0:00:00												
												
Наименование Избирательной комиссии:    Жиганская												
												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)												
												
		Сумма	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179					
1	"Число избирателей, внесенных в списки"	2623	1833	279	221	164	126					
2	"Число бюллетеней, полученных участковыми комиссиями"	2700	1855	300	240	175	130					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	116	95	0	21	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1614	1070	161	151	119	113					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	153	130	10	13	0	0					
6	Число погашенных бюллетеней	816	559	129	55	56	17					
7	Число бюллетеней в переносных ящиках для голосования	269	225	10	34	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	1614	1070	161	151	119	113					
9	Число недействительных бюллетеней	38	30	0	8	0	0					
10	Число действительных бюллетеней	1845	1265	171	177	119	113					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	90	30	10	20	20	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	39	26	5	0	7	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	19	17	0	0	0	2					
14	Число погашенных открепительных удостоверений	51	4	5	20	13	9					
15	Число открепительных удостоверений выданных ТИК	4	3	0	0	1	0					
16	Число утраченных бюллетеней	1	1	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0					
												
18	"1. ""ЕДИНЕНИЕ"""	84	54	11	9	2	8					
		4.46%	4.16%	6.43%	4.86%	1.68%	7.07%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	189	110	7	52	14	6					
		10.03%	8.49%	4.09%	28.10%	11.76%	5.30%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	49	34	7	6	1	1					
		2.60%	2.62%	4.09%	3.24%	0.84%	0.88%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	24	19	1	3	1	0					
		1.27%	1.46%	0.58%	1.62%	0.84%	0.0%					
22	"5. ""За Русь Святую"""	1	0	1	0	0	0					
		0.05%	0.0%	0.58%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	3	0	2	0	1	0					
		0.15%	0.0%	1.16%	0.0%	0.84%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	1	0	1	0	0	0					
		0.05%	0.0%	0.58%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	2	0	0	0	1	1					
		0.10%	0.0%	0.0%	0.0%	0.84%	0.88%					
26	"9. ""Российская экологическая партия ""Зеленые"""	4	3	1	0	0	0					
		0.21%	0.23%	0.58%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	16	11	1	0	0	4					
		0.84%	0.84%	0.58%	0.0%	0.0%	3.53%					
28	"11. ""Истинные патриоты России"""	5	3	0	1	0	1					
		0.26%	0.23%	0.0%	0.54%	0.0%	0.88%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	10	5	0	2	3	0					
		0.53%	0.38%	0.0%	1.08%	2.52%	0.0%					
30	"13. ""Демократическая партия России"""	3	0	0	2	0	1					
		0.15%	0.0%	0.0%	1.08%	0.0%	0.88%					
31	"14. ""Великая Россия - Евразийский Союз"""	15	11	0	2	1	1					
		0.79%	0.84%	0.0%	1.08%	0.84%	0.88%					
32	"15. ""Партия СЛОН"""	2	1	0	1	0	0					
		0.10%	0.07%	0.0%	0.54%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	130	79	4	20	24	3					
		6.90%	6.10%	2.33%	10.81%	20.16%	2.65%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	8	4	0	1	2	1					
		0.42%	0.30%	0.0%	0.54%	1.68%	0.88%					
35	"18. ""ЛДПР"""	50	29	15	1	1	4					
		2.65%	2.23%	8.77%	0.54%	0.84%	3.53%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	33	24	7	0	2	0					
		1.75%	1.85%	4.09%	0.0%	1.68%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	1016	735	103	68	40	70					
		53.95%	56.75%	60.23%	36.75%	33.61%	61.94%					
38	"21. ""Российская Конституционно-демократическая партия"""	10	8	0	2	0	0					
		0.53%	0.61%	0.0%	1.08%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	6	5	0	0	1	0					
		0.31%	0.38%	0.0%	0.0%	0.84%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	149	113	6	3	20	7					
		7.91%	8.72%	3.50%	1.62%	16.80%	6.19%					
												
41	Против всех	35	17	4	4	5	5					
		1.85%	1.31%	2.33%	2.16%	4.20%	4.42%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
