Выборы Президента Российской Федерации																																
																																
"Наименование Избирательной комиссии:    Ярославль, Красноперекопская"																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156					
1	"Число избирателей, внесенных в список"	51251	2037	2461	1994	2223	2123	2416	2559	2283	2480	2513	2148	1340	2846	2446	1785	153	1834	2207	2431	2533	1864	2368	2061	1906	240					
2	Число полученных избирательных бюллетеней	48580	2000	2200	1800	2100	2000	2200	2400	2200	2300	2400	2000	1300	2700	2300	1700	180	1700	2100	2300	2400	1700	2300	2000	1900	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	25918	1046	1636	874	1274	1288	1366	1520	1155	1277	1448	1191	855	1150	1154	670	25	932	962	936	1009	964	1036	1036	983	131					
5	"Число избирательных бюллетеней, выданных вне помещения"	1329	49	60	38	43	9	23	13	46	77	30	32	21	42	34	123	87	70	89	50	86	51	60	47	55	94					
6	Число погашенных избирательных бюллетеней	21333	905	504	888	783	703	811	867	999	946	922	777	424	1508	1112	907	68	698	1049	1314	1305	685	1204	917	862	175					
7	Число избирательных бюллетеней в переносных ящиках	1329	49	60	38	43	9	23	13	46	77	30	32	21	42	34	123	87	70	89	50	86	51	60	47	55	94					
8	Число бюллетеней в стационарных ящиках для голосования	25836	1039	1623	873	1274	1288	1366	1516	1155	1277	1447	1167	853	1150	1154	670	25	932	962	936	1007	938	1036	1036	981	131					
9	Число недействительных избирательных бюллетеней	343	10	14	10	12	7	14	19	15	17	11	10	8	6	12	18	1	8	45	22	13	15	16	16	20	4					
10	Число действительных избирательных бюллетеней	26822	1078	1669	901	1305	1290	1375	1510	1186	1337	1466	1189	866	1186	1176	775	111	994	1006	964	1080	974	1080	1067	1016	221					
11	Число полученных открепительных  удостоверений	1848	88	80	80	80	80	80	80	80	80	80	80	80	80	80	80	0	80	80	80	80	80	80	80	80	0					
12	Число выданных открепительных удостоверений	284	13	15	14	14	14	15	14	21	14	13	19	2	19	12	6	0	7	14	9	6	6	6	21	10	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	310	2	28	15	10	5	10	11	3	13	3	18	22	9	7	7	24	8	2	7	2	2	7	3	4	88					
14	Число неиспользованных открепительных удостоверений	1564	75	65	66	66	66	65	66	59	66	67	61	78	61	68	74	0	73	66	71	74	74	74	59	70	0					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	1154	56	54	36	66	54	59	70	47	79	52	55	25	57	51	28	3	35	41	28	45	30	77	51	47	8					
		4.25%	5.15%	3.21%	3.95%	5.01%	4.16%	4.25%	4.58%	3.91%	5.83%	3.52%	4.59%	2.86%	4.78%	4.29%	3.53%	2.68%	3.49%	3.90%	2.84%	4.12%	3.03%	7.03%	4.71%	4.54%	3.56%					
19	. Малышкин Олег Александрович	598	22	26	21	20	31	19	41	24	26	26	31	17	29	28	15	5	25	21	26	33	35	30	22	16	9					
		2.20%	2.02%	1.54%	2.31%	1.52%	2.39%	1.37%	2.68%	2.00%	1.92%	1.76%	2.59%	1.95%	2.43%	2.36%	1.89%	4.46%	2.50%	2.00%	2.64%	3.02%	3.54%	2.74%	2.03%	1.54%	4.00%					
20	. Миронов Сергей Михайлович	223	13	9	7	14	12	16	15	3	5	17	5	11	9	12	5	2	7	4	10	6	7	13	10	10	1					
		0.82%	1.19%	0.53%	0.77%	1.06%	0.93%	1.15%	0.98%	0.25%	0.37%	1.15%	0.42%	1.26%	0.76%	1.01%	0.63%	1.79%	0.70%	0.38%	1.01%	0.55%	0.71%	1.19%	0.92%	0.97%	0.44%					
21	. Путин Владимир Владимирович	19663	767	1264	663	930	922	978	1098	877	958	1055	847	691	823	820	590	85	755	789	736	822	735	764	811	723	160					
