Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																			
Дата голосования: 07.12.2003 0:00:00																																																			
																																																			
Наименование Избирательной комиссии:    Московская № 27																																																			
																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																			
																																																			
		Сумма	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134					
1	"Число избирателей, внесенных в списки"	92677	2589	2254	2108	1961	2113	2966	2962	2795	2785	1810	1815	2854	2441	1967	1582	1554	2397	2422	2318	2253	2442	2065	2557	2466	1624	1747	1863	1245	1491	1387	2248	2467	2252	2279	2424	2581	1421	709	2290	1905	2674	2303	2173	118					
2	"Число бюллетеней, полученных участковыми комиссиями"	90800	2500	2200	2100	1700	2100	2900	2900	2800	2800	1800	1800	2800	2400	1900	1500	1500	2400	2400	2300	2200	2300	2000	2500	2400	1600	1700	1800	1200	1500	1400	2200	2400	2200	2200	2400	2500	1400	700	2300	1900	2600	2200	2100	300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	42183	1170	1096	991	1024	980	1480	1363	1331	1277	713	826	1216	1102	806	711	683	944	1195	869	1145	1091	855	1218	1117	779	693	1018	669	737	662	1018	1158	1149	1053	1104	1117	505	333	1035	764	1249	947	929	61					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1324	59	37	35	13	24	31	45	27	31	43	24	45	50	17	22	23	42	29	22	32	19	13	43	39	16	16	17	21	29	24	42	32	40	25	42	48	5	16	22	33	28	7	39	57					
6	Число погашенных бюллетеней	47293	1271	1067	1074	663	1096	1389	1492	1442	1492	1044	950	1539	1248	1077	767	794	1414	1176	1409	1023	1190	1132	1239	1244	805	991	765	510	734	714	1140	1210	1011	1122	1254	1335	890	351	1243	1103	1323	1246	1132	182					
7	Число бюллетеней в переносных ящиках для голосования	1324	59	37	35	13	24	31	45	27	31	43	24	45	50	17	22	23	42	29	22	32	19	13	43	39	16	16	17	21	29	24	42	32	40	25	42	48	5	16	22	33	28	7	39	57					
8	Число бюллетеней в стационарных ящиках для голосования	42107	1169	1096	990	1024	980	1480	1359	1331	1262	713	826	1215	1102	805	711	683	944	1195	869	1142	1091	855	1218	1117	758	693	1018	648	737	662	1018	1158	1148	1053	1104	1117	505	333	1035	764	1246	943	929	61					
9	Число недействительных бюллетеней	337	9	7	8	6	3	16	9	11	11	15	12	13	10	7	1	10	10	15	4	14	6	7	6	15	4	1	3	2	7	3	4	7	9	7	7	9	8	5	8	4	14	3	7	0					
10	Число действительных бюллетеней	43094	1219	1126	1017	1031	1001	1495	1395	1347	1282	741	838	1247	1142	815	732	696	976	1209	887	1160	1104	861	1255	1141	770	708	1032	667	759	683	1056	1183	1179	1071	1139	1156	502	344	1049	793	1260	947	961	118					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2496	66	60	60	55	55	60	60	60	60	55	55	60	60	60	55	60	60	60	60	60	60	60	60	60	55	55	55	55	55	55	60	60	60	60	60	60	55	35	60	55	60	60	60	0					
