Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																
Дата голосования: 02.12.2007																
																
Наименование Избирательной комиссии:    Аргунская																
																
Сводная таблица результатов выборов																
																
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9					
1	"Число избирателей, внесенных в списки избирателей"	12529	2008	1975	1879	1947	1510	810	945	940	515					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	12529	2008	1975	1879	1947	1510	810	945	940	515					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12468	1998	1966	1871	1938	1500	810	936	934	515					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	14	4	3	0	3	0	0	4	0	0					
6	Число погашенных избирательных бюллетеней	46	6	6	7	6	10	0	5	6	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	14	4	3	0	3	0	0	4	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12466	1998	1966	1871	1937	1500	810	936	933	515					
9	Число недействительных избирательных бюллетеней	8	0	2	1	0	3	0	2	0	0					
10	Число действительных избирательных бюллетеней	12472	2002	1967	1870	1940	1497	810	938	933	515					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	200	25	25	25	25	20	20	20	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1	0	1	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	199	25	24	25	25	20	20	20	20	20					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	1	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
																
18	1.Политическая партия «Аграрная партия России»	8	2	0	2	3	1	0	0	0	0					
		0.06%	0.10%	0.00%	0.11%	0.15%	0.07%	0.00%	0.00%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	3	1	0	1	0	0	0	0	1	0					
		0.02%	0.05%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%					
20	3.Политическая партия «Демократическая партия России»	1	0	0	0	1	0	0	0	0	0					
		0.01%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	17	3	3	2	4	2	0	0	3	0					
		0.14%	0.15%	0.15%	0.11%	0.21%	0.13%	0.00%	0.00%	0.32%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	4	0	0	1	0	0	0	3	0	0					
		0.03%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	2	2	0	0	0	0	0	0	0	0					
		0.02%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	2	0	0	0	0	0	0	2	0	0					
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	2	0	0	0	2	0	0	0	0	0					
		0.02%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	3	0	1	1	0	1	0	0	0	0					
		0.02%	0.00%	0.05%	0.05%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	12425	1994	1961	1862	1930	1491	810	933	929	515					
		99.56%	99.60%	99.59%	99.52%	99.48%	99.40%	10.00%	99.26%	99.57%	10.00%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	5	0	2	1	0	2	0	0	0	0					
		0.04%	0.00%	0.10%	0.05%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
