Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Частинская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №4101	УИК №4102	УИК №4103	УИК №4104	УИК №4105	УИК №4106	УИК №4107	УИК №4108	УИК №4109	УИК №4110	УИК №4111	УИК №4112	УИК №4113	УИК №4114	УИК №4115	УИК №4116	УИК №4117	УИК №4118									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10745	725	458	781	665	389	360	182	374	204	1754	1561	797	457	621	337	157	412	511									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10450	700	450	750	650	350	350	150	350	200	1750	1550	800	450	600	300	150	400	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3140	250	44	210	196	80	100	58	84	65	606	491	246	127	186	110	54	129	104									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	512	16	122	3	3	26	40	7	34	15	21	10	15	28	62	16	0	16	78									
6	Число погашенных избирательных бюллетеней	6798	434	284	537	451	244	210	85	232	120	1123	1049	539	295	352	174	96	255	318									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	512	16	122	3	3	26	40	7	34	15	21	10	15	28	62	16	0	16	78									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3140	250	44	210	196	80	100	58	84	65	606	491	246	127	186	110	54	129	104									
9	Число недействительных избирательных бюллетеней	111	4	6	4	7	2	2	1	6	2	26	16	8	10	8	3	0	5	1									
10	Число действительных избирательных бюллетеней	3541	262	160	209	192	104	138	64	112	78	601	485	253	145	240	123	54	140	181									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	350	20	40	20	20	20	30	10	15	10	30	25	15	10	20	20	10	10	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	65	2	0	7	5	0	0	0	0	2	12	15	5	1	2	2	1	0	11									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	67	9	0	10	6	1	12	0	1	1	6	9	3	1	4	2	0	0	2									
14	Число погашенных неиспользованных открепительных удостоверений	285	18	40	13	15	20	30	10	15	8	18	10	10	9	18	18	9	10	14									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	1	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	47	4	2	1	2	1	2	1	2	0	9	6	5	0	4	1	1	1	5									
		1.29%	1.50%	1.20%	0.47%	1.01%	0.94%	1.43%	1.54%	1.69%	0.00%	1.44%	1.20%	1.92%	0.00%	1.61%	0.79%	1.85%	0.69%	2.75%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	111	6	4	7	5	2	6	0	5	0	18	25	10	1	2	3	1	5	11									
		3.04%	2.26%	2.41%	3.29%	2.51%	1.89%	4.29%	0.00%	4.24%	0.00%	2.87%	4.99%	3.83%	0.65%	0.81%	2.38%	1.85%	3.45%	6.04%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	164	8	6	5	4	5	3	1	3	1	41	42	16	3	3	3	1	7	12									
		4.49%	3.01%	3.61%	2.35%	2.01%	4.72%	2.14%	1.54%	2.54%	1.25%	6.54%	8.38%	6.13%	1.94%	1.21%	2.38%	1.85%	4.83%	6.59%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1659	132	93	92	92	47	57	41	54	40	272	166	123	83	122	58	25	73	89									
		45.43%	49.62%	56.02%	43.19%	46.23%	44.34%	40.71%	63.08%	45.76%	50.00%	43.38%	33.13%	47.13%	53.55%	49.19%	46.03%	46.30%	50.34%	48.90%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	13	2	0	0	2	0	0	1	0	1	2	1	1	0	3	0	0	0	0									
		0.36%	0.75%	0.00%	0.00%	1.01%	0.00%	0.00%	1.54%	0.00%	1.25%	0.32%	0.20%	0.38%	0.00%	1.21%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	0	0	0	1	0	1	0	0	0	0	3	0	0	0	1	0	0	0									
		0.16%	0.00%	0.00%	0.00%	0.50%	0.00%	0.71%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.79%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	724	53	37	61	45	34	39	11	36	21	76	79	49	27	62	25	14	28	27									
		19.82%	19.92%	22.29%	28.64%	22.61%	32.08%	27.86%	16.92%	30.51%	26.25%	12.12%	15.77%	18.77%	17.42%	25.00%	19.84%	25.93%	19.31%	14.84%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	11	1	0	1	0	0	0	0	0	0	1	5	1	0	1	1	0	0	0									
		0.30%	0.38%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.99%	0.38%	0.00%	0.40%	0.79%	0.00%	0.00%	0.00%									
