Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Большечерниговская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13110	1093	598	372	1094	537	1001	898	1016	493	491	94	148	156	833	264	218	222	197	64	518	158	171	344	329	463	198	742	398									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12767	1090	580	360	1000	530	990	890	1030	510	490	94	150	145	820	250	200	230	204	64	490	135	150	305	320	450	180	720	390									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8587	639	318	191	580	341	619	615	619	375	316	85	94	125	525	207	154	201	174	62	354	120	123	259	215	322	121	531	302									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1006	73	51	95	42	36	62	49	20	24	31	9	7	17	66	14	21	21	23	2	60	15	27	27	27	23	16	99	49									
6	Число погашенных избирательных бюллетеней	3174	378	211	74	378	153	309	226	391	111	143	0	49	3	229	29	25	8	7	0	76	0	0	19	78	105	43	90	39									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1006	73	51	95	42	36	62	49	20	24	31	9	7	17	66	14	21	21	23	2	60	15	27	27	27	23	16	99	49									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8587	639	318	191	580	341	619	615	619	375	316	85	94	125	525	207	154	201	174	62	354	120	123	259	215	322	121	531	302									
9	Число недействительных избирательных бюллетеней	253	24	12	1	29	9	26	20	18	2	8	2	7	0	0	2	0	2	9	2	16	7	9	6	5	11	5	20	1									
10	Число действительных избирательных бюллетеней	9340	688	357	285	593	368	655	644	621	397	339	92	94	142	591	219	175	220	188	62	398	128	141	280	237	334	132	610	350									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	170	7	5	2	11	6	13	10	13	2	7	2	3	2	5	3	2	5	13	3	11	1	2	5	11	11	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	147	7	4	0	11	6	13	10	13	2	7	2	3	0	4	0	1	5	13	0	11	0	2	5	11	11	2	4	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	56	2	2	2	8	3	4	3	0	1	0	1	1	0	4	0	3	0	2	0	4	1	2	1	1	5	2	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	23	0	1	2	0	0	0	0	0	0	0	0	0	2	1	3	1	0	0	3	0	1	0	0	0	0	3	1	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	0	0	1	4	0	3	3	12	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	86	11	5	0	7	1	3	6	4	3	2	0	1	0	2	0	1	1	1	0	11	2	2	4	5	2	2	7	3									
		0.90%	1.54%	1.36%	0.00%	1.13%	0.27%	0.44%	0.90%	0.63%	0.75%	0.58%	0.00%	0.99%	0.00%	0.34%	0.00%	0.57%	0.45%	0.51%	0.00%	2.66%	1.48%	1.33%	1.40%	2.07%	0.58%	1.46%	1.11%	0.85%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	395	27	16	12	33	15	35	34	34	13	16	2	7	2	17	6	6	5	2	2	20	7	6	10	16	24	4	17	7									
		4.12%	3.79%	4.34%	4.20%	5.31%	3.98%	5.14%	5.12%	5.32%	3.26%	4.61%	2.13%	6.93%	1.41%	2.88%	2.71%	3.43%	2.25%	1.02%	3.13%	4.83%	5.19%	4.00%	3.50%	6.61%	6.96%	2.92%	2.70%	1.99%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	110	8	4	1	7	6	12	9	8	3	2	0	0	1	5	1	3	3	0	2	7	1	3	3	3	4	3	7	4									
		1.15%	1.12%	1.08%	0.35%	1.13%	1.59%	1.76%	1.36%	1.25%	0.75%	0.58%	0.00%	0.00%	0.70%	0.85%	0.45%	1.71%	1.35%	0.00%	3.13%	1.69%	0.74%	2.00%	1.05%	1.24%	1.16%	2.19%	1.11%	1.14%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5379	387	190	179	284	189	317	324	291	251	208	68	60	103	386	134	100	157	124	41	195	87	80	182	126	188	83	375	270									
		56.07%	54.35%	51.49%	62.59%	45.66%	50.13%	46.55%	48.80%	45.54%	62.91%	59.94%	72.34%	59.41%	72.54%	65.31%	60.63%	57.14%	70.72%	62.94%	64.06%	47.10%	64.44%	53.33%	63.64%	52.07%	54.49%	60.58%	59.52%	76.92%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	34	6	1	0	1	4	3	1	2	2	0	0	1	1	4	2	0	1	0	1	1	0	0	1	1	0	0	1	0									
		0.35%	0.84%	0.27%	0.00%	0.16%	1.06%	0.44%	0.15%	0.31%	0.50%	0.00%	0.00%	0.99%	0.70%	0.68%	0.90%	0.00%	0.45%	0.00%	1.56%	0.24%	0.00%	0.00%	0.35%	0.41%	0.00%	0.00%	0.16%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	29	2	2	0	2	1	3	3	1	0	2	0	0	0	0	0	3	1	1	0	1	0	0	1	0	1	0	5	0									
		0.30%	0.28%	0.54%	0.00%	0.32%	0.27%	0.44%	0.45%	0.16%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	1.71%	0.45%	0.51%	0.00%	0.24%	0.00%	0.00%	0.35%	0.00%	0.29%	0.00%	0.79%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1327	102	68	49	114	65	116	108	108	49	42	11	9	18	74	40	16	36	12	7	63	9	14	39	48	31	16	47	16									
		13.83%	14.33%	18.43%	17.13%	18.33%	17.24%	17.03%	16.27%	16.90%	12.28%	12.10%	11.70%	8.91%	12.68%	12.52%	18.10%	9.14%	16.22%	6.09%	10.94%	15.22%	6.67%	9.33%	13.64%	19.83%	8.99%	11.68%	7.46%	4.56%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	29	3	0	0	3	0	4	3	0	0	1	0	0	0	3	2	0	0	1	0	2	0	0	1	1	1	0	4	0									
		0.30%	0.42%	0.00%	0.00%	0.48%	0.00%	0.59%	0.45%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.51%	0.90%	0.00%	0.00%	0.51%	0.00%	0.48%	0.00%	0.00%	0.35%	0.41%	0.29%	0.00%	0.63%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	71	8	7	0	4	4	5	7	8	0	0	0	0	1	10	3	0	1	0	3	1	2	1	3	0	1	0	2	0									
		0.74%	1.12%	1.90%	0.00%	0.64%	1.06%	0.73%	1.05%	1.25%	0.00%	0.00%	0.00%	0.00%	0.70%	1.69%	1.36%	0.00%	0.45%	0.00%	4.69%	0.24%	1.48%	0.67%	1.05%	0.00%	0.29%	0.00%	0.32%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	1	0	0	3	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.07%	0.14%	0.00%	0.00%	0.48%	0.00%	0.15%	0.15%	0.00%	0.00%	0.00%	1.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	52	4	4	0	5	0	4	6	3	6	2	1	0	0	1	0	0	0	0	0	3	0	0	2	4	1	0	4	2									
		0.54%	0.56%	1.08%	0.00%	0.80%	0.00%	0.59%	0.90%	0.47%	1.50%	0.58%	1.06%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.72%	0.00%	0.00%	0.70%	1.65%	0.29%	0.00%	0.63%	0.57%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1596	116	54	41	106	75	125	126	147	65	48	8	14	10	78	23	39	14	45	5	81	19	30	26	28	79	20	133	41									
		16.64%	16.29%	14.63%	14.34%	17.04%	19.89%	18.36%	18.98%	23.00%	16.29%	13.83%	8.51%	13.86%	7.04%	13.20%	10.41%	22.29%	6.31%	22.84%	7.81%	19.57%	14.07%	20.00%	9.09%	11.57%	22.90%	14.60%	21.11%	11.68%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	18	1	1	1	2	1	1	2	0	1	1	0	0	1	0	2	0	0	0	0	1	0	0	2	0	0	0	0	1									
		0.19%	0.14%	0.27%	0.35%	0.32%	0.27%	0.15%	0.30%	0.00%	0.25%	0.29%	0.00%	0.00%	0.70%	0.00%	0.90%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.28%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	207	12	5	2	22	7	26	14	15	4	15	1	2	5	11	6	7	1	2	1	12	1	5	6	5	2	4	8	6									
		2.16%	1.69%	1.36%	0.70%	3.54%	1.86%	3.82%	2.11%	2.35%	1.00%	4.32%	1.06%	1.98%	3.52%	1.86%	2.71%	4.00%	0.45%	1.02%	1.56%	2.90%	0.74%	3.33%	2.10%	2.07%	0.58%	2.92%	1.27%	1.71%									
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
