Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																		
Дата голосования: 04.12.2011																																																																		
																																																																		
"Наименование Избирательной комиссии:    Тамбов, Октябрьская"																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №785	УИК №786					
1	"Число избирателей, внесенных в список избирателей"	132099	1074	1502	2405	2584	513	959	2615	2243	1317	2892	2095	2779	2814	3131	2490	393	2096	2949	2750	2108	1571	1724	2363	3100	2372	2594	2287	1850	2999	1864	1643	2621	2411	2106	1875	1969	2194	2380	2378	2519	1850	2241	2643	1590	1442	1581	2864	1988	2875	2965	2915	2900	2792	2639	2810	2306	1907	2365	2897					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	116887	900	1200	2300	2400	517	1010	2400	2000	1200	2500	2200	2750	2750	2500	2300	410	1700	2500	2500	2200	1300	1500	1800	2500	2100	2200	2000	1600	2500	1700	1500	2300	2350	1900	1600	1800	2000	2200	2000	2200	1500	2000	2300	1300	1400	1500	2500	1700	2500	2700	2700	2700	2500	2300	2500	1500	1500	2000	2500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	86577	575	964	1975	1874	90	576	2230	1680	601	2310	1394	2208	2289	1604	1807	304	1274	2152	986	653	935	1047	1550	2067	1297	1373	1247	1419	1764	1392	1058	2055	1925	856	1319	1533	1779	1846	1712	1347	1146	1469	1768	840	1231	1064	1989	1159	1573	2298	2296	1834	1760	1673	1649	856	987	1935	1983					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3945	27	62	45	60	388	383	26	47	18	68	244	82	80	156	54	86	43	40	20	11	25	37	70	252	58	64	74	57	80	79	43	27	52	58	78	86	46	49	53	48	51	23	24	14	34	63	19	105	16	46	53	37	26	13	29	14	20	29	53					
6	Число погашенных избирательных бюллетеней	26365	298	174	280	466	39	51	144	273	581	122	562	460	381	740	439	20	383	308	1494	1536	340	416	180	181	745	763	679	124	656	229	399	218	373	986	203	181	175	305	235	805	303	508	508	446	135	373	492	436	911	356	351	829	714	614	822	630	493	36	464					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3945	27	62	45	60	388	383	26	47	18	68	244	82	80	156	54	86	43	40	20	11	25	37	70	252	58	64	74	57	80	79	43	27	52	58	78	86	46	49	53	48	51	23	24	14	34	63	19	105	16	46	53	37	26	13	29	14	20	29	53					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	85422	575	958	1975	1733	90	576	2230	1680	601	2310	1394	2157	2208	1604	1794	304	1268	2152	985	653	935	1047	1550	2062	1282	1373	1245	1328	1764	1311	1055	1923	1864	854	1309	1533	1763	1840	1669	1344	1139	1469	1706	820	1230	1064	1989	1154	1573	2298	2296	1834	1631	1673	1642	855	987	1931	1833					
9	Число недействительных избирательных бюллетеней	2093	8	29	56	26	5	15	95	106	11	29	25	50	38	21	162	2	27	6	13	11	13	8	24	93	20	22	12	86	37	19	14	77	40	21	17	183	19	30	11	29	12	16	25	16	44	32	17	19	11	32	39	71	62	60	61	13	15	27	11					
10	Число действительных избирательных бюллетеней	87274	594	991	1964	1767	473	944	2161	1621	608	2349	1613	2189	2250	1739	1686	388	1284	2186	992	653	947	1076	1596	2221	1320	1415	1307	1299	1807	1371	1084	1873	1876	891	1370	1436	1790	1859	1711	1363	1178	1476	1705	818	1220	1095	1991	1240	1578	2312	2310	1800	1595	1626	1610	856	992	1933	1875					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2703	35	35	72	52	0	0	57	40	42	57	46	57	57	67	47	0	35	57	40	49	42	42	47	62	61	49	45	35	45	42	35	50	57	35	40	45	47	40	47	42	47	57	52	50	42	35	52	40	71	52	52	60	42	67	52	45	35	47	52					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1626	16	22	46	29	0	0	39	30	24	38	32	35	41	41	32	0	22	38	26	34	14	18	30	35	33	26	28	19	32	23	15	38	30	22	24	22	29	23	32	20	28	28	31	25	20	22	31	21	40	39	33	38	29	45	31	30	20	30	27					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2043	15	18	29	29	6	106	28	24	44	23	32	78	89	22	85	14	22	14	14	47	57	13	40	59	25	19	16	84	176	12	17	12	13	26	7	16	10	23	18	21	13	26	18	65	30	78	65	41	72	28	21	14	15	18	32	30	29	20	25					
14	Число погашенных неиспользованных открепительных удостоверений	1077	19	13	26	23	0	0	18	10	18	19	14	22	16	26	15	0	13	19	14	15	28	24	17	27	28	23	17	16	13	19	20	12	27	13	16	23	18	17	15	22	19	29	21	25	22	13	21	19	31	13	19	22	13	22	21	15	15	17	25					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	596	3	5	13	15	0	0	23	5	10	14	5	13	11	15	15	0	8	13	10	6	12	10	11	13	13	3	8	6	12	12	4	14	17	6	8	7	15	5	12	10	12	10	18	10	9	4	20	8	18	12	14	15	12	10	4	12	7	7	12					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	7270	72	129	128	212	36	70	106	127	74	233	171	195	226	125	166	39	155	98	154	97	127	69	139	88	38	104	89	83	200	164	95	164	198	107	90	82	175	162	111	76	83	36	63	110	81	109	223	81	72	283	196	90	43	79	93	125	148	178	203					
		8.13%	11.96%	12.65%	6.34%	11.82%	7.53%	7.30%	4.70%	7.35%	11.95%	9.80%	10.44%	8.71%	9.88%	7.10%	8.98%	10.00%	11.82%	4.47%	15.32%	14.61%	13.23%	6.37%	8.58%	3.80%	2.84%	7.24%	6.75%	5.99%	10.85%	11.80%	8.65%	8.41%	10.33%	11.73%	6.49%	5.06%	9.67%	8.58%	6.45%	5.46%	6.97%	2.41%	3.64%	13.19%	6.41%	9.67%	11.11%	6.43%	4.53%	12.07%	8.34%	4.81%	2.60%	4.69%	5.57%	14.38%	14.70%	9.08%	10.76%					
