Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																				
Дата голосования: 02.12.2007																																																																				
																																																																				
"Наименование Избирательной комиссии:    Тамбов, Октябрьская"																																																																				
																																																																				
Сводная таблица результатов выборов																																																																				
																																																																				
		Сумма	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835					
1	"Число избирателей, внесенных в списки избирателей"	129887	1197	2594	1559	2458	2710	2217	2115	2118	2425	2427	3232	2504	2305	2609	2352	2952	3179	2901	95	1032	341	356	2658	1879	1614	1986	2678	2121	1816	2791	1837	1674	1762	2811	2374	1787	2036	2243	2483	2268	2175	1552	2584	2773	1591	2801	1741	1823	1840	72	162	2501	2798	2761	2735	2787	2868	2426	1723	3011	2667					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	107500	1000	2000	1000	2000	2000	2000	2000	2000	2000	2000	2500	2000	2000	2000	2000	2500	2500	2500	100	1200	400	400	2000	1500	1500	1500	2000	2000	1500	2000	1500	1500	1500	2500	2000	1500	1500	2000	2000	2000	2000	1500	2000	2000	1500	2500	1500	1500	1500	100	200	2000	2500	2500	2000	2000	2500	2000	1100	2500	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	71210	665	1490	810	1459	1539	1171	1239	1249	1387	1381	2411	1426	1445	1539	1295	1368	1628	1536	90	726	0	218	1466	855	571	1075	1389	1002	853	1466	992	933	836	1717	1401	886	1156	1332	1402	1220	995	567	1484	1573	912	1482	943	1001	966	72	160	1384	1471	1534	1419	1578	1614	1431	1003	1546	1451					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4382	13	57	38	38	30	19	30	84	64	78	52	56	62	46	43	26	22	100	0	286	341	128	65	71	424	67	111	76	123	98	90	77	73	24	46	105	82	46	64	79	32	115	58	37	26	22	38	130	136	0	0	73	48	24	36	40	34	23	42	71	63					
6	Число погашенных избирательных бюллетеней	31908	322	453	152	503	431	810	731	667	549	541	37	518	493	415	662	1106	850	864	10	188	59	54	469	574	505	358	500	922	524	436	418	490	591	759	553	509	262	622	534	701	973	818	458	390	562	996	519	369	398	28	40	543	981	942	545	382	852	546	55	883	486					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4382	13	57	38	38	30	19	30	84	64	78	52	56	62	46	43	26	22	100	0	286	341	128	65	71	424	67	111	76	123	98	90	77	73	24	46	105	82	46	64	79	32	115	58	37	26	22	38	130	136	0	0	73	48	24	36	40	34	23	42	71	63					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	71142	665	1490	810	1459	1539	1169	1239	1248	1386	1380	2411	1413	1444	1539	1289	1368	1628	1536	90	726	0	218	1463	855	571	1075	1385	1002	852	1466	992	931	836	1713	1398	886	1156	1332	1399	1219	995	567	1484	1573	912	1482	943	1001	965	72	160	1384	1471	1534	1415	1575	1608	1426	1002	1545	1450					
9	Число недействительных избирательных бюллетеней	951	8	20	12	18	15	9	12	13	17	11	31	19	21	20	25	17	21	37	1	18	5	8	12	14	26	15	20	20	7	22	13	16	19	12	20	13	10	16	22	18	6	7	24	21	14	28	8	13	6	0	2	17	20	33	18	11	12	22	8	9	19					
10	Число действительных избирательных бюллетеней	74573	670	1527	836	1479	1554	1179	1257	1319	1433	1447	2432	1450	1485	1565	1307	1377	1629	1599	89	994	336	338	1516	912	969	1127	1476	1058	968	1542	1069	992	890	1725	1424	978	1228	1362	1441	1280	1021	675	1518	1589	924	1476	973	1118	1095	72	158	1440	1499	1525	1433	1604	1630	1427	1036	1607	1494					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1685	25	40	25	35	35	35	25	25	25	35	65	25	30	37	25	40	25	35	0	0	0	0	25	25	25	35	40	25	25	64	25	25	25	40	25	25	25	32	35	32	25	25	25	30	25	25	25	25	25	0	0	25	45	25	35	45	35	30	25	25	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1342	7	29	21	30	35	32	23	24	17	22	61	25	30	28	25	27	22	33	0	0	0	0	12	17	7	26	26	15	18	63	14	20	12	40	25	22	22	32	26	23	19	3	25	25	15	25	20	9	11	0	0	24	43	25	26	40	35	30	15	20	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2161	54	20	12	18	43	33	13	84	75	19	84	69	172	102	130	11	235	74	25	78	19	11	10	4	7	14	16	10	9	30	6	19	8	14	37	11	7	13	19	13	9	7	132	113	13	10	14	9	14	7	10	14	14	16	17	13	22	11	14	19	55					
14	Число погашенных неиспользованных открепительных удостоверений	343	18	11	4	5	0	3	2	1	8	13	4	0	0	9	0	13	3	2	0	0	0	0	13	8	18	9	14	10	7	1	11	5	13	0	0	3	3	0	9	9	6	22	0	5	10	0	5	16	14	0	0	1	2	0	9	5	0	0	10	5	4					
