Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																					
Дата голосования: 07.12.2003 0:00:00																																																																					
																																																																					
"Наименование Избирательной комиссии:    Челябинск, Советская"																																																																					
																																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																					
																																																																					
		Сумма	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092					
1	"Число избирателей, внесенных в списки"	103890	1519	1571	966	991	787	1113	1436	1317	1996	1590	2947	883	2568	1624	1750	1466	2261	2274	2000	1211	1983	1772	2034	1117	1704	2560	2316	2249	1250	1442	1579	1220	1667	661	1050	573	916	303	1644	1071	1775	2525	1847	2475	990	2245	2246	1931	2468	1557	1673	2351	827	2696	439	2578	2059	2347	2127	2125	2473	755					
2	"Число бюллетеней, полученных участковыми комиссиями"	93920	1285	1373	878	864	696	1012	1292	1163	2161	1724	2708	1438	2187	1472	1558	1279	1945	2002	1775	1176	1722	1532	1731	1220	1562	2123	2030	2033	1075	1300	1415	1106	1479	579	918	533	806	263	1472	940	1631	2339	1717	2198	858	1991	1937	1730	2164	1404	1512	2033	810	2352	394	2303	1825	2142	1989	1883	2221	660					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	50788	847	933	536	565	491	652	823	755	1394	743	2031	860	1272	980	904	740	1185	1066	1168	671	1069	1034	1076	603	940	734	1221	1207	613	717	709	576	608	238	415	248	411	109	563	393	680	1308	929	1005	462	1125	993	827	1056	754	689	895	286	1144	138	1117	952	1088	1064	854	1037	285					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1936	81	39	24	20	33	19	36	23	31	17	79	23	17	35	15	32	21	34	45	35	35	26	32	24	19	13	48	40	27	36	62	24	25	25	15	13	17	8	40	7	44	25	24	35	23	27	24	58	30	30	29	16	9	75	24	43	28	49	45	25	60	18					
6	Число погашенных бюллетеней	41193	357	401	318	279	172	341	433	385	736	964	598	555	898	457	639	507	737	902	562	470	618	472	623	593	603	1376	760	786	435	547	644	506	846	316	488	272	378	146	869	540	907	1006	764	1158	373	839	920	845	1078	620	794	1122	515	1133	232	1143	845	1005	880	1004	1124	357					
7	Число бюллетеней в переносных ящиках для голосования	1931	81	39	24	20	33	19	36	23	31	17	79	23	17	35	15	32	21	34	45	35	35	26	32	24	19	13	48	40	27	36	62	24	25	25	15	13	17	4	40	7	44	25	24	35	23	27	24	58	30	30	29	16	9	75	24	43	28	49	44	25	60	18					
8	Число бюллетеней в стационарных ящиках для голосования	50770	847	933	536	565	490	652	822	755	1392	743	2031	860	1272	980	903	739	1185	1065	1168	669	1068	1034	1076	603	939	734	1221	1207	613	716	709	576	608	238	415	248	411	109	563	393	678	1308	929	1005	462	1125	993	826	1056	754	689	895	286	1144	138	1117	951	1088	1063	853	1037	285					
9	Число недействительных бюллетеней	619	4	4	4	4	6	7	8	11	13	2	15	2	18	12	6	9	7	21	18	13	10	11	11	5	7	7	8	11	5	6	10	12	19	8	5	3	9	3	8	7	23	8	13	10	8	11	16	10	11	10	19	18	7	0	5	21	16	12	14	12	19	7					
10	Число действительных бюллетеней	52082	924	968	556	581	517	664	850	767	1410	758	2095	881	1271	1003	912	762	1199	1078	1195	691	1093	1049	1097	622	951	740	1261	1236	635	746	761	588	614	255	425	258	419	110	595	393	699	1325	940	1030	477	1141	1001	874	1075	774	699	893	288	1219	157	1139	963	1125	1093	866	1078	296					
