Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																	
Дата голосования: 04.12.2011																	
																	
Наименование Избирательной комиссии:    район Арбат																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №3200					
1	"Число избирателей, внесенных в список избирателей"	15386	1899	1754	1240	1941	2026	1455	1839	1786	1390	56					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12070	1400	1300	900	1400	1600	1000	1300	1500	1600	70					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9291	1147	827	784	1027	1375	686	972	1286	1141	46					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	246	30	27	40	24	56	11	19	29	0	10					
6	Число погашенных избирательных бюллетеней	2533	223	446	76	349	169	303	309	185	459	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	244	30	27	40	24	54	11	19	29	0	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9274	1145	827	784	1027	1367	682	970	1286	1140	46					
9	Число недействительных избирательных бюллетеней	80	15	0	13	0	17	14	18	0	3	0					
10	Число действительных избирательных бюллетеней	9438	1160	854	811	1051	1404	679	971	1315	1137	56					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1487	40	45	50	30	40	40	50	30	1162	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1267	29	22	15	21	31	24	38	23	1064	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	556	39	29	54	32	66	95	86	97	44	14					
14	Число погашенных неиспользованных открепительных удостоверений	212	11	15	35	9	9	16	12	7	98	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	0	0	0	0	0	1	0	7	0					
16	Число утраченных открепительных удостоверений	8	0	8	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1272	177	92	86	126	199	83	12	399	90	8					
		13.36%	15.06%	10.77%	10.44%	11.99%	14.00%	11.98%	1.21%	30.34%	7.89%	14.29%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	665	62	62	59	105	75	32	4	206	57	3					
		6.99%	5.28%	7.26%	7.16%	9.99%	5.28%	4.62%	0.40%	15.67%	5.00%	5.36%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	93	15	18	12	4	14	9	3	12	6	0					
		0.98%	1.28%	2.11%	1.46%	0.38%	0.99%	1.30%	0.30%	0.91%	0.53%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1158	212	56	48	126	278	29	290	16	79	24					
		12.17%	18.04%	6.56%	5.83%	11.99%	19.56%	4.18%	29.32%	1.22%	6.93%	42.86%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	171	63	10	17	9	35	4	5	11	11	6					
		1.80%	5.36%	1.17%	2.06%	0.86%	2.46%	0.58%	0.51%	0.84%	0.96%	10.71%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6012	619	601	582	678	799	515	656	660	888	14					
		63.16%	52.68%	70.37%	70.63%	64.51%	56.23%	74.31%	66.33%	50.19%	77.89%	25.00%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	67	12	15	7	3	4	7	1	11	6	1					
		0.70%	1.02%	1.76%	0.85%	0.29%	0.28%	1.01%	0.10%	0.84%	0.53%	1.79%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
