Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																
Дата голосования: 02.12.2007																
																
Наименование Избирательной комиссии:    район Арбат																
																
Сводная таблица результатов выборов																
																
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №3100					
1	"Число избирателей, внесенных в списки избирателей"	18210	1960	2288	1520	2448	2319	2998	2029	2581	67					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	13350	1800	1450	1200	1700	1550	2200	1600	1750	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11269	1344	1263	929	1462	1346	2104	1242	1521	58					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1048	154	131	111	154	166	52	142	132	6					
6	Число погашенных избирательных бюллетеней	1033	302	56	160	84	38	44	216	97	36					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1048	154	131	111	154	166	52	142	132	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11235	1344	1260	903	1457	1346	2104	1242	1521	58					
9	Число недействительных избирательных бюллетеней	135	20	15	20	3	21	25	20	11	0					
10	Число действительных избирательных бюллетеней	12148	1478	1376	994	1608	1491	2131	1364	1642	64					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1384	80	130	80	120	80	679	105	110	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1289	75	107	76	111	68	647	101	104	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1986	60	639	210	135	150	144	195	439	14					
14	Число погашенных неиспользованных открепительных удостоверений	95	5	23	4	9	12	32	4	6	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	0	0	0	3	1	9	2	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
																
18	1.Политическая партия «Аграрная партия России»	135	18	29	12	2	30	13	12	18	1					
		1.10%	1.20%	2.08%	1.18%	0.12%	1.98%	0.60%	0.87%	1.09%	1.56%					
19	2.Всероссийская политическая партия «Гражданская Сила»	130	19	31	11	6	32	8	14	9	0					
		1.06%	1.27%	2.23%	1.08%	0.37%	2.12%	0.37%	1.01%	0.54%	0.00%					
20	3.Политическая партия «Демократическая партия России»	16	2	0	1	1	0	6	3	3	0					
		0.13%	0.13%	0.00%	0.10%	0.06%	0.00%	0.28%	0.22%	0.18%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1601	226	183	121	223	205	325	118	182	18					
		13.03%	15.09%	13.16%	11.93%	13.84%	13.56%	15.07%	8.53%	11.01%	28.13%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	396	102	80	41	8	52	21	51	41	0					
		3.22%	6.81%	5.75%	4.04%	0.50%	3.44%	0.97%	3.68%	2.48%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	52	10	5	6	2	5	4	9	11	0					
		0.42%	0.67%	0.36%	0.59%	0.12%	0.33%	0.19%	0.65%	0.67%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	293	28	69	18	10	30	51	41	41	5					
		2.39%	1.87%	4.96%	1.78%	0.62%	1.98%	2.37%	2.96%	2.48%	7.81%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	469	52	97	66	68	42	42	53	42	7					
		3.82%	3.47%	6.97%	6.51%	4.22%	2.78%	1.95%	3.83%	2.54%	10.94%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	74	10	7	10	1	13	15	7	11	0					
		0.60%	0.67%	0.50%	0.99%	0.06%	0.86%	0.70%	0.51%	0.67%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	8503	945	776	601	1270	1052	1575	995	1257	32					
		69.23%	63.08%	55.79%	59.27%	78.83%	69.58%	73.05%	71.89%	76.04%	50.00%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	479	66	99	107	17	30	71	61	27	1					
		3.90%	4.41%	7.12%	10.55%	1.06%	1.98%	3.29%	4.41%	1.63%	1.56%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
