Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																	
Дата голосования: 02.12.2007																	
																	
Наименование Избирательной комиссии:    Катангская																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741					
1	"Число избирателей, внесенных в списки избирателей"	3233	88	94	777	968	446	404	233	56	100	67					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	3350	94	90	808	1026	459	353	273	70	103	74					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	110	7	0	41	0	62	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	1804	48	51	334	487	230	269	188	47	94	56					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	155	0	0	36	62	22	13	20	2	0	0					
6	Число погашенных избирательных бюллетеней	1281	39	39	397	477	145	71	65	21	9	18					
7	Число избирательных бюллетеней в переносных ящиках для голосования	264	6	0	77	62	84	13	20	2	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1803	48	51	333	487	230	269	188	47	94	56					
9	Число недействительных избирательных бюллетеней	17	0	0	3	7	1	3	1	0	2	0					
10	Число действительных избирательных бюллетеней	2050	54	51	407	542	313	279	207	49	92	56					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	393	20	20	50	93	50	50	50	20	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	178	8	0	45	38	7	11	40	12	5	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	17	0	0	1	9	3	1	2	0	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	215	12	20	5	55	43	39	10	8	15	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	2	0	1	4	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
																	
18	1.Политическая партия «Аграрная партия России»	74	1	0	20	22	6	11	10	2	0	2					
		3.58%	1.85%	0.00%	4.88%	4.01%	1.91%	3.90%	4.81%	4.08%	0.00%	3.57%					
19	2.Всероссийская политическая партия «Гражданская Сила»	10	0	0	0	8	0	1	0	0	1	0					
		0.48%	0.00%	0.00%	0.00%	1.46%	0.00%	0.35%	0.00%	0.00%	1.06%	0.00%					
20	3.Политическая партия «Демократическая партия России»	4	0	0	1	2	1	0	0	0	0	0					
		0.19%	0.00%	0.00%	0.24%	0.36%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	164	3	1	35	60	21	13	19	2	3	7					
		7.93%	5.56%	1.96%	8.54%	10.93%	6.69%	4.61%	9.13%	4.08%	3.19%	12.50%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	11	1	0	7	1	0	0	1	0	1	0					
		0.53%	1.85%	0.00%	1.71%	0.18%	0.00%	0.00%	0.48%	0.00%	1.06%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	3	0	1	0	0	0	0	0	0	2	0					
		0.15%	0.00%	1.96%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.13%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	224	8	2	40	47	31	45	26	9	11	5					
		10.84%	14.81%	3.92%	9.76%	8.56%	9.87%	15.96%	12.50%	18.37%	11.70%	8.93%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	146	0	0	29	37	18	16	31	2	11	2					
		7.06%	0.00%	0.00%	7.07%	6.74%	5.73%	5.67%	14.90%	4.08%	11.70%	3.57%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	14	2	0	1	4	1	3	2	1	0	0					
		0.68%	3.70%	0.00%	0.24%	0.73%	0.32%	1.06%	0.96%	2.04%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1384	38	47	268	357	234	189	117	31	63	40					
		66.96%	70.37%	92.16%	65.37%	65.03%	74.52%	67.02%	56.25%	63.27%	67.02%	71.43%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	16	1	0	6	4	1	1	1	2	0	0					
		0.77%	1.85%	0.00%	1.46%	0.73%	0.32%	0.35%	0.48%	4.08%	0.00%	0.00%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
