Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Спасская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК  2264	УИК  2265	УИК  2266	УИК  2267	УИК  2268	УИК  2269	УИК  2270	УИК  2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2289					
1	"Число избирателей, внесенных в список"	10248	339	180	324	263	177	445	152	527	734	167	72	292	203	277	244	91	259	1591	1200	368	213	120	552	605	580	273					
2	Число полученных избирательных бюллетеней	9855	310	173	320	260	154	430	149	500	730	177	72	280	201	270	240	92	250	1500	1100	350	200	117	570	600	550	260					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6225	273	130	259	152	135	292	58	198	515	97	22	165	93	184	167	79	193	928	650	218	107	78	379	355	318	180					
5	"Число избирательных бюллетеней, выданных вне помещения"	1362	8	11	5	75	13	59	38	219	57	32	41	75	71	34	45	0	24	65	105	60	53	23	54	61	100	34					
6	Число погашенных избирательных бюллетеней	2268	29	32	56	33	6	79	53	83	158	48	9	40	37	52	28	13	33	507	345	72	40	16	137	184	132	46					
7	Число избирательных бюллетеней в переносных ящиках	1362	8	11	5	75	13	59	38	219	57	32	41	75	71	34	45	0	24	65	105	60	53	23	54	61	100	34					
8	Число бюллетеней в стационарных ящиках для голосования	6224	273	130	259	152	135	292	58	198	515	97	22	165	93	184	167	79	193	928	650	218	107	78	378	355	318	180					
9	Число недействительных избирательных бюллетеней	88	5	0	8	0	1	2	1	5	6	0	0	3	7	3	4	0	3	10	4	3	3	0	4	11	5	0					
10	Число действительных избирательных бюллетеней	7498	276	141	256	227	147	349	95	412	566	129	63	237	157	215	208	79	214	983	751	275	157	101	428	405	413	214					
11	Число полученных открепительных  удостоверений	500	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	60	100	70	10	10	30	30	10	10					
12	Число выданных открепительных удостоверений	111	0	0	0	1	1	0	0	0	7	2	0	0	0	2	0	0	0	19	13	3	0	1	30	25	6	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	52	1	3	1	2	1	4	4	3	2	1	1	0	1	1	1	1	1	3	3	1	8	3	1	5	0	0					
14	Число неиспользованных открепительных удостоверений	389	10	10	10	9	9	10	10	10	3	8	10	10	10	8	10	10	10	41	87	67	10	9	0	5	4	9					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	137	0	1	0	1	6	9	2	5	26	0	0	5	1	6	2	0	2	24	14	7	1	1	2	5	14	3					
		1.81%	0.00%	0.71%	0.00%	0.44%	4.05%	2.56%	2.08%	1.20%	4.55%	0.00%	0.00%	2.08%	0.61%	2.75%	0.94%	0.00%	0.92%	2.42%	1.85%	2.52%	0.62%	0.99%	0.46%	1.20%	3.35%	1.40%					
19	. Малышкин Олег Александрович	183	1	2	1	2	6	4	5	15	22	2	0	5	15	4	13	0	6	28	16	9	2	5	4	1	13	2					
		2.41%	0.36%	1.42%	0.38%	0.88%	4.05%	1.14%	5.21%	3.60%	3.85%	1.55%	0.00%	2.08%	9.15%	1.83%	6.13%	0.00%	2.76%	2.82%	2.12%	3.24%	1.25%	4.95%	0.93%	0.24%	3.11%	0.93%					
20	. Миронов Сергей Михайлович	78	1	1	2	5	0	3	1	9	10	2	0	2	3	0	0	0	3	2	15	7	2	2	2	1	5	0					
		1.03%	0.36%	0.71%	0.76%	2.20%	0.00%	0.85%	1.04%	2.16%	1.75%	1.55%	0.00%	0.83%	1.83%	0.00%	0.00%	0.00%	1.38%	0.20%	1.99%	2.52%	1.25%	1.98%	0.46%	0.24%	1.20%	0.00%					
21	. Путин Владимир Владимирович	4899	194	103	127	178	77	221	61	218	360	97	42	182	88	136	168	60	136	705	523	188	123	82	221	184	325	100					
		64.58%	69.04%	73.05%	48.11%	78.41%	52.03%	62.96%	63.54%	52.28%	62.94%	75.19%	66.67%	75.83%	53.66%	62.39%	79.25%	75.95%	62.67%	71.00%	69.27%	67.63%	76.88%	81.19%	51.16%	44.23%	77.75%	46.73%					
22	. Хакамада Ирина Муцуовна	133	5	2	1	3	4	8	3	15	12	3	1	1	2	5	0	0	3	26	13	7	4	0	4	6	2	3					
		1.75%	1.78%	1.42%	0.38%	1.32%	2.70%	2.28%	3.12%	3.60%	2.10%	2.33%	1.59%	0.42%	1.22%	2.29%	0.00%	0.00%	1.38%	2.62%	1.72%	2.52%	2.50%	0.00%	0.93%	1.44%	0.48%	1.40%					
23	. Харитонов Николай Михайлович	1959	74	31	125	37	53	101	23	143	115	23	19	39	48	61	24	19	59	181	149	46	25	10	194	204	52	104					
		25.82%	26.33%	21.99%	47.35%	16.30%	35.81%	28.77%	23.96%	34.29%	20.10%	17.83%	30.16%	16.25%	29.27%	27.98%	11.32%	24.05%	27.19%	18.23%	19.74%	16.55%	15.62%	9.90%	44.91%	49.04%	12.44%	48.60%					
																																	
24	Против всех	109	1	1	0	1	1	3	0	7	21	2	1	3	0	3	1	0	5	17	21	11	0	1	1	4	2	2					
		1.44%	0.36%	0.71%	0.00%	0.44%	0.68%	0.85%	0.00%	1.68%	3.67%	1.55%	1.59%	1.25%	0.00%	1.38%	0.47%	0.00%	2.30%	1.71%	2.78%	3.96%	0.00%	0.99%	0.23%	0.96%	0.48%	0.93%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
