Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Сарпинская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9306	1492	1948	1423	753	111	597	376	87	229	744	391	119	132	408	496									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9413	1494	1954	1440	764	116	601	379	83	232	750	405	120	132	428	515									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4283	568	775	580	543	61	382	206	57	131	348	139	62	78	194	159									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	341	37	41	33	40	0	21	28	3	5	39	20	4	9	26	35									
6	Число погашенных избирательных бюллетеней	4789	889	1138	827	181	55	198	145	23	96	363	246	54	45	208	321									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	341	37	41	33	40	0	21	28	3	5	39	20	4	9	26	35									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4283	568	775	580	543	61	382	206	57	131	348	139	62	78	194	159									
9	Число недействительных избирательных бюллетеней	91	51	2	4	13	0	6	0	2	1	6	3	0	0	1	2									
10	Число действительных избирательных бюллетеней	4533	554	814	609	570	61	397	234	58	135	381	156	66	87	219	192									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	280	30	30	30	20	10	20	20	10	10	20	20	10	10	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	95	7	16	10	11	2	0	1	0	1	2	11	5	1	11	17									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	68	13	8	9	4	2	4	3	5	2	2	4	0	4	7	1									
14	Число погашенных неиспользованных открепительных удостоверений	185	23	14	20	9	8	20	19	10	9	18	9	5	9	9	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	3	1	2	1	0	0	0	0	0	0	3	0	0	2	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
