Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Звениговская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	34352	588	748	642	702	876	955	1110	1018	897	1219	1336	286	350	238	1371	1326	733	1035	1133	1080	399	1378	1087	1491	889	534	849	543	476	506	534	539	465	240	585	607	668	129	201	371	757	535	130	153	968	1190	485									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34850	580	750	640	700	890	970	1100	980	890	1230	1390	280	330	260	1370	1340	730	1040	1160	1090	410	1490	1150	1550	860	540	870	550	500	530	570	560	480	250	620	630	670	110	160	350	750	540	130	160	1040	1180	480									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17198	295	412	338	365	391	506	545	531	465	625	696	134	199	202	673	601	347	461	628	600	187	666	410	640	421	257	463	265	282	239	312	289	254	118	250	320	411	70	85	196	313	227	42	61	609	553	244									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1526	14	10	2	8	21	18	13	49	22	20	21	17	10	9	33	17	29	19	17	13	22	111	123	102	48	61	22	31	32	40	21	31	13	21	99	31	15	14	62	31	47	40	20	20	29	49	29									
6	Число погашенных избирательных бюллетеней	16126	271	328	300	327	478	446	542	400	403	585	673	129	121	49	664	722	354	560	515	477	201	713	617	808	391	222	385	254	186	251	237	240	213	111	271	279	244	26	13	123	390	273	68	79	402	578	207									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1526	14	10	2	8	21	18	13	49	22	20	21	17	10	9	33	17	29	19	17	13	22	111	123	102	48	61	22	31	32	40	21	31	13	21	99	31	15	14	62	31	47	40	20	20	29	49	29									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17198	295	412	338	365	391	506	545	531	465	625	696	134	199	202	673	601	347	461	628	600	187	666	410	640	421	257	463	265	282	239	312	289	254	118	250	320	411	70	85	196	313	227	42	61	609	553	244									
9	Число недействительных избирательных бюллетеней	424	9	16	7	7	5	0	16	13	16	13	6	2	6	6	20	12	15	11	15	11	6	21	9	15	4	3	15	14	3	9	6	8	6	1	6	9	11	1	1	0	12	4	3	2	21	23	5									
10	Число действительных избирательных бюллетеней	18300	300	406	333	366	407	524	542	567	471	632	711	149	203	205	686	606	361	469	630	602	203	756	524	727	465	315	470	282	311	270	327	312	261	138	343	342	415	83	146	227	348	263	59	79	617	579	268									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1530	16	25	25	14	25	20	20	20	20	30	55	5	20	35	40	30	35	30	45	30	15	115	100	60	30	20	30	15	25	20	40	30	25	20	40	30	60	5	5	15	35	15	5	10	105	100	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1407	12	19	20	11	21	20	12	16	20	28	51	4	7	35	32	30	28	30	35	27	15	113	100	60	30	20	30	15	25	20	40	30	25	14	40	30	51	4	0	15	20	15	5	10	102	100	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	684	13	14	19	17	17	15	16	27	30	16	13	6	14	22	15	20	10	16	12	14	4	9	13	3	54	14	8	7	9	6	7	9	6	6	8	15	54	12	13	21	21	10	5	1	29	9	5									
14	Число погашенных неиспользованных открепительных удостоверений	123	4	6	5	3	4	0	8	4	0	2	4	1	13	0	8	0	7	0	10	3	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	9	1	5	0	15	0	0	0	3	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	213	5	9	6	8	4	10	12	9	5	15	14	1	0	0	1	0	3	0	11	2	0	2	1	3	4	3	6	5	4	8	6	2	3	5	6	8	13	0	0	2	0	3	1	0	1	9	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																										
