Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																								
Дата голосования: 07.12.2003 0:00:00																																								
																																								
Наименование Избирательной комиссии:    Топчихинская																																								
																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																								
																																								
		Сумма	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596					
1	"Число избирателей, внесенных в списки"	21120	2211	1703	1928	1931	617	805	364	179	868	248	115	638	403	157	564	133	1346	260	377	90	576	252	657	233	167	332	389	616	959	105	523	228	1146					
2	"Число бюллетеней, полученных участковыми комиссиями"	20084	2000	1500	1700	1800	600	790	350	170	850	240	115	630	400	163	550	132	1300	240	360	90	570	250	650	230	170	340	380	610	950	100	520	234	1100					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11926	1130	748	866	1375	374	417	215	107	497	170	92	409	257	110	356	83	691	174	234	68	372	147	391	121	95	144	253	332	571	68	320	130	609					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	807	75	64	37	31	12	72	10	17	41	5	5	20	0	15	33	15	41	8	21	1	21	15	38	14	22	0	19	50	27	8	18	14	38					
6	Число погашенных бюллетеней	7351	795	688	797	394	214	301	125	46	312	65	18	201	143	38	161	34	568	58	105	21	177	88	221	95	53	196	108	228	352	24	182	90	453					
7	Число бюллетеней в переносных ящиках для голосования	807	75	64	37	31	12	72	10	17	41	5	5	20	0	15	33	15	41	8	21	1	21	15	38	14	22	0	19	50	27	8	18	14	38					
8	Число бюллетеней в стационарных ящиках для голосования	11926	1130	748	866	1375	374	417	215	107	497	170	92	409	257	110	356	83	691	174	234	68	372	147	391	121	95	144	253	332	571	68	320	130	609					
9	Число недействительных бюллетеней	162	21	2	11	8	12	8	3	2	1	3	2	9	3	1	10	0	8	5	7	2	7	3	3	0	1	2	2	4	5	1	6	1	9					
10	Число действительных бюллетеней	12571	1184	810	892	1398	374	481	222	122	537	172	95	420	254	124	379	98	724	177	248	67	386	159	426	135	116	142	270	378	593	75	332	143	638					
