Выборы Президента Российской Федерации											
											
Наименование Избирательной комиссии:    Чаа-Хольская											
											
Итоги голосования 											
											
		Сумма	УИК №166	УИК №167	УИК №168	УИК №169					
1	"Число избирателей, внесенных в список"	3562	1965	591	212	794					
2	Число полученных избирательных бюллетеней	3519	1968	569	206	776					
3	"Число избирательных бюллетеней, выданных  досрочно"	77	47	0	30	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	2120	1156	369	139	456					
5	"Число избирательных бюллетеней, выданных вне помещения"	166	73	28	8	57					
6	Число погашенных избирательных бюллетеней	1156	692	172	29	263					
7	Число избирательных бюллетеней в переносных ящиках	243	120	28	38	57					
8	Число бюллетеней в стационарных ящиках для голосования	2120	1156	369	139	456					
9	Число недействительных избирательных бюллетеней	47	36	5	3	3					
10	Число действительных избирательных бюллетеней	2316	1240	392	174	510					
11	Число полученных открепительных  удостоверений	59	25	10	10	14					
12	Число выданных открепительных удостоверений	25	19	4	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	6	3	1	0	2					
14	Число неиспользованных открепительных удостоверений	34	6	6	10	12					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"											
18	. Глазьев Сергей Юрьевич	6	5	1	0	0					
		0.25%	0.39%	0.25%	0.00%	0.00%					
19	. Малышкин Олег Александрович	5	4	0	0	1					
		0.21%	0.31%	0.00%	0.00%	0.19%					
20	. Миронов Сергей Михайлович	8	6	0	1	1					
		0.34%	0.47%	0.00%	0.56%	0.19%					
21	. Путин Владимир Владимирович	2204	1168	379	170	487					
		93.27%	91.54%	95.47%	96.05%	94.93%					
22	. Хакамада Ирина Муцуовна	28	13	4	2	9					
		1.18%	1.02%	1.01%	1.13%	1.75%					
23	. Харитонов Николай Михайлович	57	37	7	1	12					
		2.41%	2.90%	1.76%	0.56%	2.34%					
											
24	Против всех	8	7	1	0	0					
		0.34%	0.55%	0.25%	0.00%	0.00%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
