Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №24																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	122259	2356	2006	1965	1756	1610	1149	1901	1786	1855	2126	2175	2106	2112	2022	1850	1866	1914	1718	1665	1767	1860	1503	1641	1577	2228	1968	2077	2353	2158	1722	1618	1953	2498	2098	1774	1652	1717	1594	2019	2168	2084	2751	2661	2542	2269	2179	2260	2172	2231	2263	1955	2530	2728	2056	2265	2150	2044	2480	2368	2388									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	106600	2000	1500	1500	1500	1500	1000	1500	1500	1500	2000	2000	2000	2000	1500	1500	1500	1500	1500	1500	1500	1500	1100	1500	1500	2000	1500	2000	2000	2000	1500	1500	1500	2000	2000	1500	1500	1500	1500	1500	2000	2000	2500	2500	2000	2000	2000	2000	2000	2000	2000	1500	2500	2500	2000	2000	2000	2000	2000	2000	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	34643	766	508	525	461	497	362	522	543	460	532	595	583	626	581	461	485	507	428	387	511	536	488	525	480	630	574	561	627	696	466	495	509	831	518	523	454	456	360	496	520	440	662	696	674	681	738	727	651	675	570	655	817	917	569	619	601	654	794	733	685									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	726	57	3	5	10	12	14	9	15	6	8	10	9	19	2	8	37	11	7	54	19	30	9	8	13	14	21	11	13	30	11	2	13	7	10	12	4	2	5	8	8	2	4	11	11	5	4	13	9	7	13	23	6	18	2	7	2	5	5	10	23									
6	Число погашенных избирательных бюллетеней	71230	1177	989	970	1029	991	624	969	942	1034	1460	1395	1408	1355	917	1031	978	982	1065	1059	970	934	603	967	1006	1356	905	1428	1360	1274	1023	1003	978	1162	1472	965	1042	1042	1135	996	1472	1558	1834	1793	1315	1314	1258	1260	1340	1318	1417	822	1677	1565	1429	1374	1397	1341	1201	1257	1292									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	717	57	3	5	10	12	14	9	15	6	8	10	0	19	2	8	37	11	7	54	19	30	9	8	13	14	21	11	13	30	11	2	13	7	10	12	4	2	5	8	8	2	4	11	11	5	4	13	9	7	13	23	6	18	2	7	2	5	5	10	23									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	34488	766	496	525	461	494	362	522	541	460	528	595	583	615	576	460	447	505	427	387	511	535	487	525	480	629	570	558	623	696	466	495	509	831	518	523	439	456	360	495	516	440	661	685	674	679	738	727	651	666	569	655	813	917	568	608	599	654	794	733	685									
9	Число недействительных избирательных бюллетеней	706	27	16	19	4	5	9	8	11	11	20	10	18	18	10	7	8	8	7	4	5	23	12	10	4	14	5	16	6	9	14	19	0	22	8	6	3	14	9	9	9	18	15	4	8	11	7	17	11	0	13	6	29	8	15	0	11	27	15	22	32									
10	Число действительных избирательных бюллетеней	34499	796	483	511	467	501	367	523	545	455	516	595	565	616	568	461	476	508	427	437	525	542	484	523	489	629	586	553	630	717	463	478	522	816	520	529	440	444	356	494	515	424	650	692	677	673	735	723	649	673	569	672	790	927	555	615	590	632	784	721	676									
