Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																			
Дата голосования: 07.12.2003 0:00:00																																																			
																																																			
Наименование Избирательной комиссии:    Кармаскалинская																																																			
																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																			
																																																			
		Сумма	УИК  2528	УИК  2529	УИК  2530	УИК  2531	УИК  2532	УИК  2533	УИК  2534	УИК  2535	УИК  2536	УИК  2537	УИК  2538	УИК  2539	УИК  2540	УИК  2541	УИК  2542	УИК  2543	УИК  2544	УИК  2545	УИК  2546	УИК  2547	УИК  2548	УИК  2549	УИК  2550	УИК  2551	УИК  2552	УИК  2553	УИК  2554	УИК  2555	УИК  2556	УИК  2557	УИК  2558	УИК  2559	УИК  2560	УИК  2561	УИК  2562	УИК  2563	УИК  2564	УИК  2565	УИК  2566	УИК  2567	УИК  2568	УИК  2569	УИК  2570	УИК  2571					
1	"Число избирателей, внесенных в списки"	32603	551	282	542	449	1215	720	413	1918	609	309	154	228	371	1410	1554	474	233	1812	1491	1956	403	484	1106	746	603	270	204	245	1041	1153	513	678	304	236	447	709	615	193	664	289	619	451	1725	2214					
2	"Число бюллетеней, полученных участковыми комиссиями"	33492	568	271	533	451	1221	926	410	1918	752	310	152	222	368	1392	1517	485	230	1900	1508	2027	500	633	1106	739	602	285	209	221	1037	1149	605	751	302	252	441	689	645	201	669	285	642	475	1721	2172					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	26249	393	258	469	315	1167	697	313	1678	536	263	95	201	311	1203	1197	392	213	1383	1059	1509	403	469	1081	712	438	255	164	100	865	752	470	669	219	195	336	637	562	156	524	256	498	373	1165	1298					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1346	121	9	37	54	27	23	30	9	73	31	27	19	17	13	13	25	3	26	4	7	0	15	17	21	29	9	16	93	11	80	43	9	14	41	20	41	53	37	34	6	32	39	93	25					
6	Число погашенных бюллетеней	5897	54	4	27	82	27	206	67	231	143	16	30	2	40	176	307	68	14	491	445	511	97	149	8	6	135	21	29	28	161	317	92	73	69	16	85	11	30	8	111	23	112	63	463	849					
7	Число бюллетеней в переносных ящиках для голосования	1346	121	9	37	54	27	23	30	9	73	31	27	19	17	13	13	25	3	26	4	7	0	15	17	21	29	9	16	93	11	80	43	9	14	41	20	41	53	37	34	6	32	39	93	25					
8	Число бюллетеней в стационарных ящиках для голосования	26241	390	258	469	315	1167	697	313	1678	536	263	95	201	311	1203	1197	392	213	1383	1059	1509	403	469	1080	712	438	255	164	100	865	752	470	665	219	195	336	637	562	156	524	256	498	373	1165	1298					
9	Число недействительных бюллетеней	606	38	0	0	0	6	1	2	5	0	0	2	3	19	13	0	11	15	48	48	30	1	14	31	0	32	3	4	0	40	8	2	9	0	23	8	6	1	0	3	23	5	13	99	40					
10	Число действительных бюллетеней	26981	473	267	506	369	1188	719	341	1682	609	294	120	217	309	1203	1210	406	201	1361	1015	1486	402	470	1066	733	435	261	176	193	836	824	511	665	233	213	348	672	614	193	555	239	525	399	1159	1283					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	5	1	6	5	5	5	1	12	5	1	1	1	1	10	22	5	5	31	6	34	1	2	5	7	5	1	0	0	5	11	4	1	2	1	5	5	9	0	5	2	2	4	31	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	265	5	0	6	1	2	4	1	12	4	0	0	0	0	9	22	2	4	31	6	33	1	1	5	7	5	1	0	0	0	10	3	0	1	1	3	3	9	0	5	1	2	4	31	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	215	2	4	6	0	13	2	4	3	11	4	1	1	3	8	7	4	4	24	4	17	2	2	0	6	1	3	2	4	4	6	5	8	0	4	5	4	4	5	4	2	2	0	12	8					
14	Число погашенных открепительных удостоверений	35	0	1	0	4	3	1	0	0	1	1	1	1	1	1	0	3	1	0	0	1	0	1	0	0	0	0	0	0	5	1	1	1	1	0	2	2	0	0	0	1	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																			
18	"1. ""ЕДИНЕНИЕ"""	721	13	10	12	6	23	36	5	19	0	4	1	22	26	22	21	18	10	36	39	36	10	11	11	24	14	4	3	9	18	32	18	31	7	12	11	11	12	2	19	17	36	13	18	19					
		2.61%	2.54%	3.74%	2.37%	1.62%	1.92%	5.0%	1.45%	1.12%	0.0%	1.36%	0.81%	10.0%	7.92%	1.80%	1.73%	4.31%	4.62%	2.55%	3.66%	2.37%	2.48%	2.27%	1.00%	3.27%	2.99%	1.51%	1.66%	4.66%	2.05%	3.84%	3.50%	4.59%	3.00%	5.08%	3.08%	1.62%	1.95%	1.03%	3.40%	6.48%	6.79%	3.15%	1.43%	1.43%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	257	1	1	3	3	2	2	0	18	0	0	1	0	0	23	21	1	0	11	16	28	2	9	8	2	5	0	0	2	8	20	5	2	4	0	4	13	2	0	3	1	6	3	17	10					
		0.93%	0.19%	0.37%	0.59%	0.81%	0.16%	0.27%	0.0%	1.06%	0.0%	0.0%	0.81%	0.0%	0.0%	1.89%	1.73%	0.23%	0.0%	0.78%	1.50%	1.84%	0.49%	1.85%	0.72%	0.27%	1.07%	0.0%	0.0%	1.03%	0.91%	2.40%	0.97%	0.29%	1.71%	0.0%	1.12%	1.91%	0.32%	0.0%	0.53%	0.38%	1.13%	0.72%	1.35%	0.75%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	489	5	0	14	9	20	5	1	12	0	9	6	0	2	52	37	5	6	36	31	32	8	7	15	5	15	0	3	3	9	22	5	22	4	5	5	7	4	1	7	4	10	4	26	16					
		1.77%	0.97%	0.0%	2.76%	2.43%	1.67%	0.69%	0.29%	0.71%	0.0%	3.06%	4.91%	0.0%	0.60%	4.27%	3.05%	1.19%	2.77%	2.55%	2.91%	2.11%	1.98%	1.44%	1.36%	0.68%	3.21%	0.0%	1.66%	1.55%	1.02%	2.64%	0.97%	3.26%	1.71%	2.11%	1.40%	1.03%	0.65%	0.51%	1.25%	1.52%	1.88%	0.97%	2.06%	1.20%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	253	2	0	16	4	4	6	0	5	0	0	3	2	2	8	14	2	1	36	9	26	1	3	9	3	6	1	0	0	4	10	2	5	1	4	4	6	1	3	5	0	6	1	23	15					
		0.91%	0.39%	0.0%	3.16%	1.08%	0.33%	0.83%	0.0%	0.29%	0.0%	0.0%	2.45%	0.90%	0.60%	0.65%	1.15%	0.47%	0.46%	2.55%	0.84%	1.71%	0.24%	0.61%	0.82%	0.40%	1.28%	0.37%	0.0%	0.0%	0.45%	1.20%	0.38%	0.74%	0.42%	1.69%	1.12%	0.88%	0.16%	1.55%	0.89%	0.0%	1.13%	0.24%	1.82%	1.13%					
22	"5. ""За Русь Святую"""	59	0	0	5	1	2	0	2	2	0	0	0	0	0	1	3	0	1	3	3	6	3	1	2	0	2	1	0	0	3	0	2	0	3	0	0	2	3	0	0	1	0	2	0	5					
		0.21%	0.0%	0.0%	0.98%	0.27%	0.16%	0.0%	0.58%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.24%	0.0%	0.46%	0.21%	0.28%	0.39%	0.74%	0.20%	0.18%	0.0%	0.42%	0.37%	0.0%	0.0%	0.34%	0.0%	0.38%	0.0%	1.28%	0.0%	0.0%	0.29%	0.48%	0.0%	0.0%	0.38%	0.0%	0.48%	0.0%	0.37%					
23	"6. ""Объединенная Российская партия ""Русь"""	68	1	2	0	1	4	0	0	4	0	0	0	0	0	0	6	0	1	2	1	3	1	1	3	4	2	0	1	0	3	3	6	2	0	0	0	0	1	0	1	3	6	0	3	3					
		0.24%	0.19%	0.74%	0.0%	0.27%	0.33%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.0%	0.46%	0.14%	0.09%	0.19%	0.24%	0.20%	0.27%	0.54%	0.42%	0.0%	0.55%	0.0%	0.34%	0.36%	1.16%	0.29%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.17%	1.14%	1.13%	0.0%	0.23%	0.22%					
24	"7. ""Новый курс - Автомобильная Россия"""	178	0	1	8	4	6	3	1	4	0	0	0	0	0	8	11	1	4	18	13	31	1	6	7	1	11	0	1	0	2	0	1	6	2	0	2	4	1	2	1	0	2	1	7	7					
		0.64%	0.0%	0.37%	1.58%	1.08%	0.50%	0.41%	0.29%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.65%	0.90%	0.23%	1.85%	1.27%	1.22%	2.04%	0.24%	1.23%	0.63%	0.13%	2.35%	0.0%	0.55%	0.0%	0.22%	0.0%	0.19%	0.89%	0.85%	0.0%	0.56%	0.58%	0.16%	1.03%	0.17%	0.0%	0.37%	0.24%	0.55%	0.52%					
25	"8. ""Народно-республиканская партия России"""	52	0	0	1	0	3	1	0	0	0	0	0	0	0	0	6	1	0	4	4	2	2	0	2	0	3	0	2	0	2	0	0	2	0	0	4	0	1	1	2	2	2	1	3	1					
		0.18%	0.0%	0.0%	0.19%	0.0%	0.25%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.23%	0.0%	0.28%	0.37%	0.13%	0.49%	0.0%	0.18%	0.0%	0.64%	0.0%	1.11%	0.0%	0.22%	0.0%	0.0%	0.29%	0.0%	0.0%	1.12%	0.0%	0.16%	0.51%	0.35%	0.76%	0.37%	0.24%	0.23%	0.07%					
26	"9. ""Российская экологическая партия ""Зеленые"""	54	4	0	0	0	1	3	1	0	0	0	0	0	0	2	3	1	1	3	1	5	2	1	1	0	1	1	2	0	1	0	2	2	0	0	0	2	1	0	2	0	3	0	5	3					
		0.19%	0.78%	0.0%	0.0%	0.0%	0.08%	0.41%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.24%	0.23%	0.46%	0.21%	0.09%	0.32%	0.49%	0.20%	0.09%	0.0%	0.21%	0.37%	1.11%	0.0%	0.11%	0.0%	0.38%	0.29%	0.0%	0.0%	0.0%	0.29%	0.16%	0.0%	0.35%	0.0%	0.56%	0.0%	0.39%	0.22%					
27	"10. ""Аграрная партия России"""	1367	46	14	31	6	83	69	28	37	15	13	4	10	7	66	41	27	6	95	40	55	23	33	89	41	17	13	10	6	62	57	20	55	3	6	16	46	24	6	22	12	31	22	34	26					
		4.95%	9.00%	5.24%	6.12%	1.62%	6.95%	9.58%	8.16%	2.19%	2.46%	4.42%	3.27%	4.54%	2.13%	5.42%	3.38%	6.47%	2.77%	6.74%	3.76%	3.62%	5.70%	6.81%	8.11%	5.59%	3.64%	4.92%	5.55%	3.10%	7.07%	6.85%	3.89%	8.16%	1.28%	2.54%	4.49%	6.78%	3.90%	3.10%	3.94%	4.58%	5.84%	5.33%	2.70%	1.96%					
28	"11. ""Истинные патриоты России"""	55	6	1	3	0	3	6	0	0	0	0	0	0	0	2	2	1	1	6	3	2	0	0	0	1	1	0	0	0	3	1	1	3	2	0	2	0	0	1	2	0	0	0	1	1					
		0.19%	1.17%	0.37%	0.59%	0.0%	0.25%	0.83%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.16%	0.23%	0.46%	0.42%	0.28%	0.13%	0.0%	0.0%	0.0%	0.13%	0.21%	0.0%	0.0%	0.0%	0.34%	0.12%	0.19%	0.44%	0.85%	0.0%	0.56%	0.0%	0.0%	0.51%	0.35%	0.0%	0.0%	0.0%	0.07%	0.07%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	125	3	1	2	1	3	0	2	0	0	0	3	0	0	2	11	1	0	10	10	10	1	6	3	3	1	2	1	2	4	3	1	3	2	3	0	6	3	1	2	1	10	1	4	3					
		0.45%	0.58%	0.37%	0.39%	0.27%	0.25%	0.0%	0.58%	0.0%	0.0%	0.0%	2.45%	0.0%	0.0%	0.16%	0.90%	0.23%	0.0%	0.70%	0.94%	0.65%	0.24%	1.23%	0.27%	0.40%	0.21%	0.75%	0.55%	1.03%	0.45%	0.36%	0.19%	0.44%	0.85%	1.27%	0.0%	0.88%	0.48%	0.51%	0.35%	0.38%	1.88%	0.24%	0.31%	0.22%					
30	"13. ""Демократическая партия России"""	113	6	1	10	0	3	4	0	0	0	0	2	0	0	2	2	1	1	11	10	12	2	2	3	3	1	0	0	1	3	2	1	5	1	0	0	12	0	0	0	2	5	0	3	2					
		0.40%	1.17%	0.37%	1.97%	0.0%	0.25%	0.55%	0.0%	0.0%	0.0%	0.0%	1.63%	0.0%	0.0%	0.16%	0.16%	0.23%	0.46%	0.78%	0.94%	0.79%	0.49%	0.41%	0.27%	0.40%	0.21%	0.0%	0.0%	0.51%	0.34%	0.24%	0.19%	0.74%	0.42%	0.0%	0.0%	1.76%	0.0%	0.0%	0.0%	0.76%	0.94%	0.0%	0.23%	0.15%					
31	"14. ""Великая Россия - Евразийский Союз"""	58	1	1	0	1	0	1	1	0	0	0	2	0	0	4	2	1	2	5	2	4	0	2	1	0	0	1	1	0	5	3	2	0	0	0	0	0	2	1	3	0	4	1	2	3					
		0.21%	0.19%	0.37%	0.0%	0.27%	0.0%	0.13%	0.29%	0.0%	0.0%	0.0%	1.63%	0.0%	0.0%	0.32%	0.16%	0.23%	0.92%	0.35%	0.18%	0.26%	0.0%	0.41%	0.09%	0.0%	0.0%	0.37%	0.55%	0.0%	0.57%	0.36%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.51%	0.53%	0.0%	0.75%	0.24%	0.15%	0.22%					
32	"15. ""Партия СЛОН"""	43	0	0	0	1	2	0	3	2	0	0	0	0	0	4	7	0	0	2	4	10	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	2	0	2	0	0	0					
		0.15%	0.0%	0.0%	0.0%	0.27%	0.16%	0.0%	0.87%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.57%	0.0%	0.0%	0.14%	0.37%	0.65%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.35%	0.0%	0.37%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	949	13	6	19	9	31	14	10	51	20	7	9	0	0	3	147	9	24	55	68	95	5	8	26	9	7	2	3	2	21	25	5	30	2	7	9	35	2	0	11	1	23	15	53	58					
		3.44%	2.54%	2.24%	3.75%	2.43%	2.59%	1.94%	2.91%	3.02%	3.28%	2.38%	7.37%	0.0%	0.0%	0.24%	12.14%	2.15%	11.11%	3.90%	6.39%	6.26%	1.24%	1.65%	2.37%	1.22%	1.49%	0.75%	1.66%	1.03%	2.39%	3.00%	0.97%	4.45%	0.85%	2.96%	2.52%	5.16%	0.32%	0.0%	1.97%	0.38%	4.33%	3.64%	4.21%	4.38%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	124	6	0	1	2	7	4	0	4	0	0	4	0	0	0	3	2	4	6	4	1	3	4	2	2	3	1	1	2	5	1	3	11	0	2	0	3	2	2	2	2	9	6	9	1					
