Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																												
Дата голосования: 02.12.2007																												
																												
Наименование Избирательной комиссии:    Мирнинская																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563					
1	"Число избирателей, внесенных в списки избирателей"	24392	2558	2629	3236	2725	2552	2683	2539	80	167	753	754	260	242	531	292	316	205	388	266	699	517					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	20280	2000	2050	2300	2100	2000	2000	2000	80	180	900	800	265	240	550	300	315	215	415	270	740	560					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	17551	1702	1673	2157	1747	1614	1786	1651	54	142	753	585	260	232	531	292	315	205	388	264	684	516					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	304	6	6	9	14	14	17	6	24	25	0	169	0	0	0	0	0	0	0	0	14	0					
6	Число погашенных избирательных бюллетеней	2425	292	371	134	339	372	197	343	2	13	147	46	5	8	19	8	0	10	27	6	42	44					
7	Число избирательных бюллетеней в переносных ящиках для голосования	304	6	6	9	14	14	17	6	24	25	0	169	0	0	0	0	0	0	0	0	14	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17540	1698	1671	2157	1745	1613	1786	1651	54	142	753	584	259	232	531	292	315	205	388	264	684	516					
9	Число недействительных избирательных бюллетеней	132	18	12	27	10	15	15	16	3	1	5	2	0	1	2	2	1	0	1	0	1	0					
10	Число действительных избирательных бюллетеней	17712	1686	1665	2139	1749	1612	1788	1641	75	166	748	751	259	231	529	290	314	205	387	264	697	516					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	494	54	54	54	54	54	54	54	0	0	47	7	6	6	6	6	6	6	6	6	7	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	317	38	41	51	33	26	40	28	0	0	40	7	0	0	3	1	1	3	0	2	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	213	12	15	25	23	18	14	25	0	9	2	16	2	0	4	19	0	3	3	13	10	0					
14	Число погашенных неиспользованных открепительных удостоверений	177	16	13	3	21	28	14	26	0	0	7	0	6	6	3	5	5	3	6	4	5	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
18	1.Политическая партия «Аграрная партия России»	349	43	44	61	44	42	33	43	1	0	8	6	4	0	3	0	3	1	1	1	10	1					
		1.96%	2.52%	2.62%	2.82%	2.50%	2.58%	1.83%	2.60%	1.28%	0.00%	1.06%	0.80%	1.54%	0.00%	0.56%	0.00%	0.95%	0.49%	0.26%	0.38%	1.43%	0.19%					
19	2.Всероссийская политическая партия «Гражданская Сила»	135	13	20	27	19	17	13	9	1	0	4	2	1	1	0	0	1	1	0	2	4	0					
		0.76%	0.76%	1.19%	1.25%	1.08%	1.04%	0.72%	0.54%	1.28%	0.00%	0.53%	0.27%	0.39%	0.43%	0.00%	0.00%	0.32%	0.49%	0.00%	0.76%	0.57%	0.00%					
20	3.Политическая партия «Демократическая партия России»	19	1	2	0	2	1	2	0	0	0	2	4	0	0	2	0	0	1	0	0	2	0					
		0.11%	0.06%	0.12%	0.00%	0.11%	0.06%	0.11%	0.00%	0.00%	0.00%	0.27%	0.53%	0.00%	0.00%	0.38%	0.00%	0.00%	0.49%	0.00%	0.00%	0.29%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1156	148	172	163	143	118	167	153	8	3	25	16	0	2	4	1	5	1	8	4	15	0					
		6.48%	8.69%	10.26%	7.53%	8.13%	7.25%	9.26%	9.23%	10.26%	1.80%	3.32%	2.12%	0.00%	0.86%	0.75%	0.34%	1.59%	0.49%	2.06%	1.52%	2.15%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	78	7	12	7	11	18	5	6	0	0	3	0	1	0	1	1	1	0	2	0	3	0					
		0.44%	0.41%	0.72%	0.32%	0.63%	1.11%	0.28%	0.36%	0.00%	0.00%	0.40%	0.00%	0.39%	0.00%	0.19%	0.34%	0.32%	0.00%	0.52%	0.00%	0.43%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	40	4	7	9	5	3	5	3	0	0	1	0	0	0	0	0	0	0	0	3	0	0					
		0.22%	0.23%	0.42%	0.42%	0.28%	0.18%	0.28%	0.18%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.14%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	2209	220	216	297	209	213	204	209	5	39	146	107	3	38	55	11	25	14	56	47	92	3					
		12.38%	12.91%	12.88%	13.71%	11.88%	13.09%	11.31%	12.61%	6.41%	23.35%	19.39%	14.21%	1.16%	16.38%	10.36%	3.77%	7.94%	6.83%	14.43%	17.80%	13.18%	0.58%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	953	115	139	140	120	105	114	144	6	6	11	12	0	1	8	2	11	4	2	6	7	0					
		5.34%	6.75%	8.29%	6.46%	6.82%	6.45%	6.32%	8.69%	7.69%	3.59%	1.46%	1.59%	0.00%	0.43%	1.51%	0.68%	3.49%	1.95%	0.52%	2.27%	1.00%	0.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	108	15	14	19	12	10	3	10	0	0	7	1	2	1	2	1	0	1	4	0	6	0					
		0.61%	0.88%	0.83%	0.88%	0.68%	0.61%	0.17%	0.60%	0.00%	0.00%	0.93%	0.13%	0.77%	0.43%	0.38%	0.34%	0.00%	0.49%	1.03%	0.00%	0.86%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	12513	1099	1012	1392	1159	1071	1228	1051	54	117	539	602	247	188	453	273	266	182	312	200	557	511					
