Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																											
Дата голосования: 04.12.2011																											
																											
Наименование Избирательной комиссии:    Тарбагатайская ТИК																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597					
1	"Число избирателей, внесенных в список избирателей"	11815	691	348	972	482	197	319	1637	1670	339	694	115	178	323	178	598	1474	362	238	217	783					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11743	720	345	970	490	191	328	1620	1673	352	672	122	189	323	189	615	1348	380	233	213	770					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5840	327	173	374	251	136	125	727	730	205	367	97	136	188	101	284	766	166	113	105	469					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	984	63	38	102	49	8	29	128	65	48	69	12	14	23	15	79	51	49	46	54	42					
6	Число погашенных избирательных бюллетеней	4919	330	134	494	190	47	174	765	878	99	236	13	39	112	73	252	531	165	74	54	259					
7	Число избирательных бюллетеней в переносных ящиках для голосования	984	63	38	102	49	8	29	128	65	48	69	12	14	23	15	79	51	49	46	54	42					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5840	327	173	374	251	136	125	727	730	205	367	97	136	188	101	284	766	166	113	105	469					
9	Число недействительных избирательных бюллетеней	94	6	3	6	9	1	2	16	7	2	6	2	0	1	0	3	9	2	0	8	11					
10	Число действительных избирательных бюллетеней	6730	384	208	470	291	143	152	839	788	251	430	107	150	210	116	360	808	213	159	151	500					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	267	10	8	15	10	8	8	30	30	10	15	8	8	10	8	15	30	8	8	8	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	81	2	3	5	2	0	0	13	4	1	12	6	0	2	5	8	9	3	0	2	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	60	0	2	5	0	1	1	7	0	0	2	3	0	1	0	3	27	4	2	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	186	8	5	10	8	8	8	17	26	9	3	2	8	8	3	7	21	5	8	6	16					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	991	64	22	84	19	12	9	161	146	60	96	8	7	24	2	66	108	26	32	8	37					
		14.52%	16.41%	10.43%	17.65%	6.33%	8.33%	5.84%	18.83%	18.36%	23.72%	22.02%	7.34%	4.67%	11.37%	1.72%	18.18%	13.22%	12.09%	20.13%	5.03%	7.24%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	723	33	23	56	30	22	7	103	85	19	61	7	9	21	5	53	80	23	22	12	52					
		10.59%	8.46%	10.90%	11.76%	10.00%	15.28%	4.55%	12.05%	10.69%	7.51%	13.99%	6.42%	6.00%	9.95%	4.31%	14.60%	9.79%	10.70%	13.84%	7.55%	10.18%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	41	5	0	1	0	1	1	15	1	2	1	1	3	1	1	3	1	0	1	1	2					
		0.60%	1.28%	0.00%	0.21%	0.00%	0.69%	0.65%	1.75%	0.13%	0.79%	0.23%	0.92%	2.00%	0.47%	0.86%	0.83%	0.12%	0.00%	0.63%	0.63%	0.39%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1390	89	19	146	97	14	14	192	186	34	70	13	32	71	20	46	175	43	29	21	79					
		20.37%	22.82%	9.00%	30.67%	32.33%	9.72%	9.09%	22.46%	23.40%	13.44%	16.06%	11.93%	21.33%	33.65%	17.24%	12.67%	21.42%	20.00%	18.24%	13.21%	15.46%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	72	8	2	1	1	1	2	11	12	2	0	0	1	3	0	1	16	3	2	2	4					
		1.06%	2.05%	0.95%	0.21%	0.33%	0.69%	1.30%	1.29%	1.51%	0.79%	0.00%	0.00%	0.67%	1.42%	0.00%	0.28%	1.96%	1.40%	1.26%	1.26%	0.78%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3494	183	142	182	140	93	119	357	358	134	201	76	98	90	88	190	421	117	73	107	325					
		51.20%	46.92%	67.30%	38.24%	46.67%	64.58%	77.27%	41.75%	45.03%	52.96%	46.10%	69.72%	65.33%	42.65%	75.86%	52.34%	51.53%	54.42%	45.91%	67.30%	63.60%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	19	2	0	0	4	0	0	0	0	0	1	2	0	0	0	1	7	1	0	0	1					
		0.28%	0.51%	0.00%	0.00%	1.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	1.83%	0.00%	0.00%	0.00%	0.28%	0.86%	0.47%	0.00%	0.00%	0.20%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
