Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Тандинская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6112	1598	830	428	94	1370	228	131	380	483	214	356									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6900	1827	969	442	122	1451	320	130	417	540	265	417									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	173	0	0	30	0	61	0	0	12	46	0	24									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5493	1549	755	374	94	1113	211	129	347	407	209	305									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	428	49	75	24	0	190	17	1	21	21	5	25									
6	Число погашенных избирательных бюллетеней	806	229	139	14	28	87	92	0	37	66	51	63									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	601	49	75	54	0	251	17	1	33	67	5	49									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5493	1549	755	374	94	1113	211	129	347	407	209	305									
9	Число недействительных избирательных бюллетеней	104	55	7	10	0	0	0	6	15	4	5	2									
10	Число действительных избирательных бюллетеней	5990	1543	823	418	94	1364	228	124	365	470	209	352									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	102	19	15	8	0	19	10	5	5	7	7	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	82	19	15	4	0	10	10	5	5	7	5	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	42	14	5	6	1	4	4	2	3	1	0	2									
14	Число погашенных неиспользованных открепительных удостоверений	20	0	0	4	0	9	0	0	0	0	2	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	8	3	2	0	1	0	0	0	1	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	10	5	1	1	0	0	1	0	1	1	0	0									
		0.16%	0.31%	0.12%	0.23%	0.00%	0.00%	0.44%	0.00%	0.26%	0.21%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	45	9	3	10	1	0	3	4	6	7	0	2									
		0.74%	0.56%	0.36%	2.34%	1.06%	0.00%	1.32%	3.08%	1.58%	1.48%	0.00%	0.56%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	18	5	3	2	0	3	0	0	2	2	0	1									
		0.30%	0.31%	0.36%	0.47%	0.00%	0.22%	0.00%	0.00%	0.53%	0.42%	0.00%	0.28%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5420	1422	786	323	92	1236	223	94	304	417	196	327									
		88.94%	88.99%	94.70%	75.47%	97.87%	90.62%	97.81%	72.31%	80.00%	87.97%	91.59%	92.37%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	10	4	3	2	0	0	1	0	0	0	0	0									
		0.16%	0.25%	0.36%	0.47%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	1	1	0	0	0	0	0	2	1	0	0									
		0.08%	0.06%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.21%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	134	30	5	18	1	54	0	5	6	8	3	4									
		2.20%	1.88%	0.60%	4.21%	1.06%	3.96%	0.00%	3.85%	1.58%	1.69%	1.40%	1.13%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	6	2	1	1	0	0	0	0	2	0	0	0									
		0.10%	0.13%	0.12%	0.23%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%									
