Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва													
Дата голосования: 07.12.2003 0:00:00													
													
Наименование Избирательной комиссии:    Джейрахская													
													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)													
													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6					
1	"Число избирателей, внесенных в списки"	1837	731	88	87	178	235	518					
2	"Число бюллетеней, полученных участковыми комиссиями"	1854	721	88	85	194	224	542					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1149	561	88	64	122	132	182					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	486	36	0	0	53	92	305					
6	Число погашенных бюллетеней	219	124	0	21	19	0	55					
7	Число бюллетеней в переносных ящиках для голосования	486	36	0	0	53	92	305					
8	Число бюллетеней в стационарных ящиках для голосования	1147	559	88	64	122	132	182					
9	Число недействительных бюллетеней	113	29	0	0	3	79	2					
10	Число действительных бюллетеней	1520	566	88	64	172	145	485					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	25	12	2	2	3	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1	1	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1	1	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	24	11	2	2	3	3	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0					
													
18	"1. ""ЕДИНЕНИЕ"""	30	7	1	3	6	5	8					
		1.83%	1.17%	1.13%	4.68%	3.42%	2.23%	1.64%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	18	3	2	4	5	2	2					
		1.10%	0.50%	2.27%	6.25%	2.85%	0.89%	0.41%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	8	4	1	0	1	0	2					
		0.48%	0.67%	1.13%	0.0%	0.57%	0.0%	0.41%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	49	20	14	0	5	5	5					
		3.00%	3.36%	15.90%	0.0%	2.85%	2.23%	1.02%					
22	"5. ""За Русь Святую"""	7	1	1	0	3	0	2					
		0.42%	0.16%	1.13%	0.0%	1.71%	0.0%	0.41%					
23	"6. ""Объединенная Российская партия ""Русь"""	14	7	0	1	0	2	4					
		0.85%	1.17%	0.0%	1.56%	0.0%	0.89%	0.82%					
24	"7. ""Новый курс - Автомобильная Россия"""	5	0	1	0	0	0	4					
		0.30%	0.0%	1.13%	0.0%	0.0%	0.0%	0.82%					
25	"8. ""Народно-республиканская партия России"""	4	3	0	0	0	0	1					
		0.24%	0.50%	0.0%	0.0%	0.0%	0.0%	0.20%					
26	"9. ""Российская экологическая партия ""Зеленые"""	2	1	0	0	0	1	0					
		0.12%	0.16%	0.0%	0.0%	0.0%	0.44%	0.0%					
27	"10. ""Аграрная партия России"""	1	0	0	0	0	0	1					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%					
28	"11. ""Истинные патриоты России"""	5	4	0	0	0	0	1					
		0.30%	0.67%	0.0%	0.0%	0.0%	0.0%	0.20%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	15	9	1	0	1	2	2					
		0.91%	1.51%	1.13%	0.0%	0.57%	0.89%	0.41%					
30	"13. ""Демократическая партия России"""	4	3	0	0	0	0	1					
		0.24%	0.50%	0.0%	0.0%	0.0%	0.0%	0.20%					
31	"14. ""Великая Россия - Евразийский Союз"""	403	256	38	12	12	12	73					
		24.67%	43.02%	43.18%	18.75%	6.85%	5.35%	14.98%					
32	"15. ""Партия СЛОН"""	3	0	1	0	0	0	2					
		0.18%	0.0%	1.13%	0.0%	0.0%	0.0%	0.41%					
33	"16. ""Родина"" (народно-патриотический союз)"""	16	7	0	0	2	1	6					
		0.97%	1.17%	0.0%	0.0%	1.14%	0.44%	1.23%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	19	10	0	1	3	2	3					
		1.16%	1.68%	0.0%	1.56%	1.71%	0.89%	0.61%					
35	"18. ""ЛДПР"""	56	2	0	2	4	9	39					
		3.42%	0.33%	0.0%	3.12%	2.28%	4.01%	8.00%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	11	0	2	1	0	1	7					
		0.67%	0.0%	2.27%	1.56%	0.0%	0.44%	1.43%					
37	"20. ""Политическая партия ""Единая Россия"""	809	218	24	40	125	99	303					
		49.54%	36.63%	27.27%	62.5%	71.42%	44.19%	62.21%					
38	"21. ""Российская Конституционно-демократическая партия"""	1	0	0	0	0	1	0					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%					
39	"22. ""Развитие предпринимательства"""	3	3	0	0	0	0	0					
		0.18%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	7	0	1	0	2	0	4					
		0.42%	0.0%	1.13%	0.0%	1.14%	0.0%	0.82%					
													
41	Против всех	30	8	1	0	3	3	15					
		1.83%	1.34%	1.13%	0.0%	1.71%	1.33%	3.08%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
