Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Починковская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22848	1422	1812	2192	1439	1406	1342	266	398	221	350	483	79	402	184	533	799	412	344	253	976	388	181	224	377	690	356	261	129	83	465	566	55	334	273	1658	763	617	115									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22779	1430	1850	2150	1463	1350	1330	264	398	218	347	484	77	406	184	520	790	414	340	252	990	388	178	224	375	690	356	265	125	82	456	567	55	331	272	1654	770	620	114									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19623	1245	1633	2011	1279	1250	1216	234	355	184	255	333	67	267	101	451	631	351	285	155	841	327	135	189	323	622	282	192	106	57	386	519	49	307	247	1493	611	538	96									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1982	65	52	45	60	29	28	26	30	30	81	124	10	127	76	51	148	51	46	90	96	44	34	24	37	45	60	54	19	22	65	19	6	21	18	80	114	40	15									
6	Число погашенных избирательных бюллетеней	1174	120	165	94	124	71	86	4	13	4	11	27	0	12	7	18	11	12	9	7	53	17	9	11	15	23	14	19	0	3	5	29	0	3	7	81	45	42	3									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1982	65	52	45	60	29	28	26	30	30	81	124	10	127	76	51	148	51	46	90	96	44	34	24	37	45	60	54	19	22	65	19	6	21	18	80	114	40	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19623	1245	1633	2011	1279	1250	1216	234	355	184	255	333	67	267	101	451	631	351	285	155	841	327	135	189	323	622	282	192	106	57	386	519	49	307	247	1493	611	538	96									
9	Число недействительных избирательных бюллетеней	123	3	5	0	5	0	6	0	0	0	1	1	0	0	0	0	0	2	2	0	62	1	9	0	0	15	0	0	4	0	0	0	0	0	0	4	3	0	0									
10	Число действительных избирательных бюллетеней	21482	1307	1680	2056	1334	1279	1238	260	385	214	335	456	77	394	177	502	779	400	329	245	875	370	160	213	360	652	342	246	121	79	451	538	55	328	265	1569	722	578	111									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	369	20	40	30	15	20	20	4	5	4	5	4	3	10	4	10	15	10	5	5	15	5	3	5	5	10	5	5	3	3	10	10	3	5	5	20	15	10	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	205	14	40	28	10	16	19	1	1	0	1	2	0	3	1	3	7	0	2	2	9	1	1	0	0	5	1	3	0	0	3	0	0	0	0	7	15	10	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	93	8	6	3	2	3	2	1	1	3	2	0	1	2	2	5	2	2	2	0	5	1	5	1	2	6	1	2	4	1	3	0	1	2	2	1	5	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	164	6	0	2	5	4	1	3	4	4	4	2	3	7	3	7	8	10	3	3	6	4	2	5	5	5	4	2	3	3	7	10	3	5	5	13	0	0	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	0	2	3	2	3	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	6	4	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	123	15	9	21	13	8	4	1	1	0	1	2	0	2	2	3	6	3	2	3	2	2	0	0	2	3	0	2	1	0	0	0	0	0	0	5	5	4	1									
		0.57%	1.15%	0.53%	1.02%	0.97%	0.63%	0.32%	0.38%	0.26%	0.00%	0.30%	0.44%	0.00%	0.51%	1.13%	0.60%	0.77%	0.75%	0.60%	1.22%	0.21%	0.54%	0.00%	0.00%	0.56%	0.45%	0.00%	0.81%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.69%	0.69%	0.90%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	287	11	19	72	14	10	13	3	1	0	0	14	4	6	0	3	10	2	5	3	10	3	0	1	5	12	7	2	1	0	2	0	0	7	1	24	6	10	6									
		1.33%	0.84%	1.13%	3.50%	1.05%	0.78%	1.05%	1.15%	0.26%	0.00%	0.00%	3.06%	5.19%	1.52%	0.00%	0.60%	1.28%	0.50%	1.51%	1.22%	1.07%	0.81%	0.00%	0.47%	1.39%	1.80%	2.05%	0.81%	0.80%	0.00%	0.44%	0.00%	0.00%	2.13%	0.38%	1.53%	0.83%	1.73%	5.41%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	228	20	15	7	27	18	18	1	3	0	2	4	1	4	3	6	7	4	1	1	9	2	0	0	1	7	11	3	1	0	2	11	4	0	1	23	5	6	0									
		1.06%	1.53%	0.89%	0.34%	2.02%	1.41%	1.45%	0.38%	0.78%	0.00%	0.60%	0.88%	1.30%	1.02%	1.69%	1.20%	0.90%	0.99%	0.30%	0.41%	0.96%	0.54%	0.00%	0.00%	0.28%	1.05%	3.22%	1.22%	0.80%	0.00%	0.44%	2.04%	7.27%	0.00%	0.38%	1.46%	0.69%	1.04%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18413	1074	1382	1750	1151	1075	1032	241	330	188	289	380	66	350	157	417	665	343	285	218	747	314	141	189	327	576	291	209	108	75	437	487	45	318	243	1323	618	486	86									
		85.23%	81.98%	82.02%	85.12%	85.96%	84.05%	82.96%	92.69%	85.71%	87.85%	86.01%	83.15%	85.71%	88.83%	88.70%	83.07%	85.37%	85.32%	86.10%	88.98%	79.72%	84.64%	83.43%	88.73%	90.83%	86.36%	85.09%	84.96%	86.40%	94.94%	96.90%	90.52%	81.82%	96.95%	91.70%	84.11%	85.24%	84.08%	77.48%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	29	1	2	2	2	5	5	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	3	0	1	0									
		0.13%	0.08%	0.12%	0.10%	0.15%	0.39%	0.40%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.19%	0.00%	0.17%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	26	2	2	14	2	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.12%	0.15%	0.12%	0.68%	0.15%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1102	90	131	83	53	80	61	7	29	14	18	23	3	12	7	52	39	29	10	8	32	22	15	11	18	16	14	15	6	2	1	11	3	1	2	98	40	40	6									
		5.10%	6.87%	7.77%	4.04%	3.96%	6.25%	4.90%	2.69%	7.53%	6.54%	5.36%	5.03%	3.90%	3.05%	3.95%	10.36%	5.01%	7.21%	3.02%	3.27%	3.42%	5.93%	8.88%	5.16%	5.00%	2.40%	4.09%	6.10%	4.80%	2.53%	0.22%	2.04%	5.45%	0.30%	0.75%	6.23%	5.52%	6.92%	5.41%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	28	1	4	1	5	2	7	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0									
		0.13%	0.08%	0.24%	0.05%	0.37%	0.16%	0.56%	0.38%	0.00%	0.00%	0.30%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	54	0	5	13	6	8	5	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	5	0	2	2									
		0.25%	0.00%	0.30%	0.63%	0.45%	0.63%	0.40%	0.00%	0.00%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.30%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.35%	1.80%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	19	1	2	7	1	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0									
		0.09%	0.08%	0.12%	0.34%	0.07%	0.16%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	94	5	7	15	5	5	3	0	1	0	1	0	0	0	0	0	5	2	0	1	6	1	0	0	0	9	9	2	1	0	0	6	0	0	2	4	3	1	0									
		0.44%	0.38%	0.42%	0.73%	0.37%	0.39%	0.24%	0.00%	0.26%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	0.50%	0.00%	0.41%	0.64%	0.27%	0.00%	0.00%	0.00%	1.35%	2.63%	0.81%	0.80%	0.00%	0.00%	1.12%	0.00%	0.00%	0.75%	0.25%	0.41%	0.17%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	815	74	70	39	29	56	64	5	14	12	20	25	0	15	8	18	27	13	20	7	51	23	4	10	7	12	0	7	2	2	9	23	3	0	14	68	32	24	8									
		3.77%	5.65%	4.15%	1.90%	2.17%	4.38%	5.14%	1.92%	3.64%	5.61%	5.95%	5.47%	0.00%	3.81%	4.52%	3.59%	3.47%	3.23%	6.04%	2.86%	5.44%	6.20%	2.37%	4.69%	1.94%	1.80%	0.00%	2.85%	1.60%	2.53%	1.99%	4.28%	5.45%	0.00%	5.28%	4.32%	4.41%	4.15%	7.21%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	56	3	7	19	3	1	3	0	0	0	0	0	2	1	0	0	1	0	0	0	3	1	0	0	0	3	0	1	0	0	0	0	0	0	0	2	6	0	0									
		0.26%	0.23%	0.42%	0.92%	0.22%	0.08%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	2.60%	0.25%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.32%	0.27%	0.00%	0.00%	0.00%	0.45%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.83%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	208	10	25	13	23	8	22	1	3	0	3	4	1	4	0	3	14	2	5	4	14	1	0	2	0	6	10	1	1	0	0	0	0	2	1	13	6	4	2									
		0.96%	0.76%	1.48%	0.63%	1.72%	0.63%	1.77%	0.38%	0.78%	0.00%	0.89%	0.88%	1.30%	1.02%	0.00%	0.60%	1.80%	0.50%	1.51%	1.63%	1.49%	0.27%	0.00%	0.94%	0.00%	0.90%	2.92%	0.41%	0.80%	0.00%	0.00%	0.00%	0.00%	0.61%	0.38%	0.83%	0.83%	0.69%	1.80%									
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
