Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																				
Дата голосования: 18.09.2016																				
																				
Наименование Избирательной комиссии:    Электрогорская городская																				
																				
Сводная таблица итогов голосования по федеральному избирательному округу																				
																				
		Сумма	УИК №3504	УИК №3505	УИК №3506	УИК №3507	УИК №3508	УИК №3509	УИК №3510	УИК №3511	УИК №3512									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17840	1982	2310	1858	1918	1862	2098	1953	1860	1999									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16600	1800	2100	1800	1800	1800	1900	1800	1800	1800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7484	737	944	754	812	860	876	860	825	816									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	198	25	14	10	14	20	18	29	27	41									
6	Число погашенных избирательных бюллетеней	8918	1038	1142	1036	974	920	1006	911	948	943									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	198	25	14	10	14	20	18	29	27	41									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7447	735	944	753	798	840	876	860	825	816									
9	Число недействительных избирательных бюллетеней	287	35	9	33	30	18	43	40	45	34									
10	Число действительных избирательных бюллетеней	7358	725	949	730	782	842	851	849	807	823									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	360	40	40	40	40	40	40	40	40	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	138	14	19	17	15	13	9	16	12	23									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	258	27	37	24	19	38	24	19	49	21									
14	Число погашенных неиспользованных открепительных удостоверений	222	26	21	23	25	27	31	24	28	17									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	89	9	18	9	10	9	9	9	7	9									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0									
																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	234	18	32	33	21	37	23	26	20	24									
		3.06%	2.37%	3.34%	4.33%	2.59%	4.30%	2.57%	2.92%	2.35%	2.80%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	204	14	20	20	21	27	21	23	31	27									
		2.67%	1.84%	2.09%	2.62%	2.59%	3.14%	2.35%	2.59%	3.64%	3.15%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	209	19	9	30	16	17	39	27	33	19									
		2.73%	2.50%	0.94%	3.93%	1.97%	1.98%	4.36%	3.04%	3.87%	2.22%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3092	302	513	275	322	356	325	339	347	313									
		40.44%	39.74%	53.55%	36.04%	39.66%	41.40%	36.35%	38.13%	40.73%	36.52%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	86	8	3	13	16	10	9	13	8	6									
		1.12%	1.05%	0.31%	1.70%	1.97%	1.16%	1.01%	1.46%	0.94%	0.70%									
24	"6. Политическая партия ""Гражданская Платформа"""	20	1	1	5	1	2	2	1	2	5									
		0.26%	0.13%	0.10%	0.66%	0.12%	0.23%	0.22%	0.11%	0.23%	0.58%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1353	143	148	133	151	145	169	181	143	140									
		17.70%	18.82%	15.45%	17.43%	18.60%	16.86%	18.90%	20.36%	16.78%	16.34%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	48	5	2	3	4	4	11	8	3	8									
		0.63%	0.66%	0.21%	0.39%	0.49%	0.47%	1.23%	0.90%	0.35%	0.93%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	66	12	3	9	5	13	5	3	7	9									
		0.86%	1.58%	0.31%	1.18%	0.62%	1.51%	0.56%	0.34%	0.82%	1.05%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	9	0	0	2	2	2	1	0	1	1									
		0.12%	0.00%	0.00%	0.26%	0.25%	0.23%	0.11%	0.00%	0.12%	0.12%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	225	21	27	26	30	23	22	24	17	35									
		2.94%	2.76%	2.82%	3.41%	3.69%	2.67%	2.46%	2.70%	1.99%	4.08%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1093	101	127	107	103	122	138	111	119	165									
		14.30%	13.29%	13.26%	14.02%	12.68%	14.19%	15.44%	12.49%	13.97%	19.25%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	33	5	3	2	4	2	6	6	2	3									
		0.43%	0.66%	0.31%	0.26%	0.49%	0.23%	0.67%	0.67%	0.23%	0.35%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	686	76	61	72	86	82	80	87	74	68									
		8.97%	10.00%	6.37%	9.44%	10.59%	9.53%	8.95%	9.79%	8.69%	7.93%									
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
