Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Первомайский район																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК  552	УИК  553	УИК  554	УИК  555	УИК  556	УИК  557	УИК  558	УИК  559	УИК  560	УИК  561	УИК  562	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567	УИК  568	УИК  569	УИК  570	УИК  571	УИК  572	УИК  573	УИК  574	УИК  575	УИК  576	УИК  577	УИК  578	УИК  579	УИК  580	УИК  581					
1	"Число избирателей, внесенных в список"	15197	159	1084	510	1361	138	116	782	154	274	153	110	382	238	324	1504	1443	1350	911	627	290	326	215	250	337	312	547	433	208	198	461					
2	Число полученных избирательных бюллетеней	15156	161	1140	519	1377	131	114	808	156	278	152	116	395	245	329	1370	1300	1260	943	655	314	347	224	266	344	335	574	447	199	198	459					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10131	118	581	321	779	71	99	454	129	214	149	77	250	170	236	1019	930	913	622	447	212	226	167	161	230	230	361	324	168	160	313					
5	"Число избирательных бюллетеней, выданных вне помещения"	1421	6	115	46	133	48	9	109	4	7	0	18	37	53	30	76	98	55	76	66	24	44	35	71	51	23	47	41	16	15	68					
6	Число погашенных избирательных бюллетеней	3604	37	444	152	465	12	6	245	23	57	3	21	108	22	63	275	272	292	245	142	78	77	22	34	63	82	166	82	15	23	78					
7	Число избирательных бюллетеней в переносных ящиках	1421	6	115	46	133	48	9	109	4	7	0	18	37	53	30	76	98	55	76	66	24	44	35	71	51	23	47	41	16	15	68					
8	Число бюллетеней в стационарных ящиках для голосования	10130	118	581	321	779	71	99	454	129	214	149	77	250	170	236	1019	929	913	622	447	212	226	167	161	230	230	361	324	168	160	313					
9	Число недействительных избирательных бюллетеней	81	1	5	4	3	0	0	3	1	0	4	1	7	0	2	12	4	8	1	0	3	1	0	0	1	3	6	1	4	2	4					
10	Число действительных избирательных бюллетеней	11470	123	691	363	909	119	108	560	132	221	145	94	280	223	264	1083	1023	960	697	513	233	269	202	232	280	250	402	364	180	173	377					
11	Число полученных открепительных  удостоверений	475	20	50	10	20	10	10	40	10	10	10	10	15	5	30	35	30	35	10	5	5	10	5	10	10	20	10	15	5	10	10					
12	Число выданных открепительных удостоверений	295	1	50	3	15	1	0	20	1	2	2	4	15	2	5	31	27	32	10	5	5	4	5	4	5	18	10	14	0	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	80	1	2	1	4	4	3	5	1	1	1	2	0	4	2	5	5	4	7	3	2	2	4	1	2	1	2	4	1	3	3					
14	Число неиспользованных открепительных удостоверений	180	19	0	7	5	9	10	20	9	8	8	6	0	3	25	4	3	3	0	0	0	6	0	6	5	2	0	1	5	8	8					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																					
18	. Глазьев Сергей Юрьевич	235	4	17	13	23	3	2	8	0	3	2	0	5	1	4	27	20	24	16	13	3	5	1	11	2	0	6	6	1	4	11					
		2.03%	3.23%	2.44%	3.54%	2.52%	2.52%	1.85%	1.42%	0.00%	1.36%	1.34%	0.00%	1.74%	0.45%	1.50%	2.47%	1.95%	2.48%	2.29%	2.53%	1.27%	1.85%	0.50%	4.74%	0.71%	0.00%	1.47%	1.64%	0.54%	2.29%	2.89%					
19	. Малышкин Олег Александрович	410	5	23	10	13	14	12	36	5	7	15	6	22	15	8	18	22	21	15	11	13	9	7	11	9	9	13	12	18	12	19					
		3.55%	4.03%	3.30%	2.72%	1.43%	11.76%	11.11%	6.39%	3.76%	3.17%	10.07%	6.32%	7.67%	6.73%	3.01%	1.64%	2.14%	2.17%	2.15%	2.14%	5.51%	3.33%	3.47%	4.74%	3.20%	3.56%	3.19%	3.29%	9.78%	6.86%	4.99%					
20	. Миронов Сергей Михайлович	123	1	10	10	14	1	5	5	0	2	4	3	3	1	3	5	9	3	5	4	1	4	2	5	4	1	7	1	2	7	1					
		1.06%	0.81%	1.44%	2.72%	1.54%	0.84%	4.63%	0.89%	0.00%	0.90%	2.68%	3.16%	1.05%	0.45%	1.13%	0.46%	0.88%	0.31%	0.72%	0.78%	0.42%	1.48%	0.99%	2.16%	1.42%	0.40%	1.72%	0.27%	1.09%	4.00%	0.26%					
