Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																		
Дата голосования: 07.12.2003 0:00:00																		
																		
Наименование Избирательной комиссии:    Малодербетовская 																		
																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																		
																		
		Сумма	УИК  137	УИК  138	УИК  139	УИК  140	УИК  141	УИК  142	УИК  143	УИК  144	УИК  145	УИК  146	УИК  147					
1	"Число избирателей, внесенных в списки"	8126	1302	441	70	737	150	281	170	213	1443	1969	1350					
2	"Число бюллетеней, полученных участковыми комиссиями"	8347	1320	450	80	750	180	290	160	220	1430	2020	1447					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4536	711	244	60	422	106	204	129	144	729	1140	647					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	472	73	38	10	47	9	26	17	21	59	98	74					
6	Число погашенных бюллетеней	3339	536	168	10	281	65	60	14	55	642	782	726					
7	Число бюллетеней в переносных ящиках для голосования	472	73	38	10	47	9	26	17	21	59	98	74					
8	Число бюллетеней в стационарных ящиках для голосования	4536	711	244	60	422	106	204	129	144	729	1140	647					
9	Число недействительных бюллетеней	192	14	17	3	9	3	7	3	6	42	34	54					
10	Число действительных бюллетеней	4816	770	265	67	460	112	223	143	159	746	1204	667					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	150	15	10	5	15	5	10	5	5	25	30	25					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	71	4	10	0	0	2	0	1	0	17	18	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	63	8	4	5	3	4	3	3	5	13	8	7					
14	Число погашенных открепительных удостоверений	79	11	0	5	15	3	10	4	5	8	12	6					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	"1. ""ЕДИНЕНИЕ"""	55	2	7	3	4	3	8	4	2	8	7	7					
		1.09%	0.25%	2.48%	4.28%	0.85%	2.60%	3.47%	2.73%	1.21%	1.01%	0.56%	0.97%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	92	3	3	4	6	2	5	4	11	16	22	16					
		1.83%	0.38%	1.06%	5.71%	1.27%	1.73%	2.17%	2.73%	6.66%	2.03%	1.77%	2.21%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	105	24	10	1	11	2	9	7	3	9	19	10					
		2.09%	3.06%	3.54%	1.42%	2.34%	1.73%	3.91%	4.79%	1.81%	1.14%	1.53%	1.38%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	100	31	4	1	11	1	4	1	9	7	20	11					
		1.99%	3.95%	1.41%	1.42%	2.34%	0.86%	1.73%	0.68%	5.45%	0.88%	1.61%	1.52%					
22	"5. ""За Русь Святую"""	16	2	2	0	7	0	0	0	1	1	2	1					
		0.31%	0.25%	0.70%	0.0%	1.49%	0.0%	0.0%	0.0%	0.60%	0.12%	0.16%	0.13%					
23	"6. ""Объединенная Российская партия ""Русь"""	22	5	1	0	3	0	2	2	1	2	5	1					
		0.43%	0.63%	0.35%	0.0%	0.63%	0.0%	0.86%	1.36%	0.60%	0.25%	0.40%	0.13%					
24	"7. ""Новый курс - Автомобильная Россия"""	25	2	2	0	4	2	3	0	1	2	7	2					
		0.49%	0.25%	0.70%	0.0%	0.85%	1.73%	1.30%	0.0%	0.60%	0.25%	0.56%	0.27%					
25	"8. ""Народно-республиканская партия России"""	2	0	0	0	0	0	0	0	0	0	1	1					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.13%					
26	"9. ""Российская экологическая партия ""Зеленые"""	38	1	0	0	2	0	2	1	1	7	10	14					
		0.75%	0.12%	0.0%	0.0%	0.42%	0.0%	0.86%	0.68%	0.60%	0.88%	0.80%	1.94%					
27	"10. ""Аграрная партия России"""	157	19	19	1	19	0	7	14	4	20	33	21					
		3.13%	2.42%	6.73%	1.42%	4.05%	0.0%	3.04%	9.58%	2.42%	2.53%	2.66%	2.91%					
28	"11. ""Истинные патриоты России"""	14	6	0	0	0	0	0	0	0	0	3	5					
		0.27%	0.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.69%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	16	2	0	0	1	0	0	1	0	1	8	3					
		0.31%	0.25%	0.0%	0.0%	0.21%	0.0%	0.0%	0.68%	0.0%	0.12%	0.64%	0.41%					
30	"13. ""Демократическая партия России"""	20	0	0	0	5	0	0	2	0	2	4	7					
		0.39%	0.0%	0.0%	0.0%	1.06%	0.0%	0.0%	1.36%	0.0%	0.25%	0.32%	0.97%					
31	"14. ""Великая Россия - Евразийский Союз"""	63	3	4	1	0	1	3	4	4	17	12	14					
		1.25%	0.38%	1.41%	1.42%	0.0%	0.86%	1.30%	2.73%	2.42%	2.15%	0.96%	1.94%					
32	"15. ""Партия СЛОН"""	9	2	0	0	1	1	3	0	1	0	1	0					
		0.17%	0.25%	0.0%	0.0%	0.21%	0.86%	1.30%	0.0%	0.60%	0.0%	0.08%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	262	60	5	0	10	7	7	7	1	49	85	31					
		5.23%	7.65%	1.77%	0.0%	2.13%	6.08%	3.04%	4.79%	0.60%	6.21%	6.86%	4.29%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	93	12	3	0	12	3	4	2	15	9	17	16					
		1.85%	1.53%	1.06%	0.0%	2.55%	2.60%	1.73%	1.36%	9.09%	1.14%	1.37%	2.21%					
35	"18. ""ЛДПР"""	208	61	6	1	26	2	2	3	4	19	63	21					
		4.15%	7.78%	2.12%	1.42%	5.54%	1.73%	0.86%	2.05%	2.42%	2.41%	5.08%	2.91%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	55	6	1	0	9	0	2	0	7	9	11	10					
		1.09%	0.76%	0.35%	0.0%	1.91%	0.0%	0.86%	0.0%	4.24%	1.14%	0.88%	1.38%					
37	"20. ""Политическая партия ""Единая Россия"""	2537	442	160	45	134	74	146	78	82	412	607	357					
		50.65%	56.37%	56.73%	64.28%	28.57%	64.34%	63.47%	53.42%	49.69%	52.28%	49.03%	49.51%					
38	"21. ""Российская Конституционно-демократическая партия"""	8	0	3	0	1	0	0	0	1	1	1	1					
		0.15%	0.0%	1.06%	0.0%	0.21%	0.0%	0.0%	0.0%	0.60%	0.12%	0.08%	0.13%					
39	"22. ""Развитие предпринимательства"""	11	1	1	0	3	0	0	1	1	2	0	2					
		0.21%	0.12%	0.35%	0.0%	0.63%	0.0%	0.0%	0.68%	0.60%	0.25%	0.0%	0.27%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	752	75	29	5	175	11	12	5	6	123	226	85					
		15.01%	9.56%	10.28%	7.14%	37.31%	9.56%	5.21%	3.42%	3.63%	15.60%	18.25%	11.78%					
																		
41	Против всех	156	11	5	5	16	3	4	7	4	30	40	31					
		3.11%	1.40%	1.77%	7.14%	3.41%	2.60%	1.73%	4.79%	2.42%	3.80%	3.23%	4.29%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
