Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																								
Дата голосования: 04.12.2011																																																																								
																																																																								
"Наименование Избирательной комиссии:    Новосибирск, Калининская  "																																																																								
																																																																								
Сводная таблица результатов выборов																																																																								
																																																																								
		Сумма	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668					
1	"Число избирателей, внесенных в список избирателей"	146162	1901	2456	2122	2481	2135	1860	1674	1899	2272	1837	1570	2001	2117	1742	1763	2099	2381	1920	1903	2030	547	1393	1852	1684	2013	2163	1400	2486	2320	2335	2236	2190	1838	1723	2173	2227	2728	2986	2954	2813	2533	2624	2597	2563	2002	1990	2153	2540	2629	2857	2595	2837	2620	2918	2162	2117	2211	2255	2327	2725	2696	2910	2968	3158	2951					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	142765	1900	2500	2100	2400	2200	1800	1700	1900	2300	1800	1500	2000	2100	1700	1700	2100	2300	1900	1900	2000	665	1400	1800	1600	2000	2200	1400	2300	2300	2100	2100	2100	1800	1600	2100	2000	2500	2900	2900	2500	2500	2600	2500	2500	2000	2000	2100	2500	2600	2800	2700	2600	2500	2800	2100	2100	2200	2200	2300	2700	2600	2900	2900	3000	3000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	78522	941	1233	1123	888	825	728	930	965	1116	912	820	956	1093	935	931	1058	1326	1112	1079	1172	162	771	922	1022	1049	1241	699	1232	1086	1141	1292	1301	1051	1004	1321	1170	1527	1336	1230	1669	1392	1635	1551	1442	1089	1164	1152	1390	1407	1611	1448	1691	1581	1442	1105	1072	1050	1143	1149	1092	1631	1976	1874	2060	2006					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2486	18	28	31	32	51	18	22	18	32	50	28	19	50	20	24	41	55	30	27	39	378	27	30	28	41	34	14	68	45	55	39	26	34	32	30	14	49	70	71	30	20	44	40	39	17	23	34	34	28	24	37	11	18	9	11	39	29	22	16	42	57	34	39	39	32					
6	Число погашенных избирательных бюллетеней	61757	941	1239	946	1480	1324	1054	748	917	1152	838	652	1025	957	745	745	1001	919	758	794	789	125	602	848	550	910	925	687	1000	1169	904	769	773	715	564	749	816	924	1494	1599	801	1088	921	909	1019	894	813	914	1076	1165	1165	1215	898	901	1349	984	989	1121	1035	1135	1566	912	890	987	901	962					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2486	18	28	31	32	51	18	22	18	32	50	28	19	50	20	24	41	55	30	27	39	378	27	30	28	41	34	14	68	45	55	39	26	34	32	30	14	49	70	71	30	20	44	40	39	17	23	34	34	28	24	37	11	18	9	11	39	29	22	16	42	57	34	39	39	32					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	78379	941	1231	1123	887	825	728	927	964	1116	912	820	956	1092	935	931	1057	1326	1112	1079	1167	161	771	922	1020	1049	1237	699	1232	1086	1141	1274	1290	1050	1004	1321	1170	1527	1335	1230	1669	1389	1630	1551	1436	1089	1164	1152	1390	1403	1611	1448	1669	1555	1440	1105	1072	1050	1142	1147	1092	1628	1975	1858	2060	2006					
9	Число недействительных избирательных бюллетеней	1201	7	10	24	14	21	9	7	14	7	6	11	10	17	9	16	14	18	12	17	21	8	12	7	16	14	24	7	16	12	19	26	33	35	8	18	13	20	26	25	24	12	40	39	30	20	26	14	13	22	34	13	14	30	14	17	16	16	11	12	11	33	43	25	40	29					
10	Число действительных избирательных бюллетеней	79664	952	1249	1130	905	855	737	942	968	1141	956	837	965	1125	946	939	1084	1363	1130	1089	1185	531	786	945	1032	1076	1247	706	1284	1119	1177	1287	1283	1049	1028	1333	1171	1556	1379	1276	1675	1397	1634	1552	1445	1086	1161	1172	1411	1409	1601	1472	1666	1543	1435	1099	1095	1063	1153	1151	1123	1652	1966	1872	2059	2009					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2720	42	65	65	65	55	44	38	35	68	43	30	47	25	30	35	49	35	44	43	34	5	35	40	42	49	47	42	45	36	35	45	40	41	20	30	54	46	45	55	40	40	41	35	32	20	35	30	45	40	45	45	48	45	49	56	28	28	22	29	45	44	72	60	60	42					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2696	42	65	65	65	55	42	37	35	67	43	29	47	25	30	33	47	34	44	43	34	4	31	40	42	49	47	41	45	36	35	45	40	41	20	30	54	46	45	55	39	40	40	35	32	20	35	30	45	40	45	45	48	45	48	56	23	28	22	29	45	44	72	60	60	42					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1965	27	15	18	35	18	14	16	30	21	22	21	15	20	41	27	18	23	26	52	26	141	20	24	16	26	29	12	49	36	33	36	56	18	38	24	64	81	20	17	140	27	20	29	24	20	26	40	22	31	33	25	52	32	57	22	25	7	7	13	21	18	12	18	12	7					
14	Число погашенных неиспользованных открепительных удостоверений	24	0	0	0	0	0	2	1	0	1	0	1	0	0	0	2	2	1	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	228	6	8	6	8	7	5	3	1	8	3	2	4	3	1	4	2	5	7	4	1	0	2	3	3	6	0	0	3	3	2	2	0	1	3	3	1	2	3	1	3	2	1	2	4	3	4	2	3	4	3	4	3	2	3	5	3	4	2	2	4	4	8	2	4	21					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	10019	123	181	164	94	90	104	139	124	137	139	135	125	161	144	131	153	190	153	141	168	70	107	134	131	127	153	72	146	144	124	160	177	149	103	147	111	143	170	141	209	216	222	204	230	152	162	165	202	178	214	218	210	191	195	145	131	117	142	126	141	162	185	206	205	186					
