Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																							
Дата голосования: 07.12.2003 0:00:00																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Златоустовская городская																																																																																							
																																																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																							
																																																																																							
		Сумма	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124					
1	"Число избирателей, внесенных в списки"	140487	1681	2732	1310	2127	1998	2054	2115	1297	1513	1854	1632	1221	969	1912	2035	1388	1785	2226	1811	2076	1434	1725	1323	2139	2166	2512	2290	1883	1698	1551	2006	2188	2395	2466	2072	2265	1396	2484	2639	2107	2131	1633	2068	2283	1761	1856	1321	1905	2042	2329	2741	2709	1248	492	842	1001	2054	1167	2038	1830	2180	1800	2009	1765	1779	2213	1394	1350	1813	1363	1261	1316	1822	1385	1478	1351	609	826	227	620					
2	"Число бюллетеней, полученных участковыми комиссиями"	126765	1495	2430	1205	1840	1805	1825	1885	1140	1340	1665	1490	1075	885	1715	1825	1245	1605	2070	1535	1890	1310	1575	1195	1930	1950	2230	2040	1675	1545	1415	1810	1990	2145	2230	1880	2060	1260	2225	2300	1900	1920	1460	1825	2035	1615	1695	1200	1715	1820	2075	2475	2470	1105	475	760	890	1810	1055	1840	1760	1975	1610	1810	1565	1590	2005	1270	1235	1655	1220	1145	1175	1815	1250	1400	1205	600	775	195	640					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	65674	734	1273	566	1024	1031	1016	1031	466	619	618	654	364	309	734	888	584	842	1058	933	1133	760	850	672	1171	1153	1359	1199	937	990	789	1101	1137	1302	1326	1167	1216	636	1301	1408	1074	775	587	1061	1139	917	889	682	937	1003	1105	1418	1345	410	208	328	307	722	362	897	932	986	893	1051	868	742	1084	628	441	777	446	515	503	768	440	357	443	164	369	130	620					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2026	32	22	9	17	36	40	40	8	26	25	36	16	2	13	15	21	36	104	29	23	15	28	32	36	46	43	71	23	18	33	34	36	28	25	29	15	11	10	23	12	15	1	27	30	20	19	21	73	28	31	24	40	9	8	5	10	21	20	31	36	52	15	27	31	17	25	7	17	20	23	6	9	29	51	11	18	54	19	8	0					
6	Число погашенных бюллетеней	59065	729	1135	630	799	738	769	814	666	695	1022	800	695	574	968	922	640	727	908	573	734	535	697	491	723	751	828	770	715	537	593	675	817	815	879	684	829	613	914	869	814	1130	872	737	866	678	787	497	705	789	939	1033	1085	686	259	427	573	1067	673	912	792	937	702	732	666	831	896	635	777	858	751	624	663	1018	759	1032	744	382	387	57	20					
7	Число бюллетеней в переносных ящиках для голосования	2026	32	22	9	17	35	41	40	8	26	25	36	16	2	13	15	21	36	104	29	23	15	28	32	36	46	43	71	23	18	33	34	36	28	25	29	15	11	10	23	12	15	1	27	30	20	19	21	73	28	31	24	40	9	8	5	10	21	20	31	36	52	15	27	31	17	25	7	17	20	23	6	9	29	51	11	18	54	19	8	0					
8	Число бюллетеней в стационарных ящиках для голосования	65544	734	1270	569	1024	1029	1014	1030	466	616	618	653	364	309	734	885	584	841	1058	933	1085	758	849	673	1171	1090	1404	1199	937	986	789	1101	1126	1302	1325	1165	1214	634	1301	1408	1074	775	586	1058	1138	919	889	677	936	1002	1104	1414	1345	410	208	328	307	722	362	896	930	984	893	1051	868	742	1092	625	441	777	444	515	503	759	440	357	443	164	368	130	620					
9	Число недействительных бюллетеней	1060	6	21	11	11	22	52	12	7	8	8	10	9	3	6	5	8	8	15	6	15	11	17	16	18	21	63	32	20	6	6	10	24	27	11	9	21	15	7	4	8	7	2	29	24	15	6	8	14	14	18	19	15	7	0	4	2	14	7	15	19	12	23	15	12	22	10	9	10	17	20	5	9	1	10	4	15	5	5	7	21					
10	Число действительных бюллетеней	66510	760	1271	567	1030	1042	1003	1058	467	634	635	679	371	308	741	895	597	869	1147	956	1093	762	860	689	1189	1115	1384	1238	940	998	816	1125	1138	1303	1339	1185	1208	630	1304	1427	1078	783	585	1056	1144	924	902	690	995	1016	1117	1419	1370	412	216	329	315	729	375	912	947	1024	885	1063	887	737	1107	623	448	780	447	516	503	787	481	364	446	213	382	131	599					
