Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																	
Дата голосования: 04.12.2011																																																																	
																																																																	
"Наименование Избирательной комиссии:    Калининград, Ленинградская"																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №213	УИК №214	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245					
1	"Число избирателей, внесенных в список избирателей"	135990	2166	2990	1918	2652	2594	2294	2142	2643	2727	2482	2567	2643	2507	2336	2733	398	2172	2413	2013	1702	2515	2311	2367	2534	2420	2446	2471	2328	2700	2356	2254	2567	2777	2090	2490	2661	357	2882	2678	2226	2715	2579	2557	450	1600	2769	2541	2333	2566	2345	2564	2464	2611	2670	2294	2216	2439	2755					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	112850	2000	2300	1500	2100	2100	2000	2000	2200	2200	2100	2100	2200	2100	2000	2200	400	2000	2100	1700	1600	2100	2000	2000	2100	2100	2100	2000	2000	2200	2000	2000	2000	2100	1700	2100	2100	300	2200	2200	1800	2200	2100	2100	450	1300	2200	2100	2000	2100	2000	2100	2100	2100	2000	2000	2000	2000	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	71536	978	1408	959	1301	1262	1361	1267	1601	1508	1385	1289	1333	1408	1246	1411	214	1201	1278	894	712	1369	1255	1119	1464	1333	1142	1436	1181	1295	1328	1062	1305	1571	969	1373	1193	194	1453	1456	1135	1383	1222	1361	343	623	1285	1335	1280	1289	1090	1388	1280	1482	1767	1342	1268	1380	1769					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1358	30	12	15	30	20	27	9	16	16	33	40	52	7	23	18	130	39	28	11	12	19	38	46	17	28	9	20	18	23	10	16	12	24	15	14	19	97	11	16	9	9	41	12	102	9	20	15	6	9	16	23	15	11	6	7	8	18	2					
6	Число погашенных избирательных бюллетеней	39955	992	880	526	769	818	612	724	583	676	682	771	815	685	731	771	56	760	794	795	876	712	707	835	618	739	949	544	801	882	662	922	683	505	716	713	888	9	736	728	656	808	837	727	5	668	895	750	714	802	894	689	805	607	227	651	724	602	229					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1358	30	12	15	30	20	27	9	16	16	33	40	52	7	23	18	130	39	28	11	12	19	38	46	17	28	9	20	18	23	10	16	12	24	15	14	19	97	11	16	9	9	41	12	102	9	20	15	6	9	16	23	15	11	6	7	8	18	2					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	71450	977	1407	959	1301	1261	1361	1267	1601	1508	1384	1286	1333	1408	1246	1410	214	1200	1278	894	712	1368	1252	1119	1464	1333	1141	1436	1180	1290	1327	1022	1305	1569	969	1373	1188	194	1453	1455	1135	1381	1218	1361	343	623	1285	1335	1280	1289	1088	1387	1280	1482	1761	1341	1267	1380	1769					
9	Число недействительных избирательных бюллетеней	1035	12	14	16	20	22	16	14	16	28	29	27	17	21	14	22	2	28	19	12	6	23	24	11	28	28	10	23	19	19	19	10	23	7	13	23	19	7	17	26	16	24	22	15	8	7	12	14	23	23	19	29	18	22	23	15	7	15	19					
10	Число действительных избирательных бюллетеней	71773	995	1405	958	1311	1259	1372	1262	1601	1496	1388	1299	1368	1394	1255	1406	342	1211	1287	893	718	1364	1266	1154	1453	1333	1140	1433	1179	1294	1318	1028	1294	1586	971	1364	1188	284	1447	1445	1128	1366	1237	1358	437	625	1293	1336	1263	1275	1085	1381	1277	1471	1744	1333	1268	1383	1752					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1677	20	25	25	20	20	30	21	40	33	40	25	30	30	25	30	0	30	30	20	98	30	20	30	20	20	40	40	20	25	25	20	35	45	25	40	20	0	45	23	20	20	35	30	2	15	35	30	30	23	30	30	25	40	57	30	20	30	60					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1473	8	21	17	16	17	20	21	36	33	38	25	28	30	23	26	0	29	24	14	97	30	16	24	14	18	38	30	18	18	21	19	23	41	22	25	17	0	44	20	10	20	29	27	2	12	35	25	29	23	30	24	23	39	57	24	20	23	60					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	936	13	17	43	15	20	19	12	26	15	11	21	9	28	12	28	20	18	15	13	26	36	11	19	20	23	10	19	15	10	14	10	13	10	15	13	6	12	17	14	25	12	11	10	27	13	14	24	12	21	9	10	13	11	14	15	6	9	12					
14	Число погашенных неиспользованных открепительных удостоверений	204	12	4	8	4	3	10	0	4	0	2	0	2	0	2	4	0	1	6	6	1	0	4	6	6	2	2	10	2	7	4	1	12	4	3	15	3	0	1	3	10	0	6	3	0	3	0	5	1	0	0	6	2	1	0	6	0	7	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	3	0	1	3	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
