Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																														
Дата голосования: 02.12.2007																																																														
																																																														
"Наименование Избирательной комиссии:    Калининград, Ленинградская"																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №213	УИК №214	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244					
1	"Число избирателей, внесенных в списки избирателей"	125662	1614	2673	2818	347	2748	2981	2772	2309	2450	1898	2595	2716	2394	2135	2160	2041	2780	1704	2395	2288	1709	1644	1813	2593	1982	1915	1838	1822	2095	1656	2776	2570	2698	2564	2753	2399	2950	2990	2559	2700	2549	2640	1322	2647	537	2913	2977	1925	415	2850	2737	2799	2910	2009	2588					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	95700	1300	2000	2000	300	2100	2100	2000	2000	2000	1500	2000	2000	2000	2000	1500	1500	2000	1200	2000	2000	1200	1200	1300	2000	1500	1500	1500	1500	1500	1200	2000	2000	2000	2000	2000	2000	2000	2100	2000	2000	2000	2000	1000	2000	500	2100	2100	1500	1000	2000	2000	2000	2000	1500	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	71138	699	1328	1514	285	1555	1452	1395	1294	1543	1195	1613	1612	1489	1385	1305	1329	1566	926	1439	1350	1021	811	1029	1595	1243	1165	1110	702	1024	951	1551	1340	1624	1477	1526	1405	1531	1800	1311	1404	1274	1435	542	1535	362	1728	1795	1144	215	1678	1494	1553	1774	1200	1515					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1301	7	34	16	0	15	18	20	16	24	12	11	8	15	32	30	7	18	16	28	24	28	27	76	21	22	23	18	11	10	10	29	4	11	22	16	15	14	26	29	45	22	29	13	23	107	23	12	15	142	29	15	10	13	26	14					
6	Число погашенных избирательных бюллетеней	23260	594	638	470	15	530	630	585	690	433	293	376	380	496	583	165	163	416	258	533	626	151	362	195	384	235	312	372	787	466	239	420	656	365	501	458	580	455	274	660	551	704	536	445	442	31	349	293	341	643	293	491	437	213	274	471					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1301	7	34	16	0	15	18	20	16	24	12	11	8	15	32	30	7	18	16	28	24	28	27	76	21	22	23	18	11	10	10	29	4	11	22	16	15	14	26	29	45	22	29	13	23	107	23	12	15	142	29	15	10	13	26	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	71009	699	1328	1512	285	1550	1452	1375	1294	1543	1191	1613	1607	1489	1385	1305	1328	1566	926	1427	1350	1021	810	1029	1594	1243	1165	1110	702	1017	951	1548	1340	1617	1475	1526	1405	1528	1800	1311	1404	1272	1435	542	1533	362	1726	1795	1144	215	1674	1491	1553	1772	1200	1474					
9	Число недействительных избирательных бюллетеней	906	12	12	21	8	20	11	9	12	17	19	20	21	30	14	13	19	23	8	33	13	25	16	16	9	20	11	37	7	12	10	21	18	11	22	17	13	19	22	11	21	22	18	7	24	11	18	22	31	3	13	14	7	17	10	16					
10	Число действительных избирательных бюллетеней	71404	694	1350	1507	277	1545	1459	1386	1298	1550	1184	1604	1594	1474	1403	1322	1316	1561	934	1422	1361	1024	821	1089	1606	1245	1177	1091	706	1015	951	1556	1326	1617	1475	1525	1407	1523	1804	1329	1428	1272	1446	548	1532	458	1731	1785	1128	354	1690	1492	1556	1768	1216	1472					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1115	88	15	20	0	20	20	16	15	23	19	25	23	25	15	10	20	25	15	23	18	15	5	15	15	31	15	15	50	11	10	15	15	20	35	15	30	20	30	25	20	15	10	5	20	5	20	25	45	0	10	38	20	30	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1024	84	11	15	0	18	20	16	15	21	15	25	22	23	14	10	18	20	12	22	13	12	5	13	15	25	15	13	50	8	10	15	14	20	27	15	30	19	30	20	20	15	9	2	20	3	20	25	43	0	10	35	19	30	14	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	511	11	12	4	8	8	12	8	12	5	10	15	17	8	7	12	9	6	4	11	10	19	14	13	0	9	8	18	6	8	2	10	5	9	13	7	13	6	12	9	7	2	0	3	5	15	11	16	13	14	12	6	3	9	12	13					
14	Число погашенных неиспользованных открепительных удостоверений	91	4	4	5	0	2	0	0	0	2	4	0	1	2	1	0	2	5	3	1	5	3	0	2	0	6	0	2	0	3	0	0	1	0	8	0	0	1	0	5	0	0	1	3	0	2	0	0	2	0	0	3	1	0	1	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																														
18	1.Политическая партия «Аграрная партия России»	1284	17	17	22	2	39	24	32	23	29	23	31	25	22	23	18	29	31	22	17	29	26	15	21	27	34	20	22	14	14	14	26	27	31	24	30	17	36	42	30	18	14	18	7	31	7	37	33	12	7	39	25	37	22	19	13					
		1.78%	2.41%	1.25%	1.44%	0.70%	2.49%	1.63%	2.29%	1.76%	1.85%	1.91%	1.91%	1.55%	1.46%	1.62%	1.35%	2.17%	1.96%	2.34%	1.17%	2.11%	2.48%	1.79%	1.90%	1.67%	2.69%	1.68%	1.95%	1.96%	1.36%	1.46%	1.65%	2.01%	1.90%	1.60%	1.95%	1.20%	2.33%	2.30%	2.24%	1.24%	1.08%	1.23%	1.26%	1.99%	1.49%	2.12%	1.83%	1.04%	1.96%	2.29%	1.66%	2.37%	1.23%	1.55%	0.87%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1897	17	25	30	4	41	38	54	27	38	28	50	53	33	35	28	40	38	28	30	36	32	27	33	50	34	38	24	22	25	21	58	52	43	55	28	50	44	41	41	34	24	27	21	35	7	40	46	18	2	39	69	40	32	32	40					
		2.62%	2.41%	1.84%	1.96%	1.40%	2.62%	2.59%	3.87%	2.06%	2.43%	2.33%	3.08%	3.28%	2.19%	2.47%	2.10%	2.99%	2.40%	2.97%	2.06%	2.62%	3.05%	3.23%	2.99%	3.10%	2.69%	3.20%	2.13%	3.09%	2.43%	2.19%	3.68%	3.87%	2.64%	3.67%	1.82%	3.52%	2.85%	2.25%	3.06%	2.35%	1.85%	1.84%	3.78%	2.25%	1.49%	2.29%	2.55%	1.55%	0.56%	2.29%	4.58%	2.56%	1.79%	2.61%	2.69%					
20	3.Политическая партия «Демократическая партия России»	130	0	1	2	0	2	2	4	2	3	3	2	2	3	5	7	3	6	1	0	1	3	2	3	2	2	0	1	0	1	4	3	1	2	6	2	2	0	2	1	5	1	3	0	3	1	3	8	5	0	2	2	4	0	2	5					
		0.18%	0.00%	0.07%	0.13%	0.00%	0.13%	0.14%	0.29%	0.15%	0.19%	0.25%	0.12%	0.12%	0.20%	0.35%	0.52%	0.22%	0.38%	0.11%	0.00%	0.07%	0.29%	0.24%	0.27%	0.12%	0.16%	0.00%	0.09%	0.00%	0.10%	0.42%	0.19%	0.07%	0.12%	0.40%	0.13%	0.14%	0.00%	0.11%	0.07%	0.35%	0.08%	0.20%	0.00%	0.19%	0.21%	0.17%	0.44%	0.43%	0.00%	0.12%	0.13%	0.26%	0.00%	0.16%	0.34%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	13551	117	184	238	46	241	213	256	292	409	284	432	299	355	345	314	257	390	181	299	283	284	151	205	316	264	283	307	121	167	178	311	146	207	239	249	180	290	426	198	192	265	182	53	287	70	396	403	155	47	293	188	230	294	321	218					
		18.74%	16.57%	13.51%	15.58%	16.14%	15.40%	14.49%	18.35%	22.29%	26.10%	23.61%	26.60%	18.51%	23.60%	24.35%	23.52%	19.25%	24.62%	19.21%	20.55%	20.60%	27.07%	18.04%	18.55%	19.57%	20.87%	23.82%	27.22%	16.97%	16.26%	18.52%	19.72%	10.86%	12.71%	15.97%	16.15%	12.68%	18.81%	23.33%	14.78%	13.25%	20.48%	12.43%	9.55%	18.44%	14.93%	22.64%	22.30%	13.37%	13.17%	17.20%	12.48%	14.72%	16.47%	26.18%	14.65%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	937	5	17	12	2	28	15	18	5	10	23	29	23	19	15	11	19	20	4	11	17	13	15	13	18	16	22	26	6	14	14	20	25	18	41	11	28	28	39	12	12	9	25	4	10	1	19	23	5	2	24	20	34	20	14	33					
		1.30%	0.71%	1.25%	0.79%	0.70%	1.79%	1.02%	1.29%	0.38%	0.64%	1.91%	1.79%	1.42%	1.26%	1.06%	0.82%	1.42%	1.26%	0.42%	0.76%	1.24%	1.24%	1.79%	1.18%	1.11%	1.26%	1.85%	2.30%	0.84%	1.36%	1.46%	1.27%	1.86%	1.11%	2.74%	0.71%	1.97%	1.82%	2.14%	0.90%	0.83%	0.70%	1.71%	0.72%	0.64%	0.21%	1.09%	1.27%	0.43%	0.56%	1.41%	1.33%	2.18%	1.12%	1.14%	2.22%					
23	6.Политическая партия «Партия социальной справедливости»	173	2	4	3	1	1	3	3	3	0	3	1	8	2	4	9	4	8	2	4	4	0	1	2	2	1	2	1	3	1	0	3	5	7	10	4	2	6	3	3	4	5	2	0	2	2	5	2	2	0	6	2	3	6	2	5					
		0.24%	0.28%	0.29%	0.20%	0.35%	0.06%	0.20%	0.22%	0.23%	0.00%	0.25%	0.06%	0.50%	0.13%	0.28%	0.67%	0.30%	0.51%	0.21%	0.27%	0.29%	0.00%	0.12%	0.18%	0.12%	0.08%	0.17%	0.09%	0.42%	0.10%	0.00%	0.19%	0.37%	0.43%	0.67%	0.26%	0.14%	0.39%	0.16%	0.22%	0.28%	0.39%	0.14%	0.00%	0.13%	0.43%	0.29%	0.11%	0.17%	0.00%	0.35%	0.13%	0.19%	0.34%	0.16%	0.34%					
24	7.Политическая партия «Либерально-демократическая партия России»	6765	61	158	152	23	181	144	129	112	104	102	132	167	117	134	95	126	121	88	122	135	86	73	107	175	113	75	67	68	83	97	109	162	179	149	160	158	139	138	129	173	117	148	58	131	67	172	177	158	43	158	130	127	172	103	161					
