Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																												
Дата голосования: 02.12.2007																																																												
																																																												
Наименование Избирательной комиссии:    Рославльская																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417					
1	"Число избирателей, внесенных в списки избирателей"	62489	2027	1360	1662	2489	1000	1600	1831	2395	1339	1027	1929	1861	1167	2211	2157	1041	2382	1947	1164	1797	2616	2218	2393	2834	1837	789	347	331	423	1427	361	506	136	378	2140	169	128	485	188	639	518	444	430	1495	1519	748	523	199	507	176	325	371	503					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	61504	1970	1328	1643	2413	967	1552	1798	2363	1293	1003	1856	1804	1101	2182	2066	1001	2322	1918	989	1755	2555	2199	2334	2793	1796	829	379	321	464	1351	365	549	172	372	2109	220	158	486	202	694	370	481	459	1497	1531	778	551	228	497	209	335	370	526					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	27625	854	458	756	1198	367	689	666	1033	560	402	737	656	473	955	1000	424	939	743	468	813	1194	1172	1096	1408	930	423	184	157	184	764	92	280	108	228	820	86	56	224	131	328	196	252	267	769	694	336	230	70	175	112	165	176	127					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3806	53	68	23	65	39	35	34	30	22	36	12	52	44	37	67	54	23	23	187	19	40	24	23	24	20	127	73	92	124	54	106	62	28	76	237	66	60	183	23	110	167	67	52	99	155	121	71	55	107	23	112	94	208					
6	Число погашенных избирательных бюллетеней	30073	1063	802	864	1150	561	828	1098	1300	711	565	1107	1096	584	1190	999	523	1360	1152	334	923	1321	1003	1215	1361	846	279	122	72	156	533	167	207	36	68	1052	68	42	79	48	256	7	162	140	629	682	321	250	103	215	74	58	100	191					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3806	53	68	23	65	39	35	34	30	22	36	12	52	44	37	67	54	23	23	187	19	40	24	23	24	20	127	73	92	124	54	106	62	28	76	237	66	60	183	23	110	167	67	52	99	155	121	71	55	107	23	112	94	208					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27620	854	458	756	1198	367	689	666	1030	560	402	737	656	473	955	1000	424	939	743	468	812	1194	1172	1096	1408	930	423	184	157	184	764	92	280	108	228	819	86	56	224	131	328	196	252	267	769	694	336	230	70	175	112	165	176	127					
9	Число недействительных избирательных бюллетеней	575	12	4	11	22	8	8	8	17	14	6	7	20	5	35	14	7	10	16	10	7	123	8	7	15	5	3	1	2	6	22	4	7	0	7	8	1	0	0	2	9	1	12	8	10	34	13	2	2	10	0	4	1	7					
10	Число действительных избирательных бюллетеней	30851	895	522	768	1241	398	716	692	1043	568	432	742	688	512	957	1053	471	952	750	645	824	1111	1188	1112	1417	945	547	256	247	302	796	194	335	136	297	1048	151	116	407	152	429	362	307	311	858	815	444	299	123	272	135	273	269	328					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	904	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	21	6	6	6	18	6	6	6	6	25	10	10	6	6	6	6	25	6	25	25	6	6	6	6	6	6	6	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	287	9	4	5	12	4	2	4	15	2	1	5	7	3	17	13	7	7	8	6	5	15	12	9	14	11	4	5	1	4	4	0	0	0	1	8	10	10	0	0	3	2	2	3	10	6	0	6	0	5	0	0	2	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	239	6	8	7	9	4	6	3	6	7	1	4	7	6	7	3	3	4	5	7	3	5	4	7	2	8	2	5	5	4	2	4	3	3	5	4	1	3	1	0	2	4	4	9	6	8	1	7	4	6	1	7	2	4					
14	Число погашенных неиспользованных открепительных удостоверений	617	16	21	20	13	21	23	21	10	23	24	20	18	22	8	12	18	18	17	19	20	10	13	16	11	14	17	1	5	2	14	6	6	6	5	17	0	0	6	6	3	4	23	3	15	19	6	0	6	1	6	6	4	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																												
18	1.Политическая партия «Аграрная партия России»	691	13	9	14	12	13	10	25	29	12	7	19	17	8	20	18	5	21	11	19	12	13	23	26	33	23	12	6	11	27	24	15	5	3	4	27	0	0	5	9	19	12	3	6	9	12	14	15	5	4	10	9	7	6					
		2.20%	1.43%	1.71%	1.80%	0.95%	3.20%	1.38%	3.57%	2.74%	2.06%	1.60%	2.54%	2.40%	1.55%	2.02%	1.69%	1.05%	2.18%	1.44%	2.90%	1.44%	1.05%	1.92%	2.32%	2.30%	2.42%	2.18%	2.33%	4.42%	8.77%	2.93%	7.58%	1.46%	2.21%	1.32%	2.56%	0.00%	0.00%	1.23%	5.84%	4.34%	3.31%	0.94%	1.88%	1.04%	1.41%	3.06%	4.98%	4.00%	1.42%	7.41%	3.25%	2.59%	1.79%					
19	2.Всероссийская политическая партия «Гражданская Сила»	177	7	1	7	8	2	2	4	10	6	3	8	4	4	9	10	5	3	2	7	7	12	2	13	2	7	5	2	1	0	1	0	3	0	0	5	0	1	0	4	0	1	1	0	2	3	1	2	0	0	0	0	0	0					
		0.56%	0.77%	0.19%	0.90%	0.63%	0.49%	0.28%	0.57%	0.94%	1.03%	0.68%	1.07%	0.56%	0.77%	0.91%	0.94%	1.05%	0.31%	0.26%	1.07%	0.84%	0.97%	0.17%	1.16%	0.14%	0.74%	0.91%	0.78%	0.40%	0.00%	0.12%	0.00%	0.88%	0.00%	0.00%	0.47%	0.00%	0.86%	0.00%	2.60%	0.00%	0.28%	0.31%	0.00%	0.23%	0.35%	0.22%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	34	2	1	1	2	1	3	0	0	1	0	0	0	2	1	2	0	0	0	0	2	0	1	3	2	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2					
		0.11%	0.22%	0.19%	0.13%	0.16%	0.25%	0.41%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.39%	0.10%	0.19%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.08%	0.27%	0.14%	0.11%	0.18%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.74%	0.33%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.60%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	4755	135	77	176	182	65	127	121	208	98	63	131	126	74	169	149	72	150	115	102	176	191	244	224	244	166	62	30	14	44	78	19	64	22	28	170	11	10	24	15	83	19	13	40	126	102	36	25	17	19	27	23	20	29					
		15.13%	14.88%	14.64%	22.59%	14.41%	16.01%	17.54%	17.29%	19.62%	16.84%	14.38%	17.49%	17.80%	14.31%	17.04%	13.96%	15.06%	15.59%	15.01%	15.57%	21.18%	15.48%	20.40%	20.02%	17.04%	17.47%	11.27%	11.67%	5.62%	14.29%	9.54%	9.60%	18.71%	16.18%	9.21%	16.10%	7.24%	8.62%	5.90%	9.74%	18.95%	5.23%	4.08%	12.54%	14.52%	12.01%	7.88%	8.31%	13.60%	6.74%	20.00%	8.30%	7.41%	8.66%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	121	2	1	5	2	1	5	6	6	2	6	2	0	3	6	0	1	4	9	6	6	2	10	2	7	2	3	0	1	0	2	0	0	0	1	5	1	0	0	0	1	2	0	1	2	4	0	2	0	0	0	0	0	0					
		0.39%	0.22%	0.19%	0.64%	0.16%	0.25%	0.69%	0.86%	0.57%	0.34%	1.37%	0.27%	0.00%	0.58%	0.60%	0.00%	0.21%	0.42%	1.17%	0.92%	0.72%	0.16%	0.84%	0.18%	0.49%	0.21%	0.55%	0.00%	0.40%	0.00%	0.24%	0.00%	0.00%	0.00%	0.33%	0.47%	0.66%	0.00%	0.00%	0.00%	0.23%	0.55%	0.00%	0.31%	0.23%	0.47%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	58	3	2	0	1	0	3	2	1	1	2	2	1	3	6	2	2	0	2	2	3	2	1	1	5	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	1					
		0.18%	0.33%	0.38%	0.00%	0.08%	0.00%	0.41%	0.29%	0.09%	0.17%	0.46%	0.27%	0.14%	0.58%	0.60%	0.19%	0.42%	0.00%	0.26%	0.31%	0.36%	0.16%	0.08%	0.09%	0.35%	0.11%	0.18%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.86%	0.00%	0.00%	0.00%	0.28%	0.00%	0.31%	0.23%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%					
24	7.Политическая партия «Либерально-демократическая партия России»	3566	112	47	76	129	53	83	88	103	67	56	82	94	46	126	136	62	117	99	61	99	158	117	142	157	104	69	28	24	27	103	18	27	3	16	135	28	14	32	32	38	23	41	41	100	116	49	34	14	40	8	28	26	38					
		11.35%	12.35%	8.94%	9.76%	10.21%	13.05%	11.46%	12.57%	9.72%	11.51%	12.79%	10.95%	13.28%	8.90%	12.70%	12.75%	12.97%	12.16%	12.92%	9.31%	11.91%	12.80%	9.78%	12.69%	10.96%	10.95%	12.55%	10.89%	9.64%	8.77%	12.59%	9.09%	7.89%	2.21%	5.26%	12.78%	18.42%	12.07%	7.86%	20.78%	8.68%	6.34%	12.85%	12.85%	11.52%	13.66%	10.72%	11.30%	11.20%	14.18%	5.93%	10.11%	9.63%	11.34%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	2992	87	48	74	124	51	68	61	116	70	58	78	70	51	115	110	30	98	81	70	107	113	116	139	194	129	41	20	20	20	50	15	14	1	12	108	8	1	15	6	35	22	23	21	78	72	40	15	10	25	5	18	15	24					
