Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																												
Дата голосования: 04.12.2011																																																												
																																																												
Наименование Избирательной комиссии:    Рославльская																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403					
1	"Число избирателей, внесенных в список избирателей"	60774	1941	1334	1537	2395	971	1572	1816	2286	1295	1012	1811	1763	1121	2136	2072	1012	2365	1864	1138	1658	1992	2249	2234	2612	1758	843	342	343	469	1395	315	547	162	380	2228	214	150	468	161	735	497	495	514	1475	1534	723	535	204	593	188	397	365	558					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	60200	1924	1316	1523	2386	970	1549	1808	2252	1272	988	1791	1773	1124	2122	2042	1014	2346	1849	992	1657	1987	2267	2251	2616	1765	839	334	343	467	1323	316	518	157	369	2244	222	156	469	156	738	468	492	505	1466	1536	725	536	204	555	188	374	353	563					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	23253	701	406	591	1014	317	599	594	861	455	329	634	588	404	839	747	301	770	686	433	726	747	1023	886	1146	790	384	201	163	173	666	108	258	84	169	795	107	58	134	58	283	195	291	216	605	415	369	190	72	159	101	162	127	123					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2898	45	38	16	16	30	13	15	28	9	35	21	36	22	27	29	31	20	26	98	11	25	25	20	9	25	102	46	71	79	41	87	36	20	79	150	62	44	170	11	66	197	28	122	81	132	55	57	43	109	24	66	63	187					
6	Число погашенных избирательных бюллетеней	34049	1178	872	916	1356	623	937	1199	1363	808	624	1136	1149	698	1256	1266	682	1556	1137	461	920	1215	1219	1345	1461	950	353	87	109	215	616	121	224	53	121	1299	53	54	165	87	389	76	173	167	780	989	301	289	89	287	63	146	163	253					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2898	45	38	16	16	30	13	15	28	9	35	21	36	22	27	29	31	20	26	98	11	25	25	20	9	25	102	46	71	79	41	87	36	20	79	150	62	44	170	11	66	197	28	122	81	132	55	57	43	109	24	66	63	187					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	23247	701	406	591	1014	317	599	594	861	455	329	634	588	404	839	747	301	770	686	433	726	741	1023	886	1146	790	384	201	163	173	666	108	258	84	169	795	107	58	134	58	283	195	291	216	605	415	369	190	72	159	101	162	127	123					
9	Число недействительных избирательных бюллетеней	384	22	5	6	19	3	14	9	21	2	4	6	11	3	9	21	8	5	12	10	14	8	18	10	28	9	5	0	5	0	11	0	3	1	2	14	1	0	3	0	7	17	2	1	5	10	9	4	0	1	1	2	2	1					
10	Число действительных избирательных бюллетеней	25761	724	439	601	1011	344	598	600	868	462	360	649	613	423	857	755	324	785	700	521	723	758	1030	896	1127	806	481	247	229	252	696	195	291	103	246	931	168	102	301	69	342	375	317	337	681	537	415	243	115	267	124	226	188	309					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	762	27	10	22	35	12	12	17	25	10	12	17	22	10	25	30	20	15	14	17	22	27	25	55	30	32	7	6	6	6	10	6	7	6	6	25	6	6	6	6	7	6	6	7	15	12	12	7	6	7	6	6	6	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	607	24	8	17	29	9	12	16	21	7	10	15	16	10	25	30	12	15	11	11	19	27	20	46	28	22	6	5	6	6	7	6	3	3	0	17	6	6	6	6	6	5	4	2	14	6	12	3	0	3	2	2	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	410	9	7	7	14	3	11	7	17	14	5	6	13	10	9	10	2	6	9	9	9	6	12	13	12	8	2	6	8	7	5	3	2	3	6	5	1	3	7	5	3	16	10	2	10	8	4	1	1	38	6	8	6	6					
14	Число погашенных неиспользованных открепительных удостоверений	155	3	2	5	6	3	0	1	4	3	2	2	6	0	0	0	8	0	3	6	3	0	5	9	2	10	1	1	0	0	3	0	4	3	6	8	0	0	0	0	1	1	2	5	1	6	0	4	6	4	4	4	6	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	1	0	1	3	0	1	0	1	2	0	1	3	0	1	0	1	0	0	1	0	2	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4606	135	73	123	177	76	109	117	168	125	79	122	127	89	193	151	48	146	138	91	127	151	188	162	232	158	79	43	51	34	95	47	29	13	32	152	10	3	35	5	66	70	22	31	107	100	60	36	21	31	24	17	35	53					
		17.62%	18.10%	16.44%	20.26%	17.18%	21.90%	17.81%	19.21%	18.90%	26.94%	21.70%	18.63%	20.35%	20.89%	22.29%	19.46%	14.46%	18.48%	19.38%	17.14%	17.23%	19.71%	17.94%	17.88%	20.09%	19.39%	16.26%	17.41%	21.79%	13.49%	13.44%	24.10%	9.86%	12.50%	12.90%	16.08%	5.92%	2.94%	11.51%	7.25%	18.91%	17.86%	6.90%	9.17%	15.60%	18.28%	14.15%	14.57%	18.26%	11.57%	19.20%	7.46%	18.42%	17.10%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3753	100	60	77	145	56	99	110	100	60	50	114	100	64	121	93	56	117	116	75	86	131	132	121	191	117	77	34	20	52	111	22	37	10	20	172	29	15	35	17	39	32	26	35	116	102	54	32	20	32	12	27	40	44					
