Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
"Наименование Избирательной комиссии:    Липецк, Октябрьская №2"																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №8090	УИК №8125	УИК №8127	УИК №8132									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	67796	1794	2815	2732	2044	2812	1861	2665	2815	2820	2507	2612	2020	2019	2336	1989	2602	2221	2152	2709	2547	2184	1821	2189	2362	2300	2148	1949	2842	134	380	268	1147									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	71300	1400	2200	2200	1600	2200	1500	2100	2300	2300	2000	2100	1600	1600	1900	1600	2100	1800	1700	2200	2100	1800	1500	1800	1900	1900	1700	1600	2300	6000	9000	1800	1500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	30807	857	1481	1298	767	1265	726	1161	1180	1263	1072	1251	881	839	1070	868	1098	921	874	1132	1101	838	824	959	964	911	999	959	1373	134	379	268	1094									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	372	3	4	6	10	3	4	16	17	10	5	15	20	26	33	10	16	30	17	20	6	15	5	16	8	9	12	8	6	0	1	0	21									
6	Число погашенных избирательных бюллетеней	40120	540	715	896	823	932	770	923	1103	1027	923	834	699	735	797	722	986	849	809	1048	993	947	671	825	928	980	689	632	921	5866	8620	1532	385									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	372	3	4	6	10	3	4	16	17	10	5	15	20	26	33	10	16	30	17	20	6	15	5	16	8	9	12	8	6	0	1	0	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	30805	856	1481	1298	767	1265	726	1161	1180	1263	1072	1251	881	839	1070	868	1098	921	874	1132	1101	838	824	959	964	911	999	959	1373	134	378	268	1094									
9	Число недействительных избирательных бюллетеней	682	16	25	32	3	28	15	34	22	24	37	32	16	26	21	27	24	30	15	23	37	17	20	27	30	14	21	17	20	2	2	6	19									
10	Число действительных избирательных бюллетеней	30495	843	1460	1272	774	1240	715	1143	1175	1249	1040	1234	885	839	1082	851	1090	921	876	1129	1070	836	809	948	942	906	990	950	1359	132	377	262	1096									
