Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																						
Дата голосования: 07.12.2003 0:00:00																																																						
																																																						
Наименование Избирательной комиссии:    Черлакская																																																						
																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																						
																																																						
		Сумма	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588					
1	"Число избирателей, внесенных в списки"	27075	2248	2520	2794	2607	131	1527	253	178	1102	282	142	269	1212	200	173	70	244	162	361	99	64	844	133	142	1179	397	288	224	234	207	1153	175	92	175	218	148	905	106	218	62	222	2189	306	58	291	227	244					
2	"Число бюллетеней, полученных участковыми комиссиями"	26166	2100	2400	2700	2500	198	1400	250	172	1100	270	142	260	1100	200	182	69	250	165	340	97	66	830	141	152	1100	400	280	220	230	210	1100	162	104	191	210	156	900	121	210	69	230	2100	290	69	280	220	230					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14867	830	1277	1224	1104	124	832	165	107	717	174	109	174	658	133	138	47	167	102	232	74	45	578	81	95	669	226	221	162	158	148	609	118	66	113	136	87	460	85	152	48	160	1297	188	47	194	172	164					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	823	59	66	62	63	7	109	13	8	28	6	5	0	41	4	4	0	3	4	27	0	0	26	14	7	20	14	5	4	1	3	41	4	0	7	6	0	40	0	0	6	6	84	10	0	0	6	10					
6	Число погашенных бюллетеней	10476	1211	1057	1414	1333	67	459	72	57	355	90	28	86	401	63	40	22	80	59	81	23	21	226	46	50	411	160	54	54	71	59	450	40	38	71	68	69	400	36	58	15	64	719	92	22	86	42	56					
7	Число бюллетеней в переносных ящиках для голосования	823	59	66	62	63	7	109	13	8	28	6	5	0	41	4	4	0	3	4	27	0	0	26	14	7	20	14	5	4	1	3	41	4	0	7	6	0	40	0	0	6	6	84	10	0	0	6	10					
8	Число бюллетеней в стационарных ящиках для голосования	14862	830	1275	1224	1102	124	832	165	107	717	174	109	174	657	133	138	47	167	102	232	74	45	578	81	95	669	226	221	162	158	148	609	118	66	113	136	87	460	85	152	48	160	1297	188	47	194	172	164					
9	Число недействительных бюллетеней	239	7	11	13	10	3	9	9	2	11	7	0	8	17	2	0	2	2	4	2	1	0	11	3	4	6	6	4	3	0	2	11	6	1	1	5	4	11	1	0	0	6	14	1	1	10	5	3					
10	Число действительных бюллетеней	15446	882	1330	1273	1155	128	932	169	113	734	173	114	166	681	135	142	45	168	102	257	73	45	593	92	98	683	234	222	163	159	149	639	116	65	119	137	83	489	84	152	54	160	1367	197	46	184	173	171					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	355	20	20	20	20	5	10	5	5	10	5	5	5	10	5	5	5	5	5	5	5	5	10	5	5	10	5	5	5	5	5	10	5	5	5	5	5	10	5	5	5	5	30	5	5	5	5	5					
