Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Торжокская городская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1216									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	35256	1666	1756	1891	1813	1730	2051	1199	1472	1245	1672	1634	1579	1636	1571	1669	1374	1493	1022	1257	1621	1573	1734	499	99									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33692	1600	1700	1850	1750	1700	2000	1100	1400	1200	1600	1550	1500	1550	1500	1600	1300	1400	1000	1200	1550	1500	1650	400	92									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13712	622	711	708	710	710	954	433	555	410	702	573	671	763	632	719	500	557	380	405	525	524	648	208	92									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	223	12	10	9	12	6	47	1	6	9	5	10	3	8	12	4	9	5	3	7	12	9	22	2	0									
6	Число погашенных избирательных бюллетеней	19757	966	979	1133	1028	984	999	666	839	781	893	967	826	779	856	877	791	838	617	788	1013	967	980	190	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	223	12	10	9	12	6	47	1	6	9	5	10	3	8	12	4	9	5	3	7	12	9	22	2	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13704	620	708	708	710	710	954	433	555	410	702	573	668	763	632	719	500	557	380	405	525	524	648	208	92									
9	Число недействительных избирательных бюллетеней	289	21	24	12	10	13	19	8	7	6	14	13	16	14	13	12	9	15	5	11	12	17	12	4	2									
10	Число действительных избирательных бюллетеней	13638	611	694	705	712	703	982	426	554	413	693	570	655	757	631	711	500	547	378	401	525	516	658	206	90									
