Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																												
Дата голосования: 02.12.2007																												
																												
Наименование Избирательной комиссии:    Сладковская																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565					
1	"Число избирателей, внесенных в списки избирателей"	10169	781	159	101	447	167	655	1387	144	270	125	343	433	172	85	576	258	1252	1472	387	830	125					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	10278	760	163	101	458	166	678	1396	144	278	124	357	439	177	96	581	264	1263	1472	407	827	127					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	422	0	0	0	0	0	194	74	0	0	0	14	0	0	44	7	0	0	0	89	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8030	541	141	88	373	146	382	1199	144	233	108	280	356	159	38	506	199	979	1209	278	569	102					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1050	167	8	13	28	17	61	78	0	30	12	19	62	12	3	43	38	174	92	13	171	9					
6	Число погашенных избирательных бюллетеней	776	52	14	0	57	3	41	45	0	15	4	44	21	6	11	25	27	110	171	27	87	16					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1472	167	8	13	28	17	255	152	0	30	12	33	62	12	47	50	38	174	92	102	171	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8024	541	141	88	373	146	382	1199	144	233	108	280	356	159	38	506	199	979	1208	278	564	102					
9	Число недействительных избирательных бюллетеней	87	2	0	0	7	0	3	7	3	1	1	0	4	0	0	3	1	20	14	2	19	0					
10	Число действительных избирательных бюллетеней	9409	706	149	101	394	163	634	1344	141	262	119	313	414	171	85	553	236	1133	1286	378	716	111					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	413	53	9	2	27	2	41	15	2	25	5	15	20	4	2	12	9	65	60	24	19	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	412	53	9	2	27	2	41	15	1	25	5	15	20	4	2	12	9	65	60	24	19	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	82	11	1	1	2	2	4	6	1	2	2	2	3	4	1	5	2	14	10	3	5	1					
14	Число погашенных неиспользованных открепительных удостоверений	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	0	0	2	2	0	0	0	0	0	0	0	9	0	0	0	0	4	5	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
