Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																						
Дата голосования: 07.12.2003 0:00:00																						
																						
Наименование Избирательной комиссии:    Лотошинская																						
																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																						
																						
		Сумма	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202					
1	"Число избирателей, внесенных в списки"	13190	1468	1478	1695	744	528	1495	943	427	386	977	476	791	173	593	1016					
2	"Число бюллетеней, полученных участковыми комиссиями"	13738	1489	1450	1651	732	585	1712	1073	440	397	993	483	789	201	614	1129					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8745	1034	1081	1233	394	191	1152	617	286	238	684	141	481	150	414	649					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1774	70	61	48	119	242	56	201	85	98	64	266	149	23	93	199					
6	Число погашенных бюллетеней	3219	385	308	370	219	152	504	255	69	61	245	76	159	28	107	281					
7	Число бюллетеней в переносных ящиках для голосования	1774	70	61	48	119	242	56	201	85	98	64	266	149	23	93	199					
8	Число бюллетеней в стационарных ящиках для голосования	8742	1033	1080	1233	394	191	1152	616	286	238	684	141	481	150	414	649					
9	Число недействительных бюллетеней	241	23	18	16	20	21	23	28	13	14	13	9	9	9	14	11					
10	Число действительных бюллетеней	10275	1080	1123	1265	493	412	1185	789	358	322	735	398	621	164	493	837					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1000	80	85	85	50	40	120	130	30	30	70	40	60	15	45	120					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	106	11	15	28	1	3	11	6	4	4	4	1	4	0	10	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	88	1	15	10	3	5	1	5	7	9	5	10	6	3	6	2					
14	Число погашенных открепительных удостоверений	837	69	70	0	49	37	109	124	26	26	66	39	56	15	35	116					
15	Число открепительных удостоверений выданных ТИК	57	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
18	"1. ""ЕДИНЕНИЕ"""	212	25	21	19	7	12	19	23	9	5	13	5	13	3	16	22					
		2.01%	2.26%	1.84%	1.48%	1.36%	2.77%	1.57%	2.81%	2.42%	1.48%	1.73%	1.22%	2.06%	1.73%	3.15%	2.59%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	171	15	34	19	5	9	22	18	6	5	7	1	10	1	7	12					
		1.62%	1.35%	2.97%	1.48%	0.97%	2.07%	1.82%	2.20%	1.61%	1.48%	0.93%	0.24%	1.58%	0.57%	1.38%	1.41%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	298	44	25	16	9	17	35	26	12	10	16	14	30	6	8	30					
		2.83%	3.98%	2.19%	1.24%	1.75%	3.92%	2.89%	3.18%	3.23%	2.97%	2.13%	3.43%	4.76%	3.46%	1.57%	3.53%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	231	40	42	41	10	6	16	15	4	2	9	7	17	2	8	12					
		2.19%	3.62%	3.68%	3.20%	1.94%	1.38%	1.32%	1.83%	1.07%	0.59%	1.20%	1.71%	2.69%	1.15%	1.57%	1.41%					
22	"5. ""За Русь Святую"""	53	5	7	2	0	1	5	6	1	2	9	2	2	1	4	6					
		0.50%	0.45%	0.61%	0.15%	0.0%	0.23%	0.41%	0.73%	0.26%	0.59%	1.20%	0.49%	0.31%	0.57%	0.78%	0.70%					
23	"6. ""Объединенная Российская партия ""Русь"""	39	2	3	3	5	1	5	3	0	0	4	2	3	1	1	6					
		0.37%	0.18%	0.26%	0.23%	0.97%	0.23%	0.41%	0.36%	0.0%	0.0%	0.53%	0.49%	0.47%	0.57%	0.19%	0.70%					
24	"7. ""Новый курс - Автомобильная Россия"""	143	21	18	25	5	4	30	9	3	0	9	2	5	0	6	6					
		1.35%	1.90%	1.57%	1.95%	0.97%	0.92%	2.48%	1.10%	0.80%	0.0%	1.20%	0.49%	0.79%	0.0%	1.18%	0.70%					
25	"8. ""Народно-республиканская партия России"""	18	1	3	3	1	3	0	1	0	0	2	0	0	0	2	2					
		0.17%	0.09%	0.26%	0.23%	0.19%	0.69%	0.0%	0.12%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.39%	0.23%					
26	"9. ""Российская экологическая партия ""Зеленые"""	33	4	5	1	1	1	7	9	0	0	1	1	2	0	0	1					
		0.31%	0.36%	0.43%	0.07%	0.19%	0.23%	0.57%	1.10%	0.0%	0.0%	0.13%	0.24%	0.31%	0.0%	0.0%	0.11%					
