Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    Шумерлинская																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003					
1	"Число избирателей, внесенных в список"	10201	625	112	445	252	146	241	328	114	90	368	101	144	90	543	204	93	642	179	249	224	695	264	340	530	191	261	411	231	188	378	425	140	176	781					
2	Число полученных избирательных бюллетеней	10250	610	107	450	250	140	260	320	115	88	370	107	141	91	535	200	92	660	176	270	220	735	235	330	524	196	265	420	235	185	372	425	145	188	793					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6190	309	84	251	147	110	185	182	75	61	235	71	111	54	337	148	73	393	115	139	126	397	141	193	221	140	182	201	153	101	251	273	92	88	551					
5	"Число избирательных бюллетеней, выданных вне помещения"	1289	75	20	51	14	14	16	60	10	13	33	14	9	11	61	17	11	53	14	43	21	73	48	49	102	15	18	94	29	64	26	52	20	47	92					
6	Число погашенных избирательных бюллетеней	2771	226	3	148	89	16	59	78	30	14	102	22	21	26	137	35	8	214	47	88	73	265	46	88	201	41	65	125	53	20	95	100	33	53	150					
7	Число избирательных бюллетеней в переносных ящиках	1289	75	20	51	14	14	16	60	10	13	33	14	9	11	61	17	11	53	14	43	21	73	48	49	102	15	18	94	29	64	26	52	20	47	92					
8	Число бюллетеней в стационарных ящиках для голосования	6190	309	84	251	147	110	185	182	75	61	235	71	111	54	337	148	73	393	115	139	126	397	141	193	221	140	182	201	153	101	251	273	92	88	551					
9	Число недействительных избирательных бюллетеней	167	18	0	6	3	2	4	1	1	1	11	1	1	1	5	0	1	14	1	3	3	15	5	3	2	3	16	4	7	3	3	11	4	1	13					
10	Число действительных избирательных бюллетеней	7312	366	104	296	158	122	197	241	84	73	257	84	119	64	393	165	83	432	128	179	144	455	184	239	321	152	184	291	175	162	274	314	108	134	630					
11	Число полученных открепительных  удостоверений	472	5	0	5	5	12	19	12	6	12	12	9	12	0	15	4	6	28	1	56	11	46	12	12	15	12	10	17	12	12	22	18	8	19	27					
12	Число выданных открепительных удостоверений	352	5	0	1	5	0	19	3	3	0	7	9	1	0	15	2	6	24	1	31	7	46	1	1	15	9	7	17	11	12	22	18	8	19	27					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	139	6	3	1	3	2	2	3	5	1	1	3	2	2	4	1	1	4	1	9	8	4	27	4	5	0	3	1	0	7	11	6	3	1	5					
14	Число неиспользованных открепительных удостоверений	120	0	0	4	0	12	0	9	3	12	5	0	11	0	0	2	0	4	0	25	4	0	11	11	0	3	3	0	1	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	27	2	0	0	0	2	1	3	0	1	1	0	1	1	0	2	0	0	0	0	0	2	0	1	2	0	3	2	0	0	0	0	0	0	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																									
18	. Глазьев Сергей Юрьевич	100	6	0	1	3	2	3	11	2	0	5	3	0	0	6	6	1	5	1	5	1	5	0	2	3	0	1	0	0	1	3	7	4	2	11					
		1.34%	1.56%	0.00%	0.33%	1.86%	1.61%	1.49%	4.55%	2.35%	0.00%	1.87%	3.53%	0.00%	0.00%	1.51%	3.64%	1.19%	1.12%	0.78%	2.75%	0.68%	1.06%	0.00%	0.83%	0.93%	0.00%	0.50%	0.00%	0.00%	0.61%	1.08%	2.15%	3.57%	1.48%	1.71%					
19	. Малышкин Олег Александрович	118	5	0	3	1	1	0	3	4	0	2	1	0	2	10	2	1	10	4	1	1	1	2	3	9	7	4	9	0	0	6	6	6	1	13					
		1.58%	1.30%	0.00%	0.99%	0.62%	0.81%	0.00%	1.24%	4.71%	0.00%	0.75%	1.18%	0.00%	3.08%	2.51%	1.21%	1.19%	2.24%	3.10%	0.55%	0.68%	0.21%	1.06%	1.24%	2.79%	4.52%	2.00%	3.05%	0.00%	0.00%	2.17%	1.85%	5.36%	0.74%	2.02%					
20	. Миронов Сергей Михайлович	58	2	0	4	0	2	0	3	2	0	0	0	2	1	1	0	1	3	2	1	0	1	0	2	4	0	0	1	1	4	6	3	1	3	8					
		0.78%	0.52%	0.00%	1.32%	0.00%	1.61%	0.00%	1.24%	2.35%	0.00%	0.00%	0.00%	1.67%	1.54%	0.25%	0.00%	1.19%	0.67%	1.55%	0.55%	0.00%	0.21%	0.00%	0.83%	1.24%	0.00%	0.00%	0.34%	0.55%	2.42%	2.17%	0.92%	0.89%	2.22%	1.24%					
21	. Путин Владимир Владимирович	4746	289	73	183	97	97	151	182	48	49	169	54	84	47	236	128	58	262	80	133	87	230	104	114	197	95	108	187	135	117	153	216	57	80	446					
		63.46%	75.26%	70.19%	60.60%	60.25%	78.23%	75.12%	75.21%	56.47%	66.22%	63.06%	63.53%	70.00%	72.31%	59.30%	77.58%	69.05%	58.74%	62.02%	73.08%	59.18%	48.94%	55.03%	47.11%	60.99%	61.29%	54.00%	63.39%	74.18%	70.91%	55.23%	66.46%	50.89%	59.26%	69.36%					
22	. Хакамада Ирина Муцуовна	73	3	1	4	2	2	2	3	0	1	3	1	0	1	5	3	1	4	2	2	0	3	1	3	1	2	3	3	1	0	5	2	2	1	6					
		0.98%	0.78%	0.96%	1.32%	1.24%	1.61%	1.00%	1.24%	0.00%	1.35%	1.12%	1.18%	0.00%	1.54%	1.26%	1.82%	1.19%	0.90%	1.55%	1.10%	0.00%	0.64%	0.53%	1.24%	0.31%	1.29%	1.50%	1.02%	0.55%	0.00%	1.81%	0.62%	1.79%	0.74%	0.93%					
23	. Харитонов Николай Михайлович	2140	60	30	99	53	17	37	34	26	22	77	24	32	12	128	25	19	146	37	36	54	210	70	113	104	48	63	89	37	39	100	76	38	47	138					
		28.61%	15.62%	28.85%	32.78%	32.92%	13.71%	18.41%	14.05%	30.59%	29.73%	28.73%	28.24%	26.67%	18.46%	32.16%	15.15%	22.62%	32.74%	28.68%	19.78%	36.73%	44.68%	37.04%	46.69%	32.20%	30.97%	31.50%	30.17%	20.33%	23.64%	36.10%	23.38%	33.93%	34.81%	21.46%					
																																									
24	Против всех	77	1	0	2	2	1	4	5	2	1	1	1	1	1	7	1	2	2	2	1	1	5	7	2	3	0	5	2	1	1	1	4	0	0	8					
		1.03%	0.26%	0.00%	0.66%	1.24%	0.81%	1.99%	2.07%	2.35%	1.35%	0.37%	1.18%	0.83%	1.54%	1.76%	0.61%	2.38%	0.45%	1.55%	0.55%	0.68%	1.06%	3.70%	0.83%	0.93%	0.00%	2.50%	0.68%	0.55%	0.61%	0.36%	1.23%	0.00%	0.00%	1.24%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
