Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																
Дата голосования: 04.12.2011																																																																																
																																																																																
Наименование Избирательной комиссии:    Курганская Западная																																																																																
																																																																																
Сводная таблица результатов выборов																																																																																
																																																																																
		Сумма	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №130	УИК №133	УИК №135	УИК №136	УИК №138	УИК №139	УИК №140	УИК №290	УИК №291	УИК №910	УИК №911	УИК №912					
1	"Число избирателей, внесенных в список избирателей"	140976	1765	2313	1450	2158	2012	1997	2596	2180	2150	2430	2526	2268	2223	1834	2076	2284	2544	1984	1949	2131	2126	1708	2132	2246	2293	2133	2481	1989	281	2170	2688	2298	2457	2002	2227	2052	2108	1516	1876	2340	1469	2291	2399	1976	1824	1867	2208	2615	2587	1712	2188	1667	1897	1979	1656	1818	2300	2171	1897	1825	2399	459	1998	1572	2362	1109	1002	434	49	34	1716	1660	1843					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	136350	1600	2200	1300	2000	1900	2000	2600	2100	2100	2400	2500	2200	2000	1804	1900	2100	2500	2000	1900	2100	2100	1700	2200	2200	2200	2100	2200	1800	250	2100	2500	2100	2300	1800	2250	2000	2100	1500	1800	2300	1400	2300	2300	1900	1800	1700	2200	2600	2500	1600	2200	1600	1800	1800	1600	1700	2200	2000	1800	1700	2400	400	1900	1500	2300	1000	1000	446	500	500	1592	1658	1750					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	69078	864	1130	692	997	1101	1028	1352	1099	1155	1272	1357	1179	1210	939	1144	1222	1352	1149	603	1016	876	880	727	883	745	767	740	518	110	917	1063	920	1184	937	941	1119	780	819	1054	901	569	1205	1198	981	928	939	1166	1456	1514	1021	1163	960	1017	1076	881	1057	1221	1107	972	1052	1239	200	977	852	1191	578	465	434	49	34	978	898	958					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2271	32	23	20	30	21	45	36	40	34	35	31	33	26	28	24	30	28	18	43	31	33	21	22	37	30	15	112	37	11	32	24	73	49	47	39	22	47	2	3	27	19	37	41	64	28	39	37	59	26	17	19	17	43	51	36	51	51	66	34	29	53	12	35	11	16	26	7	0	0	0	23	15	18					
6	Число погашенных избирательных бюллетеней	65001	704	1047	588	973	778	927	1212	961	911	1093	1112	988	764	837	732	848	1120	833	1254	1053	1191	799	1451	1280	1425	1318	1348	1245	129	1151	1413	1107	1067	816	1270	859	1273	679	743	1372	812	1058	1061	855	844	722	997	1085	960	562	1018	623	740	673	683	592	928	827	794	619	1108	188	888	637	1093	396	528	12	451	466	591	745	774					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2271	32	23	20	30	21	45	36	40	34	35	31	33	26	28	24	30	28	18	43	31	33	21	22	37	30	15	112	37	11	32	24	73	49	47	39	22	47	2	3	27	19	37	41	64	28	39	37	59	26	17	19	17	43	51	36	51	51	66	34	29	53	12	35	11	16	26	7	0	0	0	23	15	18					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	69040	864	1125	692	997	1101	1028	1352	1099	1155	1272	1357	1179	1210	937	1144	1222	1350	1149	602	1016	876	880	725	883	745	766	740	518	110	917	1062	920	1183	935	941	1117	780	819	1054	901	567	1205	1198	981	928	939	1166	1456	1513	1021	1163	960	1016	1076	881	1057	1213	1107	972	1052	1238	200	977	852	1191	577	465	434	49	34	978	896	955					
9	Число недействительных избирательных бюллетеней	741	12	12	4	14	15	15	8	9	12	9	16	10	5	6	16	17	11	14	7	19	10	10	2	16	12	9	5	5	2	21	9	11	23	11	7	16	5	11	8	10	6	15	8	12	9	9	14	12	24	11	6	13	7	7	15	5	12	9	9	15	15	1	11	6	13	8	4	6	0	0	12	7	6					
10	Число действительных избирательных бюллетеней	70570	884	1136	708	1013	1107	1058	1380	1130	1177	1298	1372	1202	1231	959	1152	1235	1367	1153	638	1028	899	891	745	904	763	772	847	550	119	928	1077	982	1209	971	973	1123	822	810	1049	918	580	1227	1231	1033	947	969	1189	1503	1515	1027	1176	964	1052	1120	902	1103	1252	1164	997	1066	1276	211	1001	857	1194	595	468	428	49	34	989	904	967					
