Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																													
Дата голосования: 04.12.2011																																													
																																													
Наименование Избирательной комиссии:    Тисульская																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503					
1	"Число избирателей, внесенных в список избирателей"	18889	1242	1217	1293	990	1325	1027	218	177	1143	1187	206	490	368	106	337	494	738	529	161	74	522	884	167	204	429	119	70	463	48	66	442	360	300	283	330	161	268	451					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19000	1220	1200	1300	1010	1300	935	215	190	1165	1200	215	495	375	110	340	500	750	555	165	80	550	865	172	213	445	119	81	460	58	77	455	380	295	290	330	170	270	450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	14761	1017	1034	1212	818	1074	730	166	142	709	783	151	319	291	82	263	384	515	383	115	66	385	785	124	168	345	93	58	358	44	62	340	286	274	221	278	127	156	403					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1286	98	41	16	38	57	158	21	7	54	57	40	51	23	10	15	21	81	58	27	1	58	21	10	18	24	7	10	34	0	0	74	14	15	21	15	10	74	7					
6	Число погашенных избирательных бюллетеней	2953	105	125	72	154	169	47	28	41	402	360	24	125	61	18	62	95	154	114	23	13	107	59	38	27	76	19	13	68	14	15	41	80	6	48	37	33	40	40					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1285	98	41	16	38	57	157	21	7	54	57	40	51	23	10	15	21	81	58	27	1	58	21	10	18	24	7	10	34	0	0	74	14	15	21	15	10	74	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14757	1015	1034	1212	818	1074	730	166	142	709	783	151	319	289	82	263	384	515	383	115	66	385	785	124	168	345	93	58	358	44	62	340	286	274	221	278	127	156	403					
9	Число недействительных избирательных бюллетеней	172	7	4	0	6	21	8	4	0	6	3	0	40	2	0	7	13	7	16	0	1	0	0	1	0	1	0	0	7	1	2	0	0	2	0	3	4	4	2					
10	Число действительных избирательных бюллетеней	15870	1106	1071	1228	850	1110	879	183	149	757	837	191	330	310	92	271	392	589	425	142	66	443	806	133	186	368	100	68	385	43	60	414	300	287	242	290	133	226	408					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	300	14	16	12	12	18	20	6	6	12	12	6	11	6	4	6	8	10	8	6	4	8	10	4	6	8	0	10	5	4	0	8	6	6	6	6	2	6	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	300	14	16	12	12	18	20	6	6	12	12	6	11	6	4	6	8	10	8	6	4	8	10	4	6	8	0	10	5	4	0	8	6	6	6	6	2	6	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	104	9	6	5	9	20	8	0	2	0	0	0	0	1	1	2	3	0	1	2	2	2	5	2	0	5	1	1	1	2	1	0	1	0	2	3	0	5	2					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
