Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №15																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №2293	УИК №2294	УИК №2295									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	35621	1946	2005	1755	1764	763	1146	2797	1889	1536	1903	1976	1852	1877	2420	2305	2143	2031	1860	1129	443	58	23									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30224	1500	1500	1500	1500	700	1000	2500	1500	1500	1500	1500	1500	1500	2000	2000	2000	2000	1500	1000	443	58	23									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14422	738	602	552	651	330	427	1217	719	608	787	807	732	676	1499	862	746	743	773	429	443	58	23									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	450	42	205	9	10	3	5	61	11	13	8	24	6	8	5	16	6	3	10	5	0	0	0									
6	Число погашенных избирательных бюллетеней	15350	720	693	939	839	367	568	1222	770	879	705	667	762	816	496	1122	1248	1254	717	566	0	0	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	450	42	205	9	10	3	5	61	11	13	8	24	6	8	5	16	6	3	10	5	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14394	738	602	547	650	330	427	1215	719	602	785	807	732	668	1499	861	745	743	772	428	443	58	23									
9	Число недействительных избирательных бюллетеней	474	20	23	29	17	18	23	45	21	23	25	26	19	20	35	33	29	28	23	12	5	0	0									
10	Число действительных избирательных бюллетеней	14370	760	784	527	643	315	409	1231	709	592	768	805	719	656	1469	844	722	718	759	421	438	58	23									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	783	30	30	30	40	40	30	113	40	40	60	40	40	30	40	40	40	30	40	30	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	497	20	18	10	18	11	11	106	17	23	43	30	26	23	28	31	18	23	34	7	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	419	15	29	1	11	10	7	56	53	33	24	15	36	7	29	15	16	21	31	10	0	0	0									
