Выборы Президента Российской Федерации																																																																		
																																																																		
"Наименование Избирательной комиссии:    Нижний Новгород, Советская"																																																																		
																																																																		
Итоги голосования 																																																																		
																																																																		
		Сумма	УИК  1709	УИК  1710	УИК  1711	УИК  1712	УИК  1713	УИК  1714	УИК  1715	УИК  1716	УИК  1717	УИК  1718	УИК  1719	УИК  1720	УИК  1721	УИК  1722	УИК  1723	УИК  1724	УИК  1725	УИК  1726	УИК  1727	УИК  1728	УИК  1729	УИК  1730	УИК  1731	УИК  1732	УИК  1733	УИК  1734	УИК  1735	УИК  1736	УИК  1737	УИК  1738	УИК  1739	УИК  1740	УИК  1741	УИК  1742	УИК  1743	УИК  1744	УИК  1745	УИК  1746	УИК  1747	УИК  1748	УИК  1749	УИК  1750	УИК  1751	УИК  1752	УИК  1753	УИК  1754	УИК  1755	УИК  1756	УИК  1757	УИК  1758	УИК  1759	УИК  1760	УИК  1761	УИК  1762	УИК  1763	УИК  1764	УИК  1765	УИК  1766	УИК  1767					
1	"Число избирателей, внесенных в список"	124845	2344	2560	2782	2600	2109	1836	1823	1713	1214	2513	2411	1792	2562	2202	1748	1296	1878	2279	1932	1627	545	1634	1578	2959	1479	1941	2228	2552	2740	3081	2396	2150	1968	2041	2150	1654	2947	2533	2376	2335	2215	2280	2232	1993	2081	1857	2041	2215	2452	2291	1367	2547	2371	2017	2764	2624	2504	577	1909					
2	Число полученных избирательных бюллетеней	126270	2500	2500	2800	2600	2100	1800	1800	1700	1200	2500	2400	2200	2500	2400	1800	1500	1800	2200	2000	1500	1000	1800	1800	2900	1400	1900	2200	2500	2700	2900	2400	2000	2100	2000	2100	1600	2900	2500	2400	2300	2200	2200	2200	2000	2100	1800	2000	2200	2400	2300	2500	2500	2300	2000	2800	2400	2600	570	2000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	64740	1141	1168	1323	1163	1047	865	901	778	620	1221	1274	884	1214	985	876	977	1064	1192	955	749	533	874	629	1551	785	1001	982	1392	1280	1599	1214	1015	1021	848	1016	931	1373	1370	1271	1251	1097	1178	1195	1031	1133	1052	1044	1195	1317	1223	1325	1292	1169	1007	1427	1385	1255	183	1899					
5	"Число избирательных бюллетеней, выданных вне помещения"	2906	54	40	44	59	50	46	38	45	34	57	40	25	55	40	50	0	36	43	137	149	0	14	14	52	40	39	16	21	19	202	44	177	13	68	60	72	45	26	39	31	42	37	38	38	39	19	46	31	36	31	42	33	34	18	31	213	35	109	0					
6	Число погашенных избирательных бюллетеней	58624	1305	1292	1433	1378	1003	889	861	877	546	1222	1086	1291	1231	1375	874	523	700	965	908	602	467	912	1157	1297	575	860	1202	1087	1401	1099	1142	808	1066	1084	1024	597	1482	1104	1090	1018	1061	985	967	931	928	729	910	974	1047	1046	1133	1175	1097	975	1342	802	1310	278	101					
7	Число избирательных бюллетеней в переносных ящиках	2906	54	40	44	59	50	46	38	45	34	57	40	25	55	40	50	0	36	43	137	149	0	14	14	52	40	39	16	21	19	202	44	177	13	68	60	72	45	26	39	31	42	37	38	38	39	19	46	31	36	31	42	33	34	18	31	213	35	109	0					
8	Число бюллетеней в стационарных ящиках для голосования	64674	1141	1167	1279	1163	1047	865	901	778	620	1220	1273	884	1214	985	876	976	1063	1190	953	749	533	874	628	1549	785	1001	981	1392	1280	1599	1214	1015	1020	848	1016	931	1373	1370	1270	1251	1097	1178	1195	1031	1133	1052	1044	1194	1316	1223	1322	1292	1169	1007	1427	1384	1255	183	1898					
9	Число недействительных избирательных бюллетеней	360	2	5	5	5	8	1	6	7	7	8	9	5	5	4	11	2	4	4	3	6	0	2	2	2	2	8	4	4	7	5	9	4	4	8	3	4	7	8	2	4	4	5	13	4	7	11	6	1	7	4	8	8	5	1	6	4	10	3	57					
10	Число действительных избирательных бюллетеней	67220	1193	1202	1318	1217	1089	910	933	816	647	1269	1304	904	1264	1021	915	974	1095	1229	1087	892	533	886	640	1599	823	1032	993	1409	1292	1796	1249	1188	1029	908	1073	999	1411	1388	1307	1278	1135	1210	1220	1065	1165	1060	1084	1224	1345	1250	1356	1317	1198	1024	1452	1593	1280	289	1841					
