Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																
Дата голосования: 04.12.2011																																																																
																																																																
"Наименование Избирательной комиссии:    Тверь, Заволжская"																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989					
1	"Число избирателей, внесенных в список избирателей"	119784	1894	2005	2228	2325	2356	2627	2541	2227	2525	1403	1271	2338	2610	2783	2565	2479	2338	2322	1874	2508	2265	2086	2269	2538	2127	1550	1772	2503	2576	2158	1870	2231	2556	2402	2079	2430	2159	2453	1766	1861	2167	2743	2077	1593	2210	2676	2629	1383	1837	2296	2746	2495	2843	898	153	52	116					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	110692	1800	1900	2000	2200	2200	2500	2400	2100	2406	1300	1200	2200	2500	2600	2400	2300	2200	1900	1800	2400	2100	1600	2100	2400	2100	1400	1700	2300	2400	2000	1700	2000	2000	2200	1900	2300	1900	2300	1600	1700	2000	2500	1900	1500	2006	2500	2300	1300	1700	2100	2600	2400	2800	770	130	54	126					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	59434	841	980	1151	1196	1129	1109	1329	1110	1103	653	748	1071	1075	1382	1299	1053	1087	1140	1012	1421	1194	985	1284	1508	868	764	818	1106	1155	896	838	1088	1200	1160	1111	1296	1239	1414	994	837	1063	1604	1082	868	1309	1507	1143	610	826	1125	1234	1135	1446	594	93	40	111					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1554	21	9	14	19	29	17	16	19	28	7	13	35	15	24	25	11	35	16	21	23	12	80	30	16	41	9	19	22	11	28	30	31	17	13	20	51	31	29	44	47	44	14	18	55	16	41	28	22	36	19	19	19	38	166	29	12	0					
6	Число погашенных избирательных бюллетеней	49704	938	911	835	985	1042	1374	1055	971	1275	640	439	1094	1410	1194	1076	1236	1078	744	767	956	894	535	786	876	1191	627	863	1172	1234	1076	832	881	783	1027	769	953	630	857	562	816	893	882	800	577	681	952	1129	668	838	956	1347	1246	1316	10	8	2	15					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1554	21	9	14	19	29	17	16	19	28	7	13	35	15	24	25	11	35	16	21	23	12	80	30	16	41	9	19	22	11	28	30	31	17	13	20	51	31	29	44	47	44	14	18	55	16	41	28	22	36	19	19	19	38	166	29	12	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	59349	839	980	1148	1196	1128	1108	1329	1110	1103	653	747	1071	1075	1382	1299	1053	1087	1124	1010	1421	1192	985	1284	1504	868	764	818	1098	1155	896	838	1087	1200	1160	1111	1296	1238	1384	994	836	1060	1602	1082	868	1309	1505	1141	609	826	1125	1234	1134	1446	593	93	40	111					
9	Число недействительных избирательных бюллетеней	797	12	12	22	10	14	21	14	13	18	5	10	21	22	25	15	10	29	18	17	20	18	18	18	19	18	13	4	12	10	16	6	10	5	19	9	18	17	10	15	13	16	16	17	4	12	26	14	8	7	13	21	12	21	11	1	1	1					
10	Число действительных избирательных бюллетеней	60106	848	977	1140	1205	1143	1104	1331	1116	1113	655	750	1085	1068	1381	1309	1054	1093	1122	1014	1424	1186	1047	1296	1501	891	760	833	1108	1156	908	862	1108	1212	1154	1122	1329	1252	1403	1023	870	1088	1600	1083	919	1313	1520	1155	623	855	1131	1232	1141	1463	748	121	51	110					
