Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Шиловская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32397	356	129	553	237	261	665	224	42	437	696	222	109	246	432	200	196	398	112	375	417	308	558	523	431	232	565	714	246	208	432	270	165	216	375	238	335	196	2226	2322	2069	1923	1439	1320	1291	1309	777	307	463	2596	2036									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31500	350	130	550	230	260	660	220	35	405	690	200	100	240	430	190	190	390	100	380	420	300	550	500	400	230	550	700	240	200	430	250	190	210	350	230	280	220	2200	2300	2000	1900	1400	1100	1200	1300	750	300	450	2600	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15643	184	52	343	157	155	420	164	17	208	278	116	45	240	146	99	47	260	36	128	171	126	263	386	255	147	258	312	32	80	269	155	118	85	241	124	141	70	1059	1212	1364	989	612	505	751	346	303	173	150	928	923									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2829	54	49	44	38	35	80	36	18	56	50	27	35	0	114	31	17	47	52	186	38	32	19	43	78	45	50	51	105	50	73	50	47	78	53	59	34	32	142	179	7	103	48	136	15	29	75	33	117	34	5									
6	Число погашенных избирательных бюллетеней	13028	112	29	163	35	70	160	20	0	141	362	57	20	0	170	60	126	83	12	66	211	142	268	71	67	38	242	337	103	70	88	45	25	47	56	47	105	118	999	909	629	808	740	459	434	925	372	94	183	1638	1072									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2829	54	49	44	38	35	80	36	18	56	50	27	35	0	114	31	17	47	52	186	38	32	19	43	78	45	50	51	105	50	73	50	47	78	53	59	34	32	142	179	7	103	48	136	15	29	75	33	117	34	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15583	184	52	343	157	155	420	164	17	208	278	116	45	240	146	99	47	260	36	128	171	126	263	386	255	147	258	312	32	80	269	155	118	85	241	124	141	70	999	1212	1364	989	612	505	751	346	303	173	150	928	923									
9	Число недействительных избирательных бюллетеней	178	31	0	0	0	2	6	0	0	0	1	0	0	0	12	2	0	0	0	10	3	0	1	1	0	2	0	5	1	0	0	0	9	3	2	0	0	0	17	1	0	36	6	0	2	6	2	2	3	12	0									
10	Число действительных избирательных бюллетеней	18234	207	101	387	195	188	494	200	35	264	327	143	80	240	248	128	64	307	88	304	206	158	281	428	333	190	308	358	136	130	342	205	156	160	292	183	175	102	1124	1390	1371	1056	654	641	764	369	376	204	264	950	928									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	261	2	1	3	1	2	5	1	1	3	3	1	1	1	2	1	1	3	2	2	5	2	2	7	3	2	7	7	1	1	3	2	2	2	3	2	3	1	15	15	15	25	10	15	10	10	10	5	5	17	18									
