Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																								
Дата голосования: 02.12.2007																																																								
																																																								
Наименование Избирательной комиссии:    ТИК Лысьвенского МР																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049					
1	"Число избирателей, внесенных в списки избирателей"	68040	1364	1514	1779	1106	1185	1200	1839	1102	1592	2366	1973	2609	2645	2845	1638	2111	2177	2619	1826	1586	1733	1929	1370	1242	2298	1670	1872	2871	2957	2528	454	573	749	213	445	362	655	524	212	1517	788	299	272	377	233	1129	535	521	636					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	63970	1300	1400	1700	1050	1100	1100	1700	1050	1500	2200	1900	2500	2400	2700	1550	2000	2100	2500	1750	1500	1600	1850	1300	1200	2100	1550	1800	2700	2600	2400	420	530	700	190	400	350	640	500	210	1400	700	280	270	370	230	1050	500	500	630					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	29					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	33490	702	740	832	464	497	459	881	551	727	1164	1016	1480	1380	1420	782	1096	1314	1534	1027	826	984	1037	697	606	980	871	961	1453	1279	1357	184	251	288	73	238	157	302	238	107	702	321	144	128	126	105	413	233	152	211					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2902	55	68	41	24	27	73	50	23	43	40	31	57	85	50	63	49	41	40	34	93	34	36	29	31	87	37	38	44	274	46	119	110	90	57	34	47	62	72	33	79	56	30	44	57	9	140	57	102	61					
6	Число погашенных избирательных бюллетеней	27494	543	592	827	562	576	568	769	476	730	996	853	963	935	1230	705	855	745	926	689	581	582	777	574	563	1033	642	801	1203	1047	997	117	169	322	60	128	146	276	135	70	619	323	106	98	187	116	497	210	246	329					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2986	55	68	41	24	27	73	50	23	43	40	31	57	85	50	63	49	41	40	34	93	34	36	29	31	87	37	38	44	274	46	119	110	90	57	34	47	62	127	33	79	56	30	44	57	9	140	57	102	90					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	33482	702	740	832	463	497	459	881	551	727	1164	1015	1480	1380	1420	782	1096	1314	1534	1027	826	984	1036	697	606	979	869	961	1453	1279	1355	184	251	288	73	238	157	302	238	107	702	321	144	128	126	105	413	233	152	211					
9	Число недействительных избирательных бюллетеней	354	2	10	11	7	6	6	7	8	14	5	5	15	13	21	7	10	14	14	19	4	10	13	5	5	9	9	9	27	14	10	2	4	4	0	4	1	5	7	1	5	4	2	2	2	0	0	0	1	1					
10	Число действительных избирательных бюллетеней	36114	755	798	862	480	518	526	924	566	756	1199	1041	1522	1452	1449	838	1135	1341	1560	1042	915	1008	1059	721	632	1057	897	990	1470	1539	1391	301	357	374	130	268	203	359	358	139	776	373	172	170	181	114	553	290	253	300					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1355	20	20	25	20	20	20	30	20	25	35	30	45	40	45	25	35	35	45	40	80	30	30	25	20	35	25	30	45	45	45	25	20	20	15	20	20	20	20	15	30	20	15	15	15	15	25	20	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	706	10	17	16	10	4	6	13	11	9	15	21	35	23	26	13	24	20	32	17	15	26	15	15	11	24	12	17	24	30	26	3	2	0	2	11	4	20	10	15	12	3	4	15	15	13	9	6	9	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	338	8	5	7	2	7	3	7	12	6	10	14	3	10	26	7	10	11	6	15	4	15	9	6	7	6	10	7	9	14	5	9	4	5	9	4	3	8	1	2	9	5	3	1	2	2	1	3	5	1					
14	Число погашенных неиспользованных открепительных удостоверений	649	10	3	9	10	16	14	17	9	16	20	9	10	17	19	12	11	15	13	23	65	4	15	10	9	11	13	13	21	15	19	22	18	20	13	9	16	0	10	0	18	17	11	0	0	2	16	14	11	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	95	2	0	4	2	3	0	5	1	5	2	2	5	3	3	4	7	0	2	7	1	1	1	3	1	7	1	3	3	5	2	2	2	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																								
18	1.Политическая партия «Аграрная партия России»	904	13	22	17	12	11	12	18	9	17	31	42	36	32	36	19	27	40	27	27	20	22	31	18	11	33	20	28	25	30	23	2	24	21	6	13	8	22	9	1	24	0	4	12	10	2	10	8	10	9					
		2.48%	1.72%	2.72%	1.95%	2.46%	2.10%	2.26%	1.93%	1.57%	2.21%	2.57%	4.02%	2.34%	2.18%	2.45%	2.25%	2.36%	2.95%	1.72%	2.54%	2.18%	2.16%	2.89%	2.48%	1.73%	3.10%	2.21%	2.80%	1.67%	1.93%	1.64%	0.66%	6.65%	5.56%	4.62%	4.78%	3.92%	6.04%	2.47%	0.71%	3.07%	0.00%	2.30%	6.98%	5.46%	1.75%	1.81%	2.76%	3.94%	2.99%					
19	2.Всероссийская политическая партия «Гражданская Сила»	299	5	2	9	3	5	3	6	0	9	10	8	11	6	21	6	11	11	19	15	9	11	12	4	5	14	9	9	11	17	11	1	2	3	1	0	0	1	3	0	3	6	0	0	0	0	1	2	0	4					
		0.82%	0.66%	0.25%	1.03%	0.62%	0.95%	0.56%	0.64%	0.00%	1.17%	0.83%	0.76%	0.72%	0.41%	1.43%	0.71%	0.96%	0.81%	1.21%	1.41%	0.98%	1.08%	1.12%	0.55%	0.78%	1.31%	0.99%	0.90%	0.73%	1.09%	0.79%	0.33%	0.55%	0.79%	0.77%	0.00%	0.00%	0.27%	0.82%	0.00%	0.38%	1.59%	0.00%	0.00%	0.00%	0.00%	0.18%	0.69%	0.00%	1.33%					
20	3.Политическая партия «Демократическая партия России»	33	1	1	2	1	0	0	0	0	3	0	0	4	1	2	1	1	0	0	0	2	2	0	3	0	0	2	1	2	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0					
		0.09%	0.13%	0.12%	0.23%	0.21%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.26%	0.07%	0.14%	0.12%	0.09%	0.00%	0.00%	0.00%	0.22%	0.20%	0.00%	0.41%	0.00%	0.00%	0.22%	0.10%	0.13%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.71%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2566	50	44	53	21	30	18	43	48	32	59	65	117	110	94	43	104	136	137	104	92	87	98	68	34	86	63	87	82	118	111	7	11	26	5	15	14	37	32	21	27	27	21	11	7	4	29	11	16	11					
		7.04%	6.61%	5.45%	6.07%	4.31%	5.73%	3.38%	4.62%	8.36%	4.16%	4.90%	6.21%	7.61%	7.51%	6.39%	5.09%	9.08%	10.04%	8.70%	9.80%	10.01%	8.55%	9.14%	9.37%	5.34%	8.07%	6.95%	8.71%	5.48%	7.60%	7.92%	2.31%	3.05%	6.88%	3.85%	5.51%	6.86%	10.16%	8.77%	15.00%	3.46%	7.16%	12.07%	6.40%	3.83%	3.51%	5.24%	3.79%	6.30%	3.65%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	502	7	5	7	7	12	3	10	6	7	19	11	12	19	39	27	7	27	38	19	17	13	22	13	19	8	13	13	21	17	23	2	1	5	0	3	3	3	4	3	4	3	1	2	0	2	2	1	1	1					
		1.38%	0.92%	0.62%	0.80%	1.44%	2.29%	0.56%	1.07%	1.05%	0.91%	1.58%	1.05%	0.78%	1.30%	2.65%	3.20%	0.61%	1.99%	2.41%	1.79%	1.85%	1.28%	2.05%	1.79%	2.98%	0.75%	1.43%	1.30%	1.40%	1.09%	1.64%	0.66%	0.28%	1.32%	0.00%	1.10%	1.47%	0.82%	1.10%	2.14%	0.51%	0.80%	0.57%	1.16%	0.00%	1.75%	0.36%	0.34%	0.39%	0.33%					
23	6.Политическая партия «Партия социальной справедливости»	76	3	0	2	1	0	0	6	3	3	3	2	3	1	4	1	4	4	1	2	3	3	5	1	0	1	1	1	3	3	1	0	1	0	0	0	2	2	1	0	1	0	0	2	0	1	0	1	0	0					
		0.21%	0.40%	0.00%	0.23%	0.21%	0.00%	0.00%	0.64%	0.52%	0.39%	0.25%	0.19%	0.20%	0.07%	0.27%	0.12%	0.35%	0.30%	0.06%	0.19%	0.33%	0.29%	0.47%	0.14%	0.00%	0.09%	0.11%	0.10%	0.20%	0.19%	0.07%	0.00%	0.28%	0.00%	0.00%	0.00%	0.98%	0.55%	0.27%	0.00%	0.13%	0.00%	0.00%	1.16%	0.00%	0.88%	0.00%	0.34%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	5308	142	137	130	73	67	83	147	81	104	176	157	228	219	225	164	167	167	224	138	128	130	159	114	112	168	134	158	283	264	198	24	32	51	15	35	36	16	17	13	89	53	21	27	26	15	49	53	22	37					
