Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Змеиногорская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17076	1628	246	1003	178	96	144	559	84	100	284	754	127	109	1015	71	734	598	256	166	1164	1154	1077	1026	1086	1228	901	1288									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13630	1300	200	800	150	80	120	450	80	80	250	600	100	100	800	70	600	500	200	150	950	900	850	800	800	900	850	950									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6506	692	128	404	65	59	50	262	37	15	116	291	57	52	394	44	307	235	91	84	376	307	346	420	453	394	358	469									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	327	25	0	19	5	3	0	5	0	0	38	27	0	1	9	2	13	9	5	1	21	15	11	37	33	12	20	16									
6	Число погашенных избирательных бюллетеней	6796	583	72	377	80	18	70	183	43	65	96	281	43	47	397	24	280	256	104	65	553	578	493	343	314	494	472	465									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	328	25	0	19	5	3	0	5	0	0	38	28	0	1	9	2	13	9	5	1	21	15	11	37	33	12	20	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6504	690	128	404	65	59	50	262	37	15	116	291	57	52	394	44	307	235	91	84	376	307	346	420	453	394	358	469									
9	Число недействительных избирательных бюллетеней	171	27	5	12	0	0	4	3	1	0	6	5	0	1	9	1	9	2	0	1	7	9	13	13	15	10	12	6									
10	Число действительных избирательных бюллетеней	6661	688	123	411	70	62	46	264	36	15	148	314	57	52	394	45	311	242	96	84	390	313	344	444	471	396	366	479									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	93	14	2	5	1	1	1	4	1	1	3	3	1	1	5	1	5	1	1	4	6	5	2	5	7	3	5	5									
