Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Гурьевская городская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186					
1	"Число избирателей, внесенных в список"	26938	1181	613	1328	1056	1562	801	2005	1519	1055	763	524	1022	1275	914	1080	504	1045	456	955	311	109	685	852	982	983	1052	1139	236	344	587					
2	Число полученных избирательных бюллетеней	29360	1200	750	1400	1250	1700	900	1950	1550	1200	750	550	1600	1350	1050	1050	500	1100	600	900	400	110	700	950	1100	1100	1150	1200	250	350	700					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16406	784	367	703	556	944	457	1184	794	662	390	331	953	806	419	718	252	620	223	560	289	104	327	410	594	643	681	759	155	291	430					
5	"Число избирательных бюллетеней, выданных вне помещения"	3473	100	124	127	210	179	138	106	208	78	141	81	69	62	249	62	105	152	149	113	22	3	148	206	141	84	131	103	43	53	86					
6	Число погашенных избирательных бюллетеней	9481	316	259	570	484	577	305	660	548	460	219	138	578	482	382	270	143	328	228	227	89	3	225	334	365	373	338	338	52	6	184					
7	Число избирательных бюллетеней в переносных ящиках	3473	100	124	127	210	179	138	106	208	78	141	81	69	62	249	62	105	152	149	113	22	3	148	206	141	84	131	103	43	53	86					
8	Число бюллетеней в стационарных ящиках для голосования	16406	784	367	703	556	944	457	1184	794	662	390	331	953	806	419	718	252	620	223	560	289	104	327	410	594	643	681	759	155	291	430					
9	Число недействительных избирательных бюллетеней	167	7	1	5	4	8	5	5	5	7	5	23	11	3	3	4	1	6	3	5	3	0	10	9	8	5	10	10	0	1	0					
10	Число действительных избирательных бюллетеней	19712	877	490	825	762	1115	590	1285	997	733	526	389	1011	865	665	776	356	766	369	668	308	107	465	607	727	722	802	852	198	343	516					
11	Число полученных открепительных  удостоверений	998	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	33	33	32	32	32	32	32	32	32	32	32	32					
12	Число выданных открепительных удостоверений	120	4	1	1	4	9	1	11	8	5	1	4	13	11	2	2	1	2	0	6	1	1	0	1	5	10	9	5	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	75	4	0	5	4	1	1	2	1	2	4	1	7	9	3	0	1	0	0	0	2	1	5	3	5	5	3	1	0	2	3					
14	Число неиспользованных открепительных удостоверений	878	30	33	33	30	25	33	23	26	29	33	30	21	23	32	32	33	32	34	27	32	31	32	31	27	22	23	27	32	30	32					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																					
18	. Глазьев Сергей Юрьевич	799	19	18	26	32	35	29	52	36	21	17	10	42	39	11	26	11	17	19	18	5	2	38	32	37	42	67	46	8	9	35					
		4.02%	2.15%	3.67%	3.13%	4.18%	3.12%	4.87%	4.03%	3.59%	2.84%	3.20%	2.43%	4.11%	4.49%	1.65%	3.33%	3.08%	2.20%	5.11%	2.67%	1.61%	1.87%	8.00%	5.19%	5.03%	5.78%	8.25%	5.34%	4.04%	2.62%	6.78%					
19	. Малышкин Олег Александрович	977	41	22	40	32	51	42	49	35	45	22	19	53	50	20	43	23	40	22	24	21	6	27	31	37	37	36	27	19	20	43					
		4.91%	4.64%	4.48%	4.82%	4.18%	4.54%	7.06%	3.80%	3.49%	6.08%	4.14%	4.61%	5.19%	5.76%	2.99%	5.51%	6.44%	5.18%	5.91%	3.57%	6.75%	5.61%	5.68%	5.03%	5.03%	5.09%	4.43%	3.13%	9.60%	5.81%	8.33%					
20	. Миронов Сергей Михайлович	243	3	2	8	13	10	8	18	16	9	7	5	12	8	10	7	0	8	3	3	6	1	8	15	11	6	18	13	5	2	8					
		1.22%	0.34%	0.41%	0.96%	1.70%	0.89%	1.34%	1.40%	1.60%	1.22%	1.32%	1.21%	1.17%	0.92%	1.50%	0.90%	0.00%	1.04%	0.81%	0.45%	1.93%	0.93%	1.68%	2.44%	1.50%	0.83%	2.22%	1.51%	2.53%	0.58%	1.55%					
21	. Путин Владимир Владимирович	13535	714	388	590	523	834	402	931	673	501	338	280	705	539	484	575	244	541	274	505	228	81	279	383	471	449	460	522	106	245	270					
		68.09%	80.77%	79.02%	71.08%	68.28%	74.27%	67.56%	72.17%	67.17%	67.70%	63.65%	67.96%	68.98%	62.10%	72.46%	73.72%	68.35%	70.08%	73.66%	75.04%	73.31%	75.70%	58.74%	62.18%	64.08%	61.76%	56.65%	60.56%	53.54%	71.22%	52.33%					
22	. Хакамада Ирина Муцуовна	480	12	4	28	22	27	10	39	17	28	9	8	31	31	20	8	10	12	11	24	5	2	5	12	18	19	15	27	3	4	19					
		2.41%	1.36%	0.81%	3.37%	2.87%	2.40%	1.68%	3.02%	1.70%	3.78%	1.69%	1.94%	3.03%	3.57%	2.99%	1.03%	2.80%	1.55%	2.96%	3.57%	1.61%	1.87%	1.05%	1.95%	2.45%	2.61%	1.85%	3.13%	1.52%	1.16%	3.68%					
23	. Харитонов Николай Михайлович	2784	72	42	95	91	93	73	143	193	88	102	40	122	140	100	91	44	122	28	62	25	13	87	106	128	141	170	162	40	51	120					
		14.00%	8.14%	8.55%	11.45%	11.88%	8.28%	12.27%	11.09%	19.26%	11.89%	19.21%	9.71%	11.94%	16.13%	14.97%	11.67%	12.32%	15.80%	7.53%	9.21%	8.04%	12.15%	18.32%	17.21%	17.41%	19.39%	20.94%	18.79%	20.20%	14.83%	23.26%					
																																					
24	Против всех	894	16	14	38	49	65	26	53	27	41	31	27	46	58	20	26	24	26	12	32	18	2	21	28	25	28	36	55	17	12	21					
		4.50%	1.81%	2.85%	4.58%	6.40%	5.79%	4.37%	4.11%	2.69%	5.54%	5.84%	6.55%	4.50%	6.68%	2.99%	3.33%	6.72%	3.37%	3.23%	4.75%	5.79%	1.87%	4.42%	4.55%	3.40%	3.85%	4.43%	6.38%	8.59%	3.49%	4.07%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
