Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Псковская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31872	1051	1030	2082	608	2680	404	225	479	751	822	477	436	418	1495	1118	1259	1686	1162	476	722	383	366	116	930	740	105	855	313	320	1370	1232	246	337	2601	550	1303	557	167									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26750	750	800	1800	500	2500	350	200	400	600	700	400	400	400	1200	900	1000	1350	950	400	600	300	300	100	700	600	100	650	250	250	1200	1000	200	250	2500	450	1100	450	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10138	223	392	711	203	1032	73	58	118	108	262	62	115	61	517	308	580	608	283	124	126	93	99	35	252	198	30	212	84	97	479	305	74	52	1436	167	372	114	75									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2621	155	32	33	38	5	80	48	74	168	65	182	47	73	31	149	24	14	72	91	143	83	51	30	94	51	42	107	49	35	71	102	32	73	27	65	111	39	35									
6	Число погашенных избирательных бюллетеней	13991	372	376	1056	259	1463	197	94	208	324	373	156	238	266	652	443	396	728	595	185	331	124	150	35	354	351	28	331	117	118	650	593	94	125	1037	218	617	297	40									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2621	155	32	33	38	5	80	48	74	168	65	182	47	73	31	149	24	14	72	91	143	83	51	30	94	51	42	107	49	35	71	102	32	73	27	65	111	39	35									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10128	223	392	711	203	1032	73	58	118	108	262	62	115	61	517	308	580	608	283	124	126	93	99	35	252	198	30	212	84	97	479	305	74	52	1426	167	372	114	75									
9	Число недействительных избирательных бюллетеней	215	8	12	17	3	13	1	0	3	1	5	2	5	0	6	5	8	16	4	1	0	1	4	0	2	3	0	8	3	2	16	9	3	1	28	5	15	5	0									
10	Число действительных избирательных бюллетеней	12534	370	412	727	238	1024	152	106	189	275	322	242	157	134	542	452	596	606	351	214	269	175	146	65	344	246	72	311	130	130	534	398	103	124	1425	227	468	148	110									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1140	10	40	60	20	80	15	10	20	30	30	20	20	20	50	50	50	70	50	20	30	15	15	5	40	30	5	30	10	10	60	50	10	10	60	20	50	20	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	151	1	3	12	1	30	0	0	0	4	1	0	4	0	5	0	6	5	1	0	3	1	0	0	1	6	0	2	0	0	2	4	0	0	55	2	2	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	105	7	7	1	8	12	3	0	1	0	5	0	1	1	5	4	3	2	0	3	2	2	2	1	1	2	2	2	4	0	1	0	0	7	9	3	2	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	989	9	37	48	19	50	15	10	20	26	29	20	16	20	45	50	44	65	49	20	27	14	15	5	39	24	5	28	10	10	58	46	10	10	5	18	48	20	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	46	0	0	5	1	18	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	11	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	180	5	7	18	4	23	1	2	2	9	4	1	1	2	8	6	9	8	3	1	5	1	1	1	5	1	1	4	3	2	7	7	0	2	17	0	7	1	1									
		1.41%	1.32%	1.65%	2.42%	1.66%	2.22%	0.65%	1.89%	1.04%	3.26%	1.22%	0.41%	0.62%	1.49%	1.46%	1.31%	1.49%	1.29%	0.85%	0.47%	1.86%	0.57%	0.67%	1.54%	1.45%	0.40%	1.39%	1.25%	2.26%	1.52%	1.27%	1.72%	0.00%	1.60%	1.17%	0.00%	1.45%	0.65%	0.91%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	270	5	14	9	6	23	3	1	3	1	8	3	3	2	14	10	22	13	10	1	9	2	4	0	12	6	2	11	4	3	13	8	4	6	18	3	10	3	1									
		2.12%	1.32%	3.30%	1.21%	2.49%	2.22%	1.96%	0.94%	1.56%	0.36%	2.45%	1.23%	1.85%	1.49%	2.55%	2.19%	3.64%	2.09%	2.82%	0.47%	3.35%	1.14%	2.67%	0.00%	3.47%	2.41%	2.78%	3.45%	3.01%	2.27%	2.36%	1.97%	3.77%	4.80%	1.24%	1.29%	2.07%	1.96%	0.91%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	208	5	7	14	5	13	0	0	3	10	6	3	1	1	5	9	17	12	3	4	5	4	4	0	6	3	1	6	3	5	8	16	2	3	10	3	3	4	4									
		1.63%	1.32%	1.65%	1.88%	2.07%	1.25%	0.00%	0.00%	1.56%	3.62%	1.83%	1.23%	0.62%	0.75%	0.91%	1.97%	2.81%	1.93%	0.85%	1.86%	1.86%	2.27%	2.67%	0.00%	1.73%	1.20%	1.39%	1.88%	2.26%	3.79%	1.45%	3.93%	1.89%	2.40%	0.69%	1.29%	0.62%	2.61%	3.64%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6436	163	151	308	112	472	85	61	88	154	190	142	74	75	273	233	217	266	173	129	134	105	83	39	176	138	43	156	69	88	268	190	68	65	916	120	258	81	73									
		50.48%	43.12%	35.61%	41.40%	46.47%	45.52%	55.56%	57.55%	45.83%	55.80%	58.10%	58.20%	45.68%	55.97%	49.82%	50.98%	35.93%	42.77%	48.73%	60.00%	49.81%	59.66%	55.33%	60.00%	50.87%	55.42%	59.72%	48.90%	51.88%	66.67%	48.73%	46.68%	64.15%	52.00%	63.04%	51.72%	53.42%	52.94%	66.36%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	80	1	7	8	1	11	0	0	0	2	1	0	0	1	1	0	4	4	6	0	1	0	1	0	1	2	1	0	0	1	6	9	0	0	8	0	2	1	0									
		0.63%	0.26%	1.65%	1.08%	0.41%	1.06%	0.00%	0.00%	0.00%	0.72%	0.31%	0.00%	0.00%	0.75%	0.18%	0.00%	0.66%	0.64%	1.69%	0.00%	0.37%	0.00%	0.67%	0.00%	0.29%	0.80%	1.39%	0.00%	0.00%	0.76%	1.09%	2.21%	0.00%	0.00%	0.55%	0.00%	0.41%	0.65%	0.00%									
