Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
Наименование Избирательной комиссии:    Онгудайская  																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК  69	УИК  70	УИК  71	УИК  72	УИК  73	УИК  74	УИК  75	УИК  76	УИК  77	УИК  78	УИК  79	УИК  80	УИК  81	УИК  82	УИК  83	УИК  84	УИК  85	УИК  86	УИК  87	УИК  88	УИК  89	УИК  90	УИК  91	УИК  92	УИК  93	УИК  94					
1	"Число избирателей, внесенных в списки"	10499	198	152	191	487	176	169	423	260	227	1798	1875	530	365	543	209	228	387	245	59	99	267	460	201	181	605	164					
2	"Число бюллетеней, полученных участковыми комиссиями"	10219	193	152	185	484	173	166	421	257	224	1751	1743	523	362	537	205	226	390	240	59	94	259	456	200	172	593	154					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6574	113	97	126	294	130	137	266	179	159	963	975	314	236	322	181	178	305	162	48	84	200	294	139	125	421	126					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	391	26	0	2	25	4	0	25	12	1	56	55	42	11	33	8	1	12	12	4	0	8	24	3	6	15	6					
6	Число погашенных бюллетеней	3254	54	55	57	165	39	29	130	66	64	732	713	167	115	182	16	47	73	66	7	10	51	138	58	41	157	22					
7	Число бюллетеней в переносных ящиках для голосования	391	26	0	2	25	4	0	25	12	1	56	55	42	11	33	8	1	12	12	4	0	8	24	3	6	15	6					
8	Число бюллетеней в стационарных ящиках для голосования	6574	113	97	126	294	130	137	266	179	159	963	975	314	236	322	181	178	305	162	48	84	200	294	139	125	421	126					
9	Число недействительных бюллетеней	194	6	0	3	8	3	5	15	2	3	22	24	14	14	9	6	4	9	8	1	10	5	9	6	2	6	0					
10	Число действительных бюллетеней	6771	133	97	125	311	131	132	276	189	157	997	1006	342	233	346	183	175	308	166	51	74	203	309	136	129	430	132					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	150	5	5	3	6	3	5	6	3	5	25	17	0	5	6	3	0	11	5	3	3	5	6	5	4	6	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	72	3	0	0	1	0	1	1	0	3	21	11	0	2	2	0	0	11	0	0	0	0	6	0	0	6	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	34	2	1	0	4	1	0	1	1	1	2	5	0	0	0	0	1	1	0	1	0	2	1	3	2	5	0					
14	Число погашенных открепительных удостоверений	78	2	5	3	5	3	4	5	3	2	4	6	0	3	4	3	0	0	5	3	3	5	0	5	4	0	1					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	"1. ""ЕДИНЕНИЕ"""	121	2	0	9	7	2	5	9	4	3	12	9	7	3	7	1	3	5	3	2	2	6	3	2	8	7	0					
		1.73%	1.43%	0.0%	7.03%	2.19%	1.49%	3.64%	3.09%	2.09%	1.87%	1.17%	0.87%	1.96%	1.21%	1.97%	0.52%	1.67%	1.57%	1.72%	3.84%	2.38%	2.88%	0.94%	1.40%	6.10%	1.60%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	63	1	0	0	3	1	1	2	2	0	23	22	1	0	0	0	1	3	1	0	0	1	1	0	0	0	0					
		0.90%	0.71%	0.0%	0.0%	0.94%	0.74%	0.72%	0.68%	1.04%	0.0%	2.25%	2.13%	0.28%	0.0%	0.0%	0.0%	0.55%	0.94%	0.57%	0.0%	0.0%	0.48%	0.31%	0.0%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	71	0	0	2	3	1	2	1	0	3	13	16	1	1	5	1	3	4	2	0	1	1	3	0	3	5	0					
		1.01%	0.0%	0.0%	1.56%	0.94%	0.74%	1.45%	0.34%	0.0%	1.87%	1.27%	1.55%	0.28%	0.40%	1.40%	0.52%	1.67%	1.26%	1.14%	0.0%	1.19%	0.48%	0.94%	0.0%	2.29%	1.14%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	67	1	0	0	0	0	0	0	0	0	21	28	3	1	3	0	0	0	0	0	0	2	8	0	0	0	0					
		0.96%	0.71%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.06%	2.71%	0.84%	0.40%	0.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.96%	2.51%	0.0%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	6	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0					
		0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.40%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	7	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0					
