Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																															
Дата голосования: 04.12.2011																																																															
																																																															
"Наименование Избирательной комиссии:    Воронеж, Железнодорожная"																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956					
1	"Число избирателей, внесенных в список избирателей"	108450	2022	1574	2275	1710	1617	1844	1465	1515	1388	2364	1446	2331	2048	2462	2488	1470	1665	2036	2187	2434	2076	1927	1742	1905	1994	1516	1804	1872	1711	1598	2019	2050	1968	1960	2080	2240	2054	2038	1807	1909	2001	2308	2184	2118	1661	2313	2174	1517	1518	2030	2099	1732	1628	1603	2697	2256					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	87700	1600	1500	1800	1400	1500	1500	1200	1200	1300	2000	1300	1900	1800	2000	2000	1200	1300	1600	1700	2000	1700	1600	1400	1500	1600	1200	1400	1500	1400	1300	1600	1600	1600	1600	1700	1800	1600	1600	1500	1500	1600	1800	1700	1700	1300	1800	1700	1200	1200	1600	1700	1400	1300	1300	2100	1800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	53503	934	734	1071	836	1076	970	768	772	871	1446	948	1246	1276	1280	1318	767	918	1033	1164	1255	1202	989	963	950	920	827	941	873	702	723	987	1009	949	957	989	1170	959	951	826	868	910	987	1040	938	845	868	824	692	603	819	965	782	600	579	1355	1258					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1988	16	8	41	22	8	19	11	18	9	25	45	8	17	37	4	14	9	25	25	20	17	37	18	13	11	15	11	23	12	15	19	14	12	9	14	20	34	20	38	51	40	40	12	30	13	104	151	95	81	67	59	146	201	118	41	6					
6	Число погашенных избирательных бюллетеней	32209	650	758	688	542	416	511	421	410	420	529	307	646	507	683	678	419	373	542	511	725	481	574	419	537	669	358	448	604	686	562	594	577	639	634	697	610	607	629	636	581	650	773	648	732	442	828	725	413	516	714	676	472	499	603	704	536					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1988	16	8	41	22	8	19	11	18	9	25	45	8	17	37	4	14	9	25	25	20	17	37	18	13	11	15	11	23	12	15	19	14	12	9	14	20	34	20	38	51	40	40	12	30	13	104	151	95	81	67	59	146	201	118	41	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	53484	934	734	1071	836	1076	970	768	772	871	1446	948	1246	1276	1279	1317	765	918	1033	1163	1255	1200	989	963	950	919	826	941	870	702	723	987	1009	949	957	989	1169	959	951	826	868	908	987	1040	938	845	868	824	692	602	819	965	782	600	579	1353	1257					
9	Число недействительных избирательных бюллетеней	727	7	10	13	13	9	6	6	15	8	19	9	14	24	14	10	13	12	19	23	14	17	5	16	15	18	8	7	4	7	9	13	18	13	11	18	19	7	16	15	18	12	15	15	12	13	18	13	17	8	16	15	13	11	3	17	17					
10	Число действительных избирательных бюллетеней	54745	943	732	1099	845	1075	983	773	775	872	1452	984	1240	1269	1302	1311	766	915	1039	1165	1261	1200	1021	965	948	912	833	945	889	707	729	993	1005	948	955	985	1170	986	955	849	901	936	1012	1037	956	845	954	962	770	675	870	1009	915	790	694	1377	1246					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2020	57	37	60	44	50	30	30	26	80	65	40	47	34	30	52	35	35	35	45	43	45	35	33	40	40	38	25	45	30	32	23	40	33	36	48	38	35	32	30	23	25	25	23	29	30	30	20	23	20	28	30	16	15	17	55	58					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1751	37	28	57	41	42	22	27	23	76	59	30	39	31	30	47	31	34	31	41	39	36	33	29	34	30	31	23	29	30	29	18	33	29	32	45	34	29	25	22	20	17	24	20	29	30	25	13	18	16	27	29	14	11	15	49	58					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1040	28	31	25	16	8	16	11	8	15	18	15	37	31	16	23	13	23	21	23	14	17	12	19	43	21	17	22	15	15	11	12	10	23	20	28	24	9	7	6	11	19	22	24	16	14	14	8	26	17	18	16	19	10	2	22	59					
14	Число погашенных неиспользованных открепительных удостоверений	269	20	9	3	3	8	8	3	3	4	6	10	8	3	0	5	4	1	4	4	4	9	2	4	6	10	7	2	16	0	3	5	7	4	4	3	4	6	7	8	3	8	1	3	0	0	5	7	5	4	1	1	2	4	2	6	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	106	0	0	0	0	0	0	0	1	32	1	52	0	4	0	0	2	1	1	0	1	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	9242	151	103	169	152	162	205	143	144	111	180	120	156	184	221	195	112	158	171	228	238	212	192	160	190	173	168	171	183	121	134	210	192	181	155	157	211	172	141	130	143	143	173	214	164	151	171	164	146	106	170	180	125	92	106	230	208					
		16.66%	15.89%	13.88%	15.20%	17.72%	14.94%	20.73%	18.36%	18.23%	12.61%	12.24%	12.08%	12.44%	14.23%	16.79%	14.76%	14.38%	17.04%	16.16%	19.19%	18.67%	17.42%	18.71%	16.31%	19.73%	18.60%	19.98%	17.96%	20.49%	16.95%	18.16%	20.87%	18.77%	18.83%	16.05%	15.65%	17.75%	17.32%	14.52%	15.05%	15.56%	15.08%	16.85%	20.34%	16.94%	17.60%	17.59%	16.82%	18.55%	15.52%	19.19%	17.58%	13.47%	11.49%	15.21%	16.50%	16.47%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	6624	137	110	126	119	145	90	88	74	97	179	179	126	136	162	176	94	107	88	113	143	132	103	95	111	125	84	76	92	105	85	129	119	112	135	158	145	125	136	108	131	142	134	146	121	89	128	114	101	75	80	108	105	77	70	185	154					
		11.94%	14.42%	14.82%	11.33%	13.87%	13.38%	9.10%	11.30%	9.37%	11.02%	12.17%	18.03%	10.05%	10.52%	12.31%	13.32%	12.07%	11.54%	8.32%	9.51%	11.22%	10.85%	10.04%	9.68%	11.53%	13.44%	9.99%	7.98%	10.30%	14.71%	11.52%	12.82%	11.63%	11.65%	13.98%	15.75%	12.20%	12.59%	14.01%	12.50%	14.25%	14.98%	13.05%	13.88%	12.50%	10.37%	13.17%	11.69%	12.83%	10.98%	9.03%	10.55%	11.31%	9.61%	10.04%	13.27%	12.19%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	695	8	15	15	11	16	15	10	10	10	20	10	12	23	18	23	18	10	12	21	24	12	12	10	10	2	13	13	11	4	4	10	13	9	10	11	20	10	10	5	11	11	12	25	10	20	11	4	6	5	13	10	7	8	7	17	28					
		1.25%	0.84%	2.02%	1.35%	1.28%	1.48%	1.52%	1.28%	1.27%	1.14%	1.36%	1.01%	0.96%	1.78%	1.37%	1.74%	2.31%	1.08%	1.13%	1.77%	1.88%	0.99%	1.17%	1.02%	1.04%	0.22%	1.55%	1.37%	1.23%	0.56%	0.54%	0.99%	1.27%	0.94%	1.04%	1.10%	1.68%	1.01%	1.03%	0.58%	1.20%	1.16%	1.17%	2.38%	1.03%	2.33%	1.13%	0.41%	0.76%	0.73%	1.47%	0.98%	0.75%	0.99%	1.00%	1.22%	2.22%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	17581	325	222	393	300	321	350	264	271	255	458	263	452	370	341	485	275	357	370	415	422	409	362	342	328	292	297	330	278	214	265	310	318	344	321	291	421	305	328	278	274	293	341	300	327	291	267	239	207	216	246	322	180	210	183	389	354					
		31.69%	34.21%	29.92%	35.34%	34.97%	29.61%	35.39%	33.89%	34.30%	28.98%	31.14%	26.49%	36.04%	28.62%	25.91%	36.71%	35.30%	38.51%	34.97%	34.93%	33.10%	33.61%	35.28%	34.86%	34.06%	31.40%	35.32%	34.66%	31.13%	29.97%	35.91%	30.82%	31.09%	35.80%	33.23%	29.01%	35.41%	30.72%	33.78%	32.18%	29.82%	30.91%	33.20%	28.52%	33.78%	33.92%	27.47%	24.51%	26.30%	31.63%	27.77%	31.45%	19.40%	26.22%	26.26%	27.91%	28.03%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2206	34	25	41	42	41	47	39	47	20	50	26	63	52	60	43	37	34	52	56	47	52	57	50	42	49	35	58	37	23	33	38	42	30	39	38	33	47	31	18	21	32	33	40	33	32	38	29	46	23	49	44	21	15	11	58	73					
		3.98%	3.58%	3.37%	3.69%	4.90%	3.78%	4.75%	5.01%	5.95%	2.27%	3.40%	2.62%	5.02%	4.02%	4.56%	3.26%	4.75%	3.67%	4.91%	4.71%	3.69%	4.27%	5.56%	5.10%	4.36%	5.27%	4.16%	6.09%	4.14%	3.22%	4.47%	3.78%	4.11%	3.12%	4.04%	3.79%	2.78%	4.73%	3.19%	2.08%	2.29%	3.38%	3.21%	3.80%	3.41%	3.73%	3.91%	2.97%	5.84%	3.37%	5.53%	4.30%	2.26%	1.87%	1.58%	4.16%	5.78%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18072	284	250	350	218	384	272	223	224	366	553	379	422	499	495	378	226	243	335	326	376	373	289	302	263	267	232	289	282	238	205	291	317	262	286	325	337	325	302	307	318	311	311	306	299	258	337	410	260	242	308	336	467	388	313	488	425					
		32.58%	29.89%	33.69%	31.47%	25.41%	35.42%	27.50%	28.63%	28.35%	41.59%	37.59%	38.17%	33.65%	38.59%	37.61%	28.61%	29.01%	26.21%	31.66%	27.44%	29.49%	30.65%	28.17%	30.78%	27.31%	28.71%	27.59%	30.36%	31.58%	33.33%	27.78%	28.93%	30.99%	27.26%	29.61%	32.40%	28.34%	32.73%	31.10%	35.53%	34.60%	32.81%	30.28%	29.09%	30.89%	30.07%	34.67%	42.05%	33.04%	35.43%	34.76%	32.81%	50.32%	48.44%	44.91%	35.01%	33.65%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	325	4	7	5	3	6	4	6	5	13	12	7	9	5	5	11	4	6	11	6	11	10	6	6	4	4	4	8	6	2	3	5	4	10	9	5	3	2	7	3	3	4	8	6	2	4	2	2	4	8	4	9	10	0	4	10	4					
		0.59%	0.42%	0.94%	0.45%	0.35%	0.55%	0.40%	0.77%	0.63%	1.48%	0.82%	0.70%	0.72%	0.39%	0.38%	0.83%	0.51%	0.65%	1.04%	0.51%	0.86%	0.82%	0.58%	0.61%	0.42%	0.43%	0.48%	0.84%	0.67%	0.28%	0.41%	0.50%	0.39%	1.04%	0.93%	0.50%	0.25%	0.20%	0.72%	0.35%	0.33%	0.42%	0.78%	0.57%	0.21%	0.47%	0.21%	0.21%	0.51%	1.17%	0.45%	0.88%	1.08%	0.00%	0.57%	0.72%	0.32%					
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
