Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																													
Дата голосования: 02.12.2007																																																													
																																																													
"Наименование Избирательной комиссии:    Воронеж, Железнодорожная"																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954					
1	"Число избирателей, внесенных в списки избирателей"	108055	2045	1305	2377	2291	1817	1931	2318	2029	1703	2402	1989	2426	1741	2238	2005	1561	1886	1528	2158	2277	2637	1752	2290	2274	1919	1775	1745	1987	1800	1922	2066	2088	2009	2099	2027	2276	2245	2190	1841	1936	1989	2816	1890	1760	1584	2438	2175	2082	1016	2109	2176	1698	1694	1723					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	79900	1500	950	1700	1700	1400	1400	1700	1500	1500	1700	1600	1700	1300	1600	1400	1100	1400	1200	1600	1700	2000	1300	1700	1700	1400	1300	1300	1500	1300	1400	1500	1600	1500	1500	1500	1700	1700	1600	1400	1400	1500	2100	1400	1300	1200	1800	1600	1500	750	1500	1600	1200	1200	1300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	59215	1076	559	1241	1142	1292	1156	1292	1140	1225	1503	1414	1406	998	1227	1189	916	1101	923	1297	1334	1631	1082	1286	1276	1099	1072	1048	999	932	1004	1194	1227	1135	1232	1125	1262	1208	1163	879	952	1036	1327	1048	908	903	1043	962	972	528	955	1101	655	832	708					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2539	39	16	55	34	32	23	29	33	27	41	109	11	40	45	32	23	39	29	32	20	30	29	23	20	22	38	31	37	28	40	23	26	16	27	37	31	50	41	64	67	61	88	34	50	18	83	88	119	54	82	50	170	114	139					
6	Число погашенных избирательных бюллетеней	18146	385	375	404	524	76	221	379	327	248	156	77	283	262	328	179	161	260	248	271	346	339	189	391	404	279	190	221	464	340	356	283	347	349	241	338	407	442	396	457	381	403	685	318	342	279	674	550	409	168	463	449	375	254	453					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2539	39	16	55	34	32	23	29	33	27	41	109	11	40	45	32	23	39	29	32	20	30	29	23	20	22	38	31	37	28	40	23	26	16	27	37	31	50	41	64	67	61	88	34	50	18	83	88	119	54	82	50	170	114	139					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	59195	1076	559	1240	1142	1292	1156	1292	1140	1225	1501	1414	1404	998	1227	1187	913	1101	922	1294	1334	1631	1082	1283	1276	1099	1072	1047	999	931	1004	1194	1227	1135	1232	1125	1262	1208	1163	879	952	1036	1327	1048	907	903	1043	962	972	528	955	1101	655	832	708					
9	Число недействительных избирательных бюллетеней	686	10	8	9	12	7	13	18	14	15	17	18	20	17	11	12	9	19	8	24	12	13	14	11	14	11	13	11	7	13	5	13	20	8	17	18	14	15	11	12	11	10	16	21	12	16	9	14	13	4	13	15	3	3	13					
10	Число действительных избирательных бюллетеней	61048	1105	567	1286	1164	1317	1166	1303	1159	1237	1525	1505	1395	1021	1261	1207	927	1121	943	1302	1342	1648	1097	1295	1282	1110	1097	1067	1029	946	1039	1204	1233	1143	1242	1144	1279	1243	1193	931	1008	1087	1399	1061	945	905	1117	1036	1078	578	1024	1136	822	943	834					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1480	32	27	38	45	29	27	34	26	13	29	17	37	30	15	18	24	154	14	32	24	39	30	40	31	28	31	30	25	84	33	23	22	17	22	18	38	30	19	15	15	15	20	22	18	20	11	22	19	12	18	18	12	10	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1171	32	23	36	41	29	26	33	24	11	25	12	29	28	12	17	24	22	14	29	22	37	25	38	27	26	28	28	25	18	28	20	20	13	21	16	38	27	18	13	12	13	20	22	13	20	11	22	16	10	18	15	10	7	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	806	24	12	16	15	14	15	9	24	2	11	10	27	24	18	57	39	25	10	14	13	15	10	17	12	11	3	15	8	21	14	12	15	11	11	22	12	11	12	6	8	13	16	24	12	21	5	7	7	16	10	20	11	7	12					
