Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Томская																																																																																									
																																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																									
																																																																																									
		Сумма	УИК №369	УИК №370	УИК №387	УИК №388	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670					
1	"Число избирателей, внесенных в списки"	61658	123	50	77	1308	1282	66	195	312	391	238	98	688	1047	117	762	375	1314	1215	1660	1522	2461	2420	404	1265	598	142	609	212	884	234	219	182	763	139	440	287	1402	808	525	2002	700	787	897	1556	1193	147	1534	875	682	418	299	283	309	1268	126	152	166	958	378	224	907	1215	1287	140	552	785	478	808	285	262	429	1465	1302	2431	830	2569	1196	161	442	619	220	1487					
2	"Число бюллетеней, полученных участковыми комиссиями"	62010	125	52	77	1306	1355	67	198	314	369	234	96	689	1068	154	772	371	1334	1223	1651	1534	2464	2413	412	1311	582	131	603	213	888	231	218	179	761	127	450	299	1402	818	522	2020	712	796	884	1473	1228	147	1552	888	684	402	296	282	310	1287	123	148	180	939	372	222	908	1223	1325	141	550	792	483	817	280	257	431	1455	1315	2472	885	2562	1165	148	441	605	210	1587					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	33160	80	43	58	592	681	62	133	191	257	133	84	366	471	92	334	246	757	781	705	1005	1178	1183	255	640	351	102	309	116	437	128	123	102	438	103	313	189	692	456	299	1148	357	413	489	746	535	90	753	438	292	218	170	191	180	753	81	95	116	505	243	133	478	723	689	77	278	531	292	564	152	145	181	758	566	1201	387	1364	607	132	297	341	159	807					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2972	16	3	0	4	80	0	8	11	32	44	5	37	222	0	91	17	57	38	66	31	26	16	9	38	19	0	50	0	74	49	23	20	48	7	37	10	32	12	18	38	29	13	78	148	86	17	63	45	50	25	8	7	22	63	13	15	14	14	59	10	53	40	93	10	107	68	20	21	35	25	41	37	60	80	25	7	45	0	28	10	27	73					
6	Число погашенных бюллетеней	25878	29	6	19	710	594	5	57	112	80	57	7	286	375	62	347	108	520	404	880	498	1260	1214	148	633	212	29	244	97	377	54	72	57	275	17	100	100	678	350	205	834	326	370	317	579	607	40	736	405	342	159	118	84	108	471	29	38	50	420	70	79	377	460	543	54	165	193	171	232	93	87	209	660	689	1191	473	1191	513	16	116	254	24	707					
7	Число бюллетеней в переносных ящиках для голосования	2972	16	3	0	4	80	0	8	11	32	44	5	37	222	0	91	17	57	38	66	31	26	16	9	38	19	0	50	0	74	49	23	20	48	7	37	10	32	12	18	38	29	13	78	148	86	17	63	45	50	25	8	7	22	63	13	15	14	14	59	10	53	40	93	10	107	68	20	21	35	25	41	37	60	80	25	7	45	0	28	10	27	73					
8	Число бюллетеней в стационарных ящиках для голосования	33152	80	43	58	592	681	62	133	191	257	133	84	366	471	92	334	246	756	781	705	1004	1177	1182	255	640	351	102	309	116	437	127	123	102	437	103	313	189	692	456	299	1148	357	413	489	746	535	90	753	438	292	218	169	191	180	753	81	95	116	505	243	133	478	723	689	77	278	531	292	564	152	145	181	758	566	1201	387	1363	607	132	297	341	159	807					
9	Число недействительных бюллетеней	586	0	0	0	5	7	0	1	3	3	6	2	10	29	0	2	1	18	14	16	18	16	17	6	7	6	0	3	0	2	1	5	0	6	5	1	5	20	18	5	12	9	9	17	19	11	0	12	7	9	4	3	0	7	11	7	0	0	17	0	4	8	10	18	0	11	6	14	4	0	5	5	7	5	13	1	18	11	1	12	0	0	21					
10	Число действительных бюллетеней	35538	96	46	58	591	754	62	140	199	286	171	87	393	664	92	423	262	795	805	755	1017	1187	1181	258	671	364	102	356	116	509	175	141	122	479	105	349	194	704	450	312	1174	377	417	550	875	610	107	804	476	333	239	174	198	195	805	87	110	130	502	302	139	523	753	764	87	374	593	298	581	187	165	217	788	621	1268	411	1352	641	131	313	351	186	859					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1317	15	10	15	10	15	10	10	10	15	15	15	10	10	10	30	15	15	22	30	30	50	30	15	15	15	10	15	10	30	10	10	10	15	15	15	10	15	10	10	25	15	10	25	35	10	10	30	15	25	10	10	10	10	25	10	10	10	20	10	10	30	30	15	15	15	15	15	15	15	10	10	15	10	35	15	35	10	10	10	10	10	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	375	0	0	0	9	13	0	0	3	3	1	4	6	3	0	11	0	15	22	7	16	24	13	4	5	5	1	2	0	2	0	1	0	0	0	1	0	4	0	0	8	0	2	9	6	3	0	6	4	17	1	1	0	4	25	3	0	1	8	0	2	3	11	11	0	0	6	7	11	4	1	3	5	4	0	3	10	7	0	1	0	0	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	366	3	0	2	2	7	6	2	3	18	3	4	7	8	0	2	3	7	10	4	4	5	9	1	0	3	4	1	1	3	3	3	3	6	7	4	1	5	3	1	4	1	1	7	18	7	1	4	5	5	3	3	3	3	4	10	3	0	5	0	4	1	6	5	2	2	2	4	1	2	2	1	6	11	5	5	4	26	18	0	3	4	7					
14	Число погашенных открепительных удостоверений	942	15	10	15	1	2	10	10	7	12	14	11	4	7	10	19	15	0	0	23	14	26	17	11	10	10	9	13	10	28	10	9	10	15	15	14	10	11	10	10	17	15	8	16	29	7	10	24	11	8	9	9	10	6	0	7	10	9	12	10	8	27	19	4	15	15	9	8	4	11	9	7	10	6	35	12	25	3	10	9	10	10	2					
