Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
Наименование Избирательной комиссии:    Куртамышская																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК  562					
1	"Число избирателей, внесенных в списки"	27441	1916	1717	1139	732	1186	1342	1793	943	1056	1406	453	402	164	638	609	166	319	131	269	116	382	130	131	661	146	67	169	569	62	325	89	47	352	207	173	213	586	82	336	105	929	358	199	270	446	115	176	463	655	214	101	99	596	860	108	121	136	140	87	39					
2	"Число бюллетеней, полученных участковыми комиссиями"	27390	1850	1650	1100	700	1250	1200	1750	900	1050	1350	413	369	172	685	600	170	320	135	450	115	400	135	135	670	150	70	170	570	70	320	100	55	340	200	175	210	600	100	340	110	1000	350	201	270	450	120	300	440	650	190	101	108	600	800	110	120	140	145	92	54					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15762	965	879	558	395	587	630	916	486	702	620	292	190	125	405	334	103	191	81	245	79	258	73	86	325	90	44	116	293	38	232	63	37	271	155	119	124	352	77	231	76	523	193	135	175	317	87	153	270	410	137	64	76	388	514	85	87	84	110	74	37					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1478	38	36	26	16	36	79	50	28	19	38	40	71	7	46	28	9	20	15	24	11	23	9	16	17	3	5	11	47	15	9	4	4	32	20	27	31	29	4	8	7	91	53	25	24	34	8	23	72	25	21	23	5	15	75	0	7	17	0	0	2					
6	Число погашенных бюллетеней	10150	847	735	516	289	627	491	784	386	329	692	81	108	40	234	238	58	109	39	181	25	119	53	33	328	57	21	43	230	17	79	33	14	37	25	29	55	219	19	101	27	386	104	41	71	99	25	124	98	215	32	14	27	197	211	25	26	39	35	18	15					
7	Число бюллетеней в переносных ящиках для голосования	1478	38	36	26	16	36	79	50	28	19	38	40	71	7	46	28	9	20	15	24	11	23	9	16	17	3	5	11	47	15	9	4	4	32	20	27	31	29	4	8	7	91	53	25	24	34	8	23	72	25	21	23	5	15	75	0	7	17	0	0	2					
8	Число бюллетеней в стационарных ящиках для голосования	15760	965	879	557	395	587	630	916	486	702	620	292	190	125	405	334	103	191	81	245	79	258	73	86	325	90	44	116	293	38	232	63	37	271	155	119	124	352	77	231	76	522	193	135	175	317	87	153	270	410	137	64	76	388	514	85	87	84	110	74	37					
9	Число недействительных бюллетеней	205	7	11	2	4	9	0	6	8	6	3	5	1	2	4	1	0	6	0	9	2	5	1	2	4	1	1	0	8	1	0	0	0	6	3	3	3	4	2	4	0	12	5	4	3	0	1	1	8	7	0	2	1	3	6	0	2	9	4	0	3					
10	Число действительных бюллетеней	17033	996	904	581	407	614	709	960	506	715	655	327	260	130	447	361	112	205	96	260	88	276	81	100	338	92	48	127	332	52	241	67	41	297	172	143	152	377	79	235	83	601	241	156	196	351	94	175	334	428	158	85	80	400	583	85	92	92	106	74	36					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	541	20	20	15	10	80	20	20	10	15	20	5	5	5	10	10	5	5	5	5	5	5	5	5	10	5	5	5	10	5	5	5	3	5	5	5	5	10	5	7	5	15	7	5	7	10	5	7	7	10	5	5	5	10	10	5	5	5	5	5	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	88	10	2	2	5	2	6	4	5	5	3	4	0	0	4	2	0	4	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	4	0	0	0	2	3	0	0	2	0	2	2	1	1	0	2	0	0	0	2	3	2	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	69	5	2	6	1	3	5	2	5	1	3	2	2	0	1	1	0	1	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	1	2	3	0	0	0	3	0	0	2	3	0	0	1	0	0	1	1	0	3	0	1	0	0	0	0					
14	Число погашенных открепительных удостоверений	453	10	18	13	5	78	14	16	5	10	17	1	5	5	6	8	5	1	5	5	5	4	5	4	9	5	5	5	10	5	4	5	3	1	5	5	5	8	2	7	5	13	7	3	5	9	4	7	5	10	5	5	3	7	8	5	5	5	5	5	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																			
18	"1. ""ЕДИНЕНИЕ"""	155	5	5	3	0	2	9	9	3	3	3	2	5	4	6	4	1	1	1	5	0	4	0	0	0	0	0	3	1	0	6	0	4	2	3	0	1	2	0	3	1	4	2	2	3	2	1	0	3	3	2	0	0	8	4	0	4	3	0	13	0					
		0.89%	0.49%	0.54%	0.51%	0.0%	0.32%	1.26%	0.93%	0.58%	0.41%	0.45%	0.60%	1.91%	3.03%	1.33%	1.10%	0.89%	0.47%	1.04%	1.85%	0.0%	1.42%	0.0%	0.0%	0.0%	0.0%	0.0%	2.36%	0.29%	0.0%	2.48%	0.0%	9.75%	0.66%	1.71%	0.0%	0.64%	0.52%	0.0%	1.25%	1.20%	0.65%	0.81%	1.25%	1.50%	0.56%	1.05%	0.0%	0.87%	0.68%	1.26%	0.0%	0.0%	1.98%	0.67%	0.0%	4.25%	2.97%	0.0%	17.56%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	84	3	2	4	0	2	4	9	2	4	3	2	1	0	0	1	0	2	0	6	0	2	0	2	0	2	0	1	1	0	0	0	1	0	0	1	3	0	0	2	0	2	0	2	1	3	0	1	3	1	1	0	3	5	2	0	0	0	0	0	0					
		0.48%	0.29%	0.21%	0.68%	0.0%	0.32%	0.56%	0.93%	0.38%	0.55%	0.45%	0.60%	0.38%	0.0%	0.0%	0.27%	0.0%	0.94%	0.0%	2.23%	0.0%	0.71%	0.0%	1.96%	0.0%	2.15%	0.0%	0.78%	0.29%	0.0%	0.0%	0.0%	2.43%	0.0%	0.0%	0.68%	1.93%	0.0%	0.0%	0.83%	0.0%	0.32%	0.0%	1.25%	0.50%	0.85%	0.0%	0.56%	0.87%	0.22%	0.63%	0.0%	3.70%	1.24%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	355	31	18	13	4	12	11	23	8	8	20	5	8	3	11	7	1	9	0	6	0	4	0	4	6	1	4	4	3	2	4	1	0	4	5	3	4	10	0	5	0	10	4	9	4	8	0	5	5	14	5	0	0	10	10	0	0	5	3	0	1					
		2.05%	3.09%	1.96%	2.22%	0.97%	1.92%	1.55%	2.38%	1.55%	1.10%	3.03%	1.50%	3.06%	2.27%	2.43%	1.93%	0.89%	4.26%	0.0%	2.23%	0.0%	1.42%	0.0%	3.92%	1.75%	1.07%	8.16%	3.14%	0.88%	3.77%	1.65%	1.49%	0.0%	1.32%	2.85%	2.05%	2.58%	2.62%	0.0%	2.09%	0.0%	1.63%	1.62%	5.62%	2.01%	2.27%	0.0%	2.84%	1.46%	3.21%	3.16%	0.0%	0.0%	2.48%	1.69%	0.0%	0.0%	4.95%	2.72%	0.0%	2.56%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	197	21	9	13	6	17	14	14	8	15	7	3	1	0	1	0	1	1	0	2	0	2	1	2	3	0	0	0	3	1	0	1	0	2	0	0	1	2	0	3	1	4	0	0	3	2	0	0	9	7	5	1	1	3	4	1	0	0	2	0	0					
		1.14%	2.09%	0.98%	2.22%	1.45%	2.72%	1.97%	1.44%	1.55%	2.08%	1.06%	0.90%	0.38%	0.0%	0.22%	0.0%	0.89%	0.47%	0.0%	0.74%	0.0%	0.71%	1.21%	1.96%	0.87%	0.0%	0.0%	0.0%	0.88%	1.88%	0.0%	1.49%	0.0%	0.66%	0.0%	0.0%	0.64%	0.52%	0.0%	1.25%	1.20%	0.65%	0.0%	0.0%	1.50%	0.56%	0.0%	0.0%	2.63%	1.60%	3.16%	1.14%	1.23%	0.74%	0.67%	1.17%	0.0%	0.0%	1.81%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	56	1	2	2	2	2	5	3	1	1	2	1	1	1	1	2	1	0	0	1	0	0	0	0	0	1	0	1	4	1	0	1	0	1	2	0	0	3	2	1	1	0	0	0	0	1	0	0	3	0	0	1	0	1	3	0	0	0	0	0	0					
		0.32%	0.09%	0.21%	0.34%	0.48%	0.32%	0.70%	0.31%	0.19%	0.13%	0.30%	0.30%	0.38%	0.75%	0.22%	0.55%	0.89%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	1.07%	0.0%	0.78%	1.17%	1.88%	0.0%	1.49%	0.0%	0.33%	1.14%	0.0%	0.0%	0.78%	2.46%	0.41%	1.20%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.87%	0.0%	0.0%	1.14%	0.0%	0.24%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	26	2	1	0	2	0	0	2	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	2	0	1	0	1	1	0					
		0.15%	0.19%	0.10%	0.0%	0.48%	0.0%	0.0%	0.20%	0.19%	0.0%	0.15%	0.0%	0.0%	0.0%	0.22%	0.27%	0.0%	0.47%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.58%	0.0%	0.0%	0.0%	0.29%	0.0%	0.82%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.50%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	1.06%	0.0%	0.90%	1.35%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	85	6	7	7	2	3	5	6	4	6	5	1	1	0	4	0	0	2	1	1	0	2	1	0	0	0	0	1	3	0	1	0	0	0	0	0	0	2	0	0	0	3	0	0	2	0	2	0	0	1	0	0	1	2	0	1	0	1	1	0	0					
		0.49%	0.59%	0.76%	1.20%	0.48%	0.48%	0.70%	0.62%	0.77%	0.83%	0.75%	0.30%	0.38%	0.0%	0.88%	0.0%	0.0%	0.94%	1.04%	0.37%	0.0%	0.71%	1.21%	0.0%	0.0%	0.0%	0.0%	0.78%	0.88%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	1.00%	0.0%	2.10%	0.0%	0.0%	0.22%	0.0%	0.0%	1.23%	0.49%	0.0%	1.17%	0.0%	0.99%	0.90%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	19	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	2	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	1	0	1	1	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0					
		0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	1.11%	0.0%	1.21%	0.98%	0.58%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.57%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.16%	0.0%	0.62%	0.50%	0.28%	2.10%	0.0%	0.29%	0.0%	0.0%	0.0%	1.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	30	4	4	1	1	0	4	2	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	1	2	0	1	0	0	0	0					
		0.17%	0.39%	0.43%	0.17%	0.24%	0.0%	0.56%	0.20%	0.19%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.78%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.45%	0.0%	0.0%	0.0%	0.24%	0.33%	0.0%	1.06%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1234	63	36	19	12	27	29	31	22	25	39	37	9	24	39	28	13	17	13	33	12	23	7	11	29	5	10	19	19	5	26	1	3	37	17	10	21	33	5	30	5	29	12	17	18	19	0	20	22	56	5	6	8	27	93	13	20	7	16	2	0					
		7.15%	6.28%	3.93%	3.25%	2.91%	4.33%	4.09%	3.20%	4.28%	3.46%	5.92%	11.14%	3.44%	18.18%	8.64%	7.73%	11.60%	8.05%	13.54%	12.26%	13.33%	8.18%	8.53%	10.78%	8.47%	5.37%	20.40%	14.96%	5.58%	9.43%	10.78%	1.49%	7.31%	12.21%	9.71%	6.84%	13.54%	8.66%	6.17%	12.55%	6.02%	4.73%	4.87%	10.62%	9.04%	5.41%	0.0%	11.36%	6.43%	12.87%	3.16%	6.89%	9.87%	6.69%	15.78%	15.29%	21.27%	6.93%	14.54%	2.70%	0.0%					
28	"11. ""Истинные патриоты России"""	15	0	0	0	1	1	0	6	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
		0.08%	0.0%	0.0%	0.0%	0.24%	0.16%	0.0%	0.62%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.07%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	295	12	7	15	5	9	15	13	9	12	10	2	3	2	3	38	3	7	0	4	1	1	1	0	12	7	1	1	5	2	2	1	0	2	6	0	0	16	0	6	0	12	3	0	2	3	5	2	8	5	0	0	0	1	13	0	0	1	5	2	0					
		1.71%	1.19%	0.76%	2.57%	1.21%	1.44%	2.11%	1.34%	1.75%	1.66%	1.51%	0.60%	1.14%	1.51%	0.66%	10.49%	2.67%	3.31%	0.0%	1.48%	1.11%	0.35%	1.21%	0.0%	3.50%	7.52%	2.04%	0.78%	1.47%	3.77%	0.82%	1.49%	0.0%	0.66%	3.42%	0.0%	0.0%	4.19%	0.0%	2.51%	0.0%	1.95%	1.21%	0.0%	1.00%	0.85%	5.26%	1.13%	2.33%	1.14%	0.0%	0.0%	0.0%	0.24%	2.20%	0.0%	0.0%	0.99%	4.54%	2.70%	0.0%					
30	"13. ""Демократическая партия России"""	56	3	4	0	4	4	4	5	1	5	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	1	0	1	1	0	1	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	1	3	0	2	0	0	1	0					
		0.32%	0.29%	0.43%	0.0%	0.97%	0.64%	0.56%	0.51%	0.19%	0.69%	0.15%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.74%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.82%	1.49%	0.0%	0.33%	0.57%	0.0%	0.64%	0.0%	0.0%	0.0%	0.0%	1.14%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.50%	0.0%	2.12%	0.0%	0.0%	1.35%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	34	1	1	2	0	1	0	0	1	1	0	0	1	0	5	1	0	1	0	0	0	1	0	1	0	0	2	2	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0					
