Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Черлакская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22960	211	1828	1383	1489	2588	1969	1552	216	176	885	180	106	252	2080	210	231	162	143	933	147	97	66	119	63	157	39	35	709	110	82	1125	420	255	174	188	195	881	99	44	135	120	100	641	196	169									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22650	220	1840	1360	1480	2530	1930	1520	210	170	940	180	110	250	2050	190	230	160	140	920	150	100	60	130	80	150	40	30	700	100	80	1100	420	250	170	180	190	840	90	40	130	120	90	630	190	160									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8617	90	592	409	593	857	678	550	83	63	376	61	74	69	798	75	107	81	72	328	59	39	39	104	51	90	24	19	295	55	43	433	149	100	37	77	54	336	53	28	47	50	47	269	93	70									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	618	7	21	41	54	36	27	49	9	0	31	3	4	7	67	2	0	6	10	28	5	1	0	10	5	7	0	0	25	6	2	20	7	3	3	5	4	32	3	0	1	9	0	28	30	10									
6	Число погашенных избирательных бюллетеней	13415	123	1227	910	833	1637	1225	921	118	107	533	116	32	174	1185	113	123	73	58	564	86	60	21	16	24	53	16	11	380	39	35	647	264	147	130	98	132	472	34	12	82	61	43	333	67	80									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	618	7	21	41	54	36	27	49	9	0	31	3	4	7	67	2	0	6	10	28	5	1	0	10	5	7	0	0	25	6	2	20	7	3	3	5	4	32	3	0	1	9	0	28	30	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8617	90	592	409	593	857	678	550	83	63	376	61	74	69	798	75	107	81	72	328	59	39	39	104	51	90	24	19	295	55	43	433	149	100	37	77	54	336	53	28	47	50	47	269	93	70									
9	Число недействительных избирательных бюллетеней	324	3	21	18	30	27	34	20	4	9	19	2	0	3	23	2	1	0	0	12	4	2	3	3	1	5	0	0	8	1	0	16	4	2	2	4	3	12	4	0	1	1	2	15	2	1									
10	Число действительных избирательных бюллетеней	8911	94	592	432	617	866	671	579	88	54	388	62	78	73	842	75	106	87	82	344	60	38	36	111	55	92	24	19	312	60	45	437	152	101	38	78	55	356	52	28	47	58	45	282	121	79									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	358	5	10	10	10	18	10	15	5	5	15	10	5	5	20	5	5	5	5	15	5	5	5	10	5	10	5	5	15	10	5	10	5	5	5	5	5	15	5	5	5	5	5	15	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	92	1	7	5	8	12	9	2	2	1	2	0	0	1	10	0	1	0	3	3	4	1	0	0	0	1	0	0	4	0	0	5	1	0	1	1	0	5	1	0	1	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	91	1	4	4	7	11	6	4	2	1	2	1	2	1	4	1	1	0	1	0	1	1	1	1	0	1	1	0	2	1	2	1	2	0	1	0	3	8	1	1	3	1	1	3	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	266	4	3	5	2	6	1	13	3	4	13	10	5	4	10	5	4	5	2	12	1	4	5	10	5	9	5	5	11	10	5	5	4	5	4	4	5	10	4	5	4	5	5	15	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	1	0	0	2	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	88	1	9	6	5	13	12	4	3	2	2	1	1	0	8	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	5	1	0	1	0	0	2	0	0									
		0.95%	1.03%	1.47%	1.33%	0.77%	1.46%	1.70%	0.67%	3.26%	3.17%	0.49%	1.56%	1.28%	0.00%	0.92%	2.60%	0.00%	0.00%	0.00%	1.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.22%	0.88%	0.00%	0.00%	0.00%	0.00%	0.00%	1.36%	1.79%	0.00%	2.08%	0.00%	0.00%	0.67%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	544	3	29	28	41	48	43	30	5	1	30	3	5	4	45	8	6	7	5	24	0	5	3	6	3	8	2	0	24	6	2	28	4	4	4	6	1	27	3	1	1	1	6	21	7	6									
		5.89%	3.09%	4.73%	6.22%	6.34%	5.38%	6.10%	5.01%	5.43%	1.59%	7.37%	4.69%	6.41%	5.26%	5.20%	10.39%	5.61%	8.05%	6.10%	6.74%	0.00%	12.50%	7.69%	5.26%	5.36%	8.25%	8.33%	0.00%	7.50%	9.84%	4.44%	6.18%	2.56%	3.88%	10.00%	7.32%	1.72%	7.34%	5.36%	3.57%	2.08%	1.69%	12.77%	7.07%	5.69%	7.50%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	162	1	15	8	8	17	16	18	1	0	4	1	1	2	14	1	0	1	0	5	0	0	0	1	1	1	1	0	7	1	0	5	3	1	0	6	0	9	4	0	0	1	0	5	2	1									
		1.75%	1.03%	2.45%	1.78%	1.24%	1.90%	2.27%	3.01%	1.09%	0.00%	0.98%	1.56%	1.28%	2.63%	1.62%	1.30%	0.00%	1.15%	0.00%	1.40%	0.00%	0.00%	0.00%	0.88%	1.79%	1.03%	4.17%	0.00%	2.19%	1.64%	0.00%	1.10%	1.92%	0.97%	0.00%	7.32%	0.00%	2.45%	7.14%	0.00%	0.00%	1.69%	0.00%	1.68%	1.63%	1.25%									
