Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																							
Дата голосования: 02.12.2007																							
																							
Наименование Избирательной комиссии:    Белоярская																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31					
1	"Число избирателей, внесенных в списки избирателей"	18160	1501	1589	1371	1629	952	1112	1329	1429	1391	294	863	1063	883	824	967	963					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18353	1550	1600	1385	1440	950	1200	1250	1450	1350	300	853	1130	957	895	1068	975					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	397	0	0	0	0	0	7	0	0	0	0	0	0	19	0	219	152					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14365	1096	1294	1003	1257	710	816	1051	1119	1042	289	847	1034	854	817	544	592					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	375	5	13	6	8	97	18	11	18	34	0	0	16	0	0	108	41					
6	Число погашенных избирательных бюллетеней	3216	449	293	376	175	143	359	188	313	274	11	6	80	84	78	197	190					
7	Число избирательных бюллетеней в переносных ящиках для голосования	772	5	13	6	8	97	25	11	18	34	0	0	16	19	0	327	193					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14365	1096	1294	1003	1257	710	816	1051	1119	1042	289	847	1034	854	817	544	592					
9	Число недействительных избирательных бюллетеней	176	11	11	13	13	6	14	0	21	4	1	2	6	10	26	21	17					
10	Число действительных избирательных бюллетеней	14961	1090	1296	996	1252	801	827	1062	1116	1072	288	845	1044	863	791	850	768					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	513	10	20	23	20	20	20	20	20	20	10	50	70	100	50	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	386	8	15	14	18	10	14	19	10	14	0	26	55	100	47	24	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	113	5	4	2	13	6	3	12	2	9	2	11	12	7	19	2	4					
14	Число погашенных неиспользованных открепительных удостоверений	127	2	5	9	2	10	6	1	10	6	10	24	15	0	3	6	18					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	8	4	3	5	4	3	2	1	1	1	1	3	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	1.Политическая партия «Аграрная партия России»	219	15	24	21	18	18	6	10	16	9	3	11	22	10	8	13	15					
		1.45%	1.36%	1.84%	2.08%	1.42%	2.23%	0.71%	0.94%	1.41%	0.84%	1.04%	1.30%	2.10%	1.15%	0.98%	1.49%	1.91%					
19	2.Всероссийская политическая партия «Гражданская Сила»	126	16	15	8	16	7	14	11	5	4	2	6	4	6	4	5	3					
		0.83%	1.45%	1.15%	0.79%	1.26%	0.87%	1.66%	1.04%	0.44%	0.37%	0.69%	0.71%	0.38%	0.69%	0.49%	0.57%	0.38%					
20	3.Политическая партия «Демократическая партия России»	17	2	0	0	2	2	1	1	1	2	1	0	1	0	2	2	0					
		0.11%	0.18%	0.00%	0.00%	0.16%	0.25%	0.12%	0.09%	0.09%	0.19%	0.35%	0.00%	0.10%	0.00%	0.24%	0.23%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	527	39	48	29	29	29	34	51	40	42	5	28	32	30	19	36	36					
		3.48%	3.54%	3.67%	2.87%	2.29%	3.59%	4.04%	4.80%	3.52%	3.90%	1.73%	3.31%	3.05%	3.44%	2.33%	4.13%	4.59%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	55	5	5	6	3	9	7	1	0	5	1	3	2	1	2	2	3					
		0.36%	0.45%	0.38%	0.59%	0.24%	1.12%	0.83%	0.09%	0.00%	0.46%	0.35%	0.35%	0.19%	0.11%	0.24%	0.23%	0.38%					
23	6.Политическая партия «Партия социальной справедливости»	20	0	1	1	0	1	1	1	1	2	0	2	3	0	4	1	2					
		0.13%	0.00%	0.08%	0.10%	0.00%	0.12%	0.12%	0.09%	0.09%	0.19%	0.00%	0.24%	0.29%	0.00%	0.49%	0.11%	0.25%					
24	7.Политическая партия «Либерально-демократическая партия России»	1528	121	149	107	140	81	74	89	138	139	33	75	101	62	69	89	61					
		10.09%	10.99%	11.40%	10.60%	11.07%	10.04%	8.80%	8.38%	12.14%	12.92%	11.42%	8.85%	9.62%	7.10%	8.45%	10.22%	7.77%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	783	57	70	59	72	38	56	63	69	51	22	26	43	27	31	52	47					
		5.17%	5.18%	5.36%	5.85%	5.69%	4.71%	6.66%	5.93%	6.07%	4.74%	7.61%	3.07%	4.10%	3.09%	3.79%	5.97%	5.99%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	83	2	8	7	4	2	6	9	9	6	3	3	6	2	4	3	9					
		0.55%	0.18%	0.61%	0.69%	0.32%	0.25%	0.71%	0.85%	0.79%	0.56%	1.04%	0.35%	0.57%	0.23%	0.49%	0.34%	1.15%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	11484	821	967	754	956	609	622	806	827	805	214	690	822	714	643	642	592					
		75.87%	74.57%	73.99%	74.73%	75.57%	75.46%	73.96%	75.89%	72.74%	74.81%	74.05%	81.46%	78.29%	81.79%	78.70%	73.71%	75.41%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	119	12	9	4	12	5	6	20	10	7	4	1	8	11	5	5	0					
		0.79%	1.09%	0.69%	0.40%	0.95%	0.62%	0.71%	1.88%	0.88%	0.65%	1.38%	0.12%	0.76%	1.26%	0.61%	0.57%	0.00%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
